## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V1264010
## Nom station                      : Le Fier à Vallières
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      926383 ;    6537733 ;      926369 ;    6537696 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      878026 ;    2106486 ;      878013 ;    2106449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.92055 ;   45.90160 ;     5.92036 ;   45.90127 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1350.00 ;    1285.99 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         253 ;        316 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1948-01-01 ; 2015-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;   40800;   2.741;     9;     1
 19480102;   44400;   2.983;     9;     1
 19480103;   95500;   6.416;     9;     1
 19480104;   75000;   5.039;     9;     1
 19480105;   69000;   4.636;     9;     1
 19480106;   74000;   4.972;     9;     1
 19480107;  285000;  19.148;     9;     1
 19480108;  225000;  15.117;     9;     1
 19480109;  103000;   6.920;     9;     1
 19480110;   83500;   5.610;     9;     1
 19480111;   71400;   4.797;     9;     1
 19480112;   84600;   5.684;     9;     1
 19480113;   76000;   5.106;     9;     1
 19480114;   61000;   4.098;     9;     1
 19480115;   70500;   4.737;     9;     1
 19480116;   70500;   4.737;     9;     1
 19480117;   54700;   3.675;     9;     1
 19480118;   45800;   3.077;     9;     1
 19480119;   43200;   2.902;     9;     1
 19480120;   35800;   2.405;     9;     1
 19480121;   28500;   1.915;     9;     1
 19480122;   26700;   1.794;     9;     1
 19480123;   24200;   1.626;     9;     1
 19480124;  111000;   7.458;     9;     1
 19480125;   98000;   6.584;     9;     1
 19480126;   68400;   4.595;     9;     1
 19480127;   83300;   5.597;     9;     1
 19480128;  100000;   6.719;     9;     1
 19480129;   94400;   6.342;     9;     1
 19480130;  204000;  13.706;     9;     1
 19480131;  108000;   7.256;     9;     1
 19480201;  158000;  10.615;     9;     1
 19480202;  111000;   7.458;     9;     1
 19480203;   98000;   6.584;     9;     1
 19480204;  141000;   9.473;     9;     1
 19480205;  100000;   6.719;     9;     1
 19480206;   64300;   4.320;     9;     1
 19480207;   47000;   3.158;     9;     1
 19480208;   42800;   2.876;     9;     1
 19480209;   44700;   3.003;     9;     1
 19480210;   41000;   2.755;     9;     1
 19480211;   40300;   2.708;     9;     1
 19480212;   40500;   2.721;     9;     1
 19480213;   45400;   3.050;     9;     1
 19480214;   34800;   2.338;     9;     1
 19480215;   30700;   2.063;     9;     1
 19480216;   29000;   1.948;     9;     1
 19480217;   28200;   1.895;     9;     1
 19480218;   23600;   1.586;     9;     1
 19480219;   22000;   1.478;     9;     1
 19480220;   19300;   1.297;     9;     1
 19480221;   20000;   1.344;     9;     1
 19480222;   18800;   1.263;     9;     1
 19480223;   18000;   1.209;     9;     1
 19480224;   15300;   1.028;     9;     1
 19480225;   16200;   1.088;     9;     1
 19480226;   15300;   1.028;     9;     1
 19480227;   16500;   1.109;     9;     1
 19480228;   15200;   1.021;     9;     1
 19480229;   14800;   0.994;     9;     1
 19480301;   16500;   1.109;     9;     1
 19480302;   14000;   0.941;     9;     1
 19480303;   15400;   1.035;     9;     1
 19480304;   16200;   1.088;     9;     1
 19480305;   17900;   1.203;     9;     1
 19480306;   20800;   1.397;     9;     1
 19480307;   19400;   1.303;     9;     1
 19480308;   20200;   1.357;     9;     1
 19480309;   22300;   1.498;     9;     1
 19480310;   25400;   1.707;     9;     1
 19480311;   32200;   2.163;     9;     1
 19480312;   33200;   2.231;     9;     1
 19480313;   26100;   1.754;     9;     1
 19480314;   23200;   1.559;     9;     1
 19480315;   23200;   1.559;     9;     1
 19480316;   25200;   1.693;     9;     1
 19480317;   25400;   1.707;     9;     1
 19480318;   32600;   2.190;     9;     1
 19480319;   27400;   1.841;     9;     1
 19480320;   21200;   1.424;     9;     1
 19480321;   20000;   1.344;     9;     1
 19480322;   23400;   1.572;     9;     1
