## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:52
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V1774010
## Nom station                      : La Bourbre à Tignieu-Jameyzieu
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      867946 ;    6515150 ;      867926 ;    6515118 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      819733 ;    2083381 ;      819713 ;    2083349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.15915 ;   45.71526 ;     5.15887 ;   45.71498 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      703.00 ;     696.42 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         202 ;        204 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :      48 [%]
## Débits disponibles               :  1909-01-01 ; 2021-02-14 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19090101;    4200;   0.521;     9;     1
 19090102;    3950;   0.490;     9;     1
 19090103;    3600;   0.447;     9;     1
 19090104;    3950;   0.490;     9;     1
 19090105;    4450;   0.552;     9;     1
 19090106;    4450;   0.552;     9;     1
 19090107;    4350;   0.540;     9;     1
 19090108;    4850;   0.602;     9;     1
 19090109;    4700;   0.583;     9;     1
 19090110;    4450;   0.552;     9;     1
 19090111;    4350;   0.540;     9;     1
 19090112;    4850;   0.602;     9;     1
 19090113;   13500;   1.675;     9;     1
 19090114;   14500;   1.799;     9;     1
 19090115;   12300;   1.526;     9;     1
 19090116;   10100;   1.253;     9;     1
 19090117;    8500;   1.055;     9;     1
 19090118;    7800;   0.968;     9;     1
 19090119;    7450;   0.924;     9;     1
 19090120;    7050;   0.875;     9;     1
 19090121;    6500;   0.806;     9;     1
 19090122;    6500;   0.806;     9;     1
 19090123;    6500;   0.806;     9;     1
 19090124;    6200;   0.769;     9;     1
 19090125;    6000;   0.744;     9;     1
 19090126;    5850;   0.726;     9;     1
 19090127;    5700;   0.707;     9;     1
 19090128;    5700;   0.707;     9;     1
 19090129;    5550;   0.689;     9;     1
 19090130;    5550;   0.689;     9;     1
 19090131;    5400;   0.670;     9;     1
 19090201;    5400;   0.670;     9;     1
 19090202;    5400;   0.670;     9;     1
 19090203;    5250;   0.651;     9;     1
 19090204;    5400;   0.670;     9;     1
 19090205;    5700;   0.707;     9;     1
 19090206;    6800;   0.844;     9;     1
 19090207;    6500;   0.806;     9;     1
 19090208;    5850;   0.726;     9;     1
 19090209;    5700;   0.707;     9;     1
 19090210;    5850;   0.726;     9;     1
 19090211;    6000;   0.744;     9;     1
 19090212;    6350;   0.788;     9;     1
 19090213;    6350;   0.788;     9;     1
 19090214;    5550;   0.689;     9;     1
 19090215;    5400;   0.670;     9;     1
 19090216;    5400;   0.670;     9;     1
 19090217;    5250;   0.651;     9;     1
 19090218;    5250;   0.651;     9;     1
 19090219;    5250;   0.651;     9;     1
 19090220;    5250;   0.651;     9;     1
 19090221;    5100;   0.633;     9;     1
 19090222;    5100;   0.633;     9;     1
 19090223;    4950;   0.614;     9;     1
 19090224;    4950;   0.614;     9;     1
 19090225;    4950;   0.614;     9;     1
 19090226;    4700;   0.583;     9;     1
 19090227;    4600;   0.571;     9;     1
 19090228;    4450;   0.552;     9;     1
 19090301;    4600;   0.571;     9;     1
 19090302;    4450;   0.552;     9;     1
 19090303;    4450;   0.552;     9;     1
 19090304;    4700;   0.583;     9;     1
 19090305;    4700;   0.583;     9;     1
 19090306;    4850;   0.602;     9;     1
 19090307;    4950;   0.614;     9;     1
 19090308;    5550;   0.689;     9;     1
 19090309;    5850;   0.726;     9;     1
 19090310;    5700;   0.707;     9;     1
 19090311;    6200;   0.769;     9;     1
 19090312;    6500;   0.806;     9;     1
 19090313;    6800;   0.844;     9;     1
 19090314;    6800;   0.844;     9;     1
 19090315;    6650;   0.825;     9;     1
 19090316;    6500;   0.806;     9;     1
 19090317;    6500;   0.806;     9;     1
 19090318;    6800;   0.844;     9;     1
 19090319;    7800;   0.968;     9;     1
 19090320;    8900;   1.104;     9;     1
 19090321;   10500;   1.303;     9;     1
 19090322;    9700;   1.203;     9;     1
 19090323;    9500;   1.179;     9;     1
 19090324;    9300;   1.154;     9;     1
 19090325;   10500;   1.303;     9;     1
 19090326;   13700;   1.700;     9;     1
 19090327;   12800;   1.588;     9;     1
 19090328;   10100;   1.253;     9;     1
 19090329;    9900;   1.228;     9;     1
 19090330;    9300;   1.154;     9;     1
 19090331;    9300;   1.154;     9;     1
 19090401;   10300;   1.278;     9;     1
 19090402;   10100;   1.253;     9;     1
 19090403;   10100;   1.253;     9;     1
 19090404;    9700;   1.203;     9;     1
 19090405;    8900;   1.104;     9;     1
 19090406;    8500;   1.055;     9;     1
 19090407;    8300;   1.030;     9;     1
 19090408;    7950;   0.986;     9;     1
 19090409;    7600;   0.943;     9;     1
 19090410;    7300;   0.906;     9;     1
 19090411;    6800;   0.844;     9;     1
 19090412;    6800;   0.844;     9;     1
 19090413;    6800;   0.844;     9;     1
 19090414;    6800;   0.844;     9;     1
 19090415;    6650;   0.825;     9;     1
 19090416;    6500;   0.806;     9;     1
 19090417;    6200;   0.769;     9;     1
 19090418;    6200;   0.769;     9;     1
 19090419;    6000;   0.744;     9;     1
 19090420;    6000;   0.744;     9;     1
 19090421;    6200;   0.769;     9;     1
 19090422;    6200;   0.769;     9;     1
 19090423;    5850;   0.726;     9;     1
 19090424;    5550;   0.689;     9;     1
 19090425;    5100;   0.633;     9;     1
 19090426;    5100;   0.633;     9;     1
 19090427;    5250;   0.651;     9;     1
 19090428;   10500;   1.303;     9;     1
 19090429;    8900;   1.104;     9;     1
 19090430;    7600;   0.943;     9;     1
 19090501;    7150;   0.887;     9;     1
 19090502;    6500;   0.806;     9;     1
 19090503;    6200;   0.769;     9;     1
 19090504;    5850;   0.726;     9;     1
 19090505;    5850;   0.726;     9;     1
 19090506;    5700;   0.707;     9;     1
 19090507;    5850;   0.726;     9;     1
 19090508;    5850;   0.726;     9;     1
 19090509;    5850;   0.726;     9;     1
 19090510;    5550;   0.689;     9;     1
 19090511;    6200;   0.769;     9;     1
 19090512;    5850;   0.726;     9;     1
 19090513;    5550;   0.689;     9;     1
 19090514;    5550;   0.689;     9;     1
 19090515;    5400;   0.670;     9;     1
 19090516;    5400;   0.670;     9;     1
 19090517;    5250;   0.651;     9;     1
 19090518;    4950;   0.614;     9;     1
 19090519;    4350;   0.540;     9;     1
 19090520;    3750;   0.465;     9;     1
 19090521;    3500;   0.434;     9;     1
 19090522;    3500;   0.434;     9;     1
 19090523;    3300;   0.409;     9;     1
 19090524;    3100;   0.385;     9;     1
 19090525;    3300;   0.409;     9;     1
 19090526;    3750;   0.465;     9;     1
 19090527;    3950;   0.490;     9;     1
 19090528;    3950;   0.490;     9;     1
 19090529;    4350;   0.540;     9;     1
 19090530;    4350;   0.540;     9;     1
 19090531;    4450;   0.552;     9;     1
 19090601;    4100;   0.509;     9;     1
 19090602;    3850;   0.478;     9;     1
 19090603;    3750;   0.465;     9;     1
 19090604;    3750;   0.465;     9;     1
 19090605;    5500;   0.682;     9;     1
 19090606;    3500;   0.434;     9;     1
 19090607;    3750;   0.465;     9;     1
 19090608;    3850;   0.478;     9;     1
 19090609;    3850;   0.478;     9;     1
 19090610;    3950;   0.490;     9;     1
 19090611;    4200;   0.521;     9;     1
 19090612;    4950;   0.614;     9;     1
 19090613;    5700;   0.707;     9;     1
 19090614;    5100;   0.633;     9;     1
 19090615;    4950;   0.614;     9;     1
 19090616;    4950;   0.614;     9;     1
 19090617;    4950;   0.614;     9;     1
 19090618;    4850;   0.602;     9;     1
 19090619;    4850;   0.602;     9;     1
 19090620;    4700;   0.583;     9;     1
 19090621;    4950;   0.614;     9;     1
 19090622;    5250;   0.651;     9;     1
 19090623;    6500;   0.806;     9;     1
 19090624;    6200;   0.769;     9;     1
 19090625;    5850;   0.726;     9;     1
 19090626;    5550;   0.689;     9;     1
 19090627;    5550;   0.689;     9;     1
 19090628;    5400;   0.670;     9;     1
 19090629;    5400;   0.670;     9;     1
 19090630;    6800;   0.844;     9;     1
 19090701;    6800;   0.844;     9;     1
 19090702;    6500;   0.806;     9;     1
 19090703;    6200;   0.769;     9;     1
 19090704;    5550;   0.689;     9;     1
 19090705;    5250;   0.651;     9;     1
 19090706;    5250;   0.651;     9;     1
 19090707;    5100;   0.633;     9;     1
 19090708;    4950;   0.614;     9;     1
 19090709;    6800;   0.844;     9;     1
 19090710;    6350;   0.788;     9;     1
 19090711;    7800;   0.968;     9;     1
 19090712;    8100;   1.005;     9;     1
 19090713;    7110;   0.882;     9;     1
 19090714;    7800;   0.968;     9;     1
 19090715;    6500;   0.806;     9;     1
 19090716;    6200;   0.769;     9;     1
 19090717;    5550;   0.689;     9;     1
 19090718;    5250;   0.651;     9;     1
 19090719;    5250;   0.651;     9;     1
 19090720;    4950;   0.614;     9;     1
 19090721;    4950;   0.614;     9;     1
 19090722;    4700;   0.583;     9;     1
 19090723;    4200;   0.521;     9;     1
 19090724;    3950;   0.490;     9;     1
 19090725;    3850;   0.478;     9;     1
 19090726;    3750;   0.465;     9;     1
 19090727;    3750;   0.465;     9;     1
 19090728;    3500;   0.434;     9;     1
 19090729;    3500;   0.434;     9;     1
 19090730;    3300;   0.409;     9;     1
 19090731;    3200;   0.397;     9;     1
 19090801;    3500;   0.434;     9;     1
 19090802;    3500;   0.434;     9;     1
 19090803;    3750;   0.465;     9;     1
 19090804;    3750;   0.465;     9;     1
 19090805;    3500;   0.434;     9;     1
 19090806;    3300;   0.409;     9;     1
 19090807;    3200;   0.397;     9;     1
 19090808;    3200;   0.397;     9;     1
 19090809;    3100;   0.385;     9;     1
 19090810;    4450;   0.552;     9;     1
 19090811;    3950;   0.490;     9;     1
 19090812;    3950;   0.490;     9;     1
 19090813;    3850;   0.478;     9;     1
 19090814;    3750;   0.465;     9;     1
 19090815;    3750;   0.465;     9;     1
 19090816;    3750;   0.465;     9;     1
 19090817;    3750;   0.465;     9;     1
 19090818;    3600;   0.447;     9;     1
 19090819;    3600;   0.447;     9;     1
 19090820;    3500;   0.434;     9;     1
 19090821;    3500;   0.434;     9;     1
 19090822;    4950;   0.614;     9;     1
 19090823;    4450;   0.552;     9;     1
 19090824;    4200;   0.521;     9;     1
 19090825;    3950;   0.490;     9;     1
 19090826;    3750;   0.465;     9;     1
 19090827;    3750;   0.465;     9;     1
 19090828;    3750;   0.465;     9;     1
 19090829;    3600;   0.447;     9;     1
 19090830;    3300;   0.409;     9;     1
 19090831;    3300;   0.409;     9;     1
 19090901;    3500;   0.434;     9;     1
 19090902;    3300;   0.409;     9;     1
 19090903;    3300;   0.409;     9;     1
