## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:58
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V2202010
## Nom station                      : L'Ain à Marigny [Chalain]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      911452 ;    6624344 ;      911427 ;    6624353 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      862295 ;    2193035 ;      862313 ;    2193049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.76724 ;   46.68584 ;     5.76692 ;   46.68593 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      650.00 ;     734.35 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         456 ;        458 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1962-11-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19621101;    8550;   1.006;     9;     1
 19621102;    9650;   1.135;     9;     1
 19621103;    7100;   0.835;     9;     1
 19621104;    6050;   0.712;     9;     1
 19621105;    5450;   0.641;     9;     1
 19621106;    4870;   0.573;     9;     1
 19621107;    4570;   0.538;     9;     1
 19621108;    4570;   0.538;     9;     1
 19621109;    4330;   0.509;     9;     1
 19621110;    4080;   0.480;     9;     1
 19621111;    3590;   0.422;     9;     1
 19621112;    3590;   0.422;     9;     1
 19621113;    3350;   0.394;     9;     1
 19621114;    3350;   0.394;     9;     1
 19621115;    3350;   0.394;     9;     1
 19621116;    3590;   0.422;     9;     1
 19621117;    3590;   0.422;     9;     1
 19621118;    6050;   0.712;     9;     1
 19621119;    8900;   1.047;     9;     1
 19621120;    7800;   0.918;     9;     1
 19621121;    6750;   0.794;     9;     1
 19621122;   15500;   1.824;     9;     1
 19621123;   17100;   2.012;     9;     1
 19621124;   10000;   1.177;     9;     1
 19621125;    7800;   0.918;     9;     1
 19621126;    7450;   0.877;     9;     1
 19621127;    7100;   0.835;     9;     1
 19621128;    7100;   0.835;     9;     1
 19621129;    6400;   0.753;     9;     1
 19621130;    6400;   0.753;     9;     1
 19621201;    5750;   0.677;     9;     1
 19621202;    5150;   0.606;     9;     1
 19621203;    4330;   0.509;     9;     1
 19621204;    4330;   0.509;     9;     1
 19621205;    4330;   0.509;     9;     1
 19621206;    4080;   0.480;     9;     1
 19621207;    4570;   0.538;     9;     1
 19621208;    4570;   0.538;     9;     1
 19621209;    4080;   0.480;     9;     1
 19621210;   56000;   6.589;     9;     1
 19621211;   41400;   4.871;     9;     1
 19621212;   37900;   4.459;     9;     1
 19621213;   39500;   4.647;     9;     1
 19621214;   23300;   2.741;     9;     1
 19621215;   29400;   3.459;     9;     1
 19621216;  339000;  39.885;     9;     1
 19621217;  148000;  17.413;     9;     1
 19621218;   71000;   8.354;     9;     1
 19621219;   52500;   6.177;     9;     1
 19621220;   36800;   4.330;     9;     1
 19621221;   46500;   5.471;     9;     1
 19621222;   70000;   8.236;     9;     1
 19621223;   39700;   4.671;     9;     1
 19621224;   27600;   3.247;     9;     1
 19621225;   21400;   2.518;     9;     1
 19621226;   17500;   2.059;     9;     1
 19621227;   15300;   1.800;     9;     1
 19621228;   14200;   1.671;     9;     1
 19621229;   13000;   1.530;     9;     1
 19621230;   23400;   2.753;     9;     1
 19621231;   38900;   4.577;     9;     1
 19630101;   28200;   3.318;     9;     1
 19630102;   26900;   3.165;     9;     1
 19630103;   37600;   4.424;     9;     1
 19630104;   35600;   4.189;     9;     1
 19630105;   38200;   4.494;     9;     1
 19630106;   82500;   9.707;     9;     1
 19630107;   64500;   7.589;     9;     1
 19630108;   47500;   5.589;     9;     1
 19630109;   33900;   3.989;     9;     1
 19630110;   32800;   3.859;     9;     1
 19630111;   62500;   7.353;     9;     1
 19630112;   42400;   4.989;     9;     1
 19630113;   28100;   3.306;     9;     1
 19630114;   21100;   2.483;     9;     1
 19630115;   17400;   2.047;     9;     1
 19630116;   15000;   1.765;     9;     1
 19630117;   13500;   1.588;     9;     1
 19630118;   12300;   1.447;     9;     1
 19630119;   11900;   1.400;     9;     1
 19630120;   10400;   1.224;     9;     1
 19630121;   10000;   1.177;     9;     1
