## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:06:59
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V2206010
## Nom station                      : Le Hérisson à Doucier
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      912259 ;    6620184 ;      912191 ;    6620150 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      863138 ;    2188878 ;      863113 ;    2188849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.77587 ;   46.64814 ;     5.77497 ;   46.64786 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       44.20 ;      50.96 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         495 ;        499 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1957-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19570101;    1100;   1.865;     9;     1
 19570102;    1450;   2.458;     9;     1
 19570103;    1550;   2.628;     9;     1
 19570104;    1500;   2.543;     9;     1
 19570105;    1550;   2.628;     9;     1
 19570106;    1800;   3.052;     9;     1
 19570107;    2400;   4.069;     9;     1
 19570108;    2800;   4.747;     9;     1
 19570109;    2400;   4.069;     9;     1
 19570110;    1850;   3.137;     9;     1
 19570111;    1500;   2.543;     9;     1
 19570112;    1350;   2.289;     9;     1
 19570113;    1200;   2.035;     9;     1
 19570114;    1100;   1.865;     9;     1
 19570115;    1050;   1.780;     9;     1
 19570116;    1000;   1.695;     9;     1
 19570117;     900;   1.526;     9;     1
 19570118;     800;   1.356;     9;     1
 19570119;     720;   1.221;     9;     1
 19570120;     720;   1.221;     9;     1
 19570121;     720;   1.221;     9;     1
 19570122;     650;   1.102;     9;     1
 19570123;     590;   1.000;     9;     1
 19570124;     520;   0.882;     9;     1
 19570125;     460;   0.780;     9;     1
 19570126;     390;   0.661;     9;     1
 19570127;     720;   1.221;     9;     1
 19570128;    1100;   1.865;     9;     1
 19570129;    1350;   2.289;     9;     1
 19570130;    1450;   2.458;     9;     1
 19570131;    1350;   2.289;     9;     1
 19570201;    1350;   2.289;     9;     1
 19570202;    1750;   2.967;     9;     1
 19570203;    2200;   3.730;     9;     1
 19570204;    2100;   3.560;     9;     1
 19570205;    1950;   3.306;     9;     1
 19570206;    1850;   3.137;     9;     1
 19570207;    2300;   3.900;     9;     1
 19570208;    2800;   4.747;     9;     1
 19570209;    3000;   5.086;     9;     1
 19570210;    3900;   6.612;     9;     1
 19570211;    6200;  10.512;     9;     1
 19570212;    5300;   8.986;     9;     1
 19570213;    4900;   8.308;     9;     1
 19570214;    6900;  11.699;     9;     1
 19570215;    7100;  12.038;     9;     1
 19570216;    6500;  11.020;     9;     1
 19570217;    5000;   8.477;     9;     1
 19570218;    4600;   7.799;     9;     1
 19570219;    4300;   7.290;     9;     1
 19570220;    3600;   6.104;     9;     1
 19570221;    3400;   5.765;     9;     1
 19570222;    3100;   5.256;     9;     1
 19570223;    3000;   5.086;     9;     1
 19570224;   11500;  19.498;     9;     1
 19570225;   31000;  52.559;     9;     1
 19570226;   15500;  26.279;     9;     1
 19570227;    8700;  14.750;     9;     1
 19570228;    5400;   9.155;     9;     1
 19570301;    3700;   6.273;     9;     1
 19570302;    2900;   4.917;     9;     1
 19570303;    2400;   4.069;     9;     1
 19570304;    1950;   3.306;     9;     1
 19570305;    1650;   2.797;     9;     1
 19570306;    1450;   2.458;     9;     1
 19570307;    1450;   2.458;     9;     1
 19570308;    1500;   2.543;     9;     1
 19570309;    1550;   2.628;     9;     1
 19570310;    1500;   2.543;     9;     1
 19570311;    1350;   2.289;     9;     1
 19570312;    1200;   2.035;     9;     1
 19570313;    1100;   1.865;     9;     1
 19570314;    1000;   1.695;     9;     1
 19570315;     920;   1.560;     9;     1
 19570316;     830;   1.407;     9;     1
 19570317;     800;   1.356;     9;     1
 19570318;     710;   1.204;     9;     1
 19570319;     690;   1.170;     9;     1
 19570320;     620;   1.051;     9;     1
 19570321;     570;   0.966;     9;     1
 19570322;     530;   0.899;     9;     1
 19570323;     520;   0.882;     9;     1
 19570324;     520;   0.882;     9;     1
 19570325;     540;   0.916;     9;     1
