## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:07:00
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V2322010
## Nom station                      : L'Ain à Cernon [Vouglans]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      904815 ;    6592081 ;      904755 ;    6592037 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      855930 ;    2160689 ;      855913 ;    2160649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.66620 ;   46.39755 ;     5.66539 ;   46.39717 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1120.00 ;    1194.95 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         329 ;        379 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.5 [%]
## Débits disponibles               :  1933-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19330101;   11900;   0.860;     9;     1
 19330102;    9900;   0.716;     9;     1
 19330103;   12000;   0.868;     9;     1
 19330104;   12000;   0.868;     9;     1
 19330105;   16200;   1.171;     9;     1
 19330106;   19200;   1.388;     9;     1
 19330107;   18600;   1.345;     9;     1
 19330108;   17700;   1.280;     9;     1
 19330109;   17100;   1.236;     9;     1
 19330110;   26400;   1.909;     9;     1
 19330111;   27600;   1.996;     9;     1
 19330112;   21900;   1.583;     9;     1
 19330113;   19200;   1.388;     9;     1
 19330114;   16800;   1.215;     9;     1
 19330115;   14700;   1.063;     9;     1
 19330116;   13500;   0.976;     9;     1
 19330117;   14100;   1.019;     9;     1
 19330118;   13500;   0.976;     9;     1
 19330119;   13200;   0.954;     9;     1
 19330120;   13200;   0.954;     9;     1
 19330121;   12600;   0.911;     9;     1
 19330122;    6600;   0.477;     9;     1
 19330123;    4800;   0.347;     9;     1
 19330124;    9300;   0.672;     9;     1
 19330125;    7800;   0.564;     9;     1
 19330126;    6000;   0.434;     9;     1
 19330127;    6600;   0.477;     9;     1
 19330128;    6600;   0.477;     9;     1
 19330129;    6600;   0.477;     9;     1
 19330130;   13800;   0.998;     9;     1
 19330131;   28800;   2.082;     9;     1
 19330201;   27000;   1.952;     9;     1
 19330202;   19800;   1.432;     9;     1
 19330203;  162000;  11.713;     9;     1
 19330204;  138000;   9.978;     9;     1
 19330205;   90000;   6.507;     9;     1
 19330206;   61800;   4.468;     9;     1
 19330207;   47400;   3.427;     9;     1
 19330208;   60000;   4.338;     9;     1
 19330209;   54000;   3.904;     9;     1
 19330210;   51000;   3.688;     9;     1
 19330211;   63000;   4.555;     9;     0
 19330212;   54000;   3.904;     9;     0
 19330213;   45000;   3.254;     9;     0
 19330214;   36000;   2.603;     9;     0
 19330215;   27000;   1.952;     9;     0
 19330216;   24000;   1.735;     9;     1
 19330217;   22200;   1.605;     9;     1
 19330218;   19200;   1.388;     9;     1
 19330219;   17400;   1.258;     9;     1
 19330220;   16200;   1.171;     9;     1
 19330221;   14400;   1.041;     9;     1
 19330222;   13200;   0.954;     9;     1
 19330223;   12000;   0.868;     9;     1
 19330224;   12600;   0.911;     9;     1
 19330225;   11400;   0.824;     9;     1
 19330226;    9000;   0.651;     9;     1
 19330227;    9900;   0.716;     9;     1
 19330228;   19200;   1.388;     9;     1
 19330301;   39000;   2.820;     9;     1
 19330302;   34800;   2.516;     9;     1
 19330303;   52800;   3.818;     9;     1
 19330304;   90000;   6.507;     9;     1
 19330305;  210000;  15.184;     9;     1
 19330306;  156000;  11.279;     9;     1
 19330307;   78000;   5.640;     9;     1
 19330308;   60000;   4.338;     9;     1
 19330309;   51000;   3.688;     9;     1
 19330310;   43800;   3.167;     9;     1
 19330311;   37800;   2.733;     9;     1
 19330312;   33000;   2.386;     9;     1
 19330313;   27000;   1.952;     9;     1
 19330314;   25800;   1.865;     9;     1
 19330315;   19800;   1.432;     9;     1
 19330316;   18000;   1.301;     9;     1
 19330317;   18000;   1.301;     9;     1
 19330318;   24000;   1.735;     9;     1
 19330319;   42000;   3.037;     9;     1
 19330320;  120000;   8.677;     9;     1
 19330321;   84000;   6.074;     9;     1
 19330322;   57000;   4.121;     9;     1
 19330323;   49800;   3.601;     9;     1
 19330324;   43200;   3.124;     9;     1
