## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:07:02
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V2414010
## Nom station                      : La Bienne à Saint-Claude [Chenavier]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      920265 ;    6594736 ;      920265 ;    6594701 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      871370 ;    2163479 ;      871413 ;    2163449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.86840 ;   46.41657 ;     5.86839 ;   46.41626 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      216.00 ;     202.87 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         423 ;        442 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1957-01-01 ; 2009-10-27 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19570101;    1800;   0.767;     9;     1
 19570102;    2300;   0.980;     9;     1
 19570103;    2000;   0.852;     9;     1
 19570104;    2000;   0.852;     9;     1
 19570105;    8900;   3.790;     9;     1
 19570106;   21000;   8.944;     9;     1
 19570107;   31000;  13.203;     9;     1
 19570108;   12500;   5.324;     9;     1
 19570109;    6000;   2.555;     9;     1
 19570110;    5000;   2.129;     9;     1
 19570111;    3200;   1.363;     9;     1
 19570112;    2600;   1.107;     9;     1
 19570113;    2400;   1.022;     9;     1
 19570114;    2300;   0.980;     9;     1
 19570115;    2000;   0.852;     9;     1
 19570116;    1900;   0.809;     9;     1
 19570117;    2000;   0.852;     9;     1
 19570118;    1600;   0.681;     9;     1
 19570119;    1400;   0.596;     9;     1
 19570120;    1500;   0.639;     9;     1
 19570121;    1400;   0.596;     9;     1
 19570122;    1500;   0.639;     9;     1
 19570123;    1500;   0.639;     9;     1
 19570124;    1600;   0.681;     9;     1
 19570125;    1500;   0.639;     9;     1
 19570126;    1700;   0.724;     9;     1
 19570127;    4000;   1.704;     9;     1
 19570128;    6000;   2.555;     9;     1
 19570129;    3500;   1.491;     9;     1
 19570130;    2600;   1.107;     9;     1
 19570131;    2400;   1.022;     9;     1
 19570201;    2800;   1.192;     9;     1
 19570202;    8900;   3.790;     9;     1
 19570203;   10000;   4.259;     9;     1
 19570204;    7400;   3.152;     9;     1
 19570205;    6000;   2.555;     9;     1
 19570206;   25000;  10.647;     9;     1
 19570207;   12500;   5.324;     9;     1
 19570208;   12500;   5.324;     9;     1
 19570209;   29000;  12.351;     9;     1
 19570210;   21000;   8.944;     9;     1
 19570211;   21000;   8.944;     9;     1
 19570212;   14500;   6.175;     9;     1
 19570213;   21000;   8.944;     9;     1
 19570214;   49000;  20.869;     9;     1
 19570215;   56000;  23.850;     9;     1
 19570216;   23000;   9.795;     9;     1
 19570217;   12500;   5.324;     9;     1
 19570218;    8900;   3.790;     9;     1
 19570219;    6000;   2.555;     9;     1
 19570220;    5100;   2.172;     9;     1
 19570221;    5100;   2.172;     9;     1
 19570222;    3500;   1.491;     9;     1
 19570223;    3200;   1.363;     9;     1
 19570224;  190000;  80.919;     9;     1
 19570225;  170000;  72.401;     9;     1
 19570226;   73000;  31.090;     9;     1
 19570227;   48000;  20.443;     9;     1
 19570228;   29000;  12.351;     9;     1
 19570301;   25000;  10.647;     9;     1
 19570302;   21000;   8.944;     9;     1
 19570303;   16000;   6.814;     9;     1
 19570304;   12500;   5.324;     9;     1
 19570305;    8000;   3.407;     9;     1
 19570306;    6300;   2.683;     9;     1
 19570307;   23000;   9.795;     9;     1
 19570308;   23000;   9.795;     9;     1
 19570309;   18500;   7.879;     9;     1
 19570310;   16500;   7.027;     9;     1
 19570311;   14500;   6.175;     9;     1
 19570312;   14500;   6.175;     9;     1
 19570313;   12500;   5.324;     9;     1
 19570314;    8900;   3.790;     9;     1
 19570315;    7400;   3.152;     9;     1
 19570316;    7400;   3.152;     9;     1
 19570317;    8000;   3.407;     9;     1
 19570318;   12500;   5.324;     9;     1
 19570319;    9700;   4.131;     9;     1
 19570320;    8900;   3.790;     9;     1
 19570321;    7800;   3.322;     9;     1
 19570322;    6000;   2.555;     9;     1
 19570323;    6300;   2.683;     9;     1
 19570324;   13000;   5.537;     9;     1
 19570325;   10000;   4.259;     9;     1
 19570326;    6200;   2.641;     9;     1
 19570327;    5100;   2.172;     9;     1
 19570328;    5600;   2.385;     9;     1
 19570329;    6000;   2.555;     9;     1
 19570330;    5200;   2.215;     9;     1
 19570331;    3500;   1.491;     9;     1
 19570401;    2600;   1.107;     9;     1
 19570402;   12500;   5.324;     9;     1
 19570403;    5300;   2.257;     9;     1
 19570404;    3200;   1.363;     9;     1
