## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:07:07
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Franche-Comté
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V2624010
## Nom station                      : La Valouse à Thoirette [Chalea]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      893855 ;    6577867 ;      893842 ;    6577842 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      845082 ;    2146369 ;      845113 ;    2146349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.51772 ;   46.27287 ;     5.51754 ;   46.27265 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      280.00 ;     279.61 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         287 ;        295 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1956-01-01 ; 1998-11-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19560101;   24000;   7.416;     9;     1
 19560102;   21000;   6.489;     9;     1
 19560103;   17000;   5.253;     9;     1
 19560104;   13000;   4.017;     9;     1
 19560105;   11500;   3.554;     9;     1
 19560106;   10000;   3.090;     9;     1
 19560107;    8700;   2.688;     9;     1
 19560108;    7300;   2.256;     9;     1
 19560109;    5900;   1.823;     9;     1
 19560110;    3500;   1.082;     9;     1
 19560111;    2500;   0.773;     9;     1
 19560112;    4600;   1.421;     9;     1
 19560113;   15500;   4.790;     9;     1
 19560114;   24000;   7.416;     9;     1
 19560115;   15500;   4.790;     9;     1
 19560116;   18500;   5.717;     9;     1
 19560117;   15500;   4.790;     9;     1
 19560118;   18500;   5.717;     9;     1
 19560119;   29000;   8.961;     9;     1
 19560120;   18500;   5.717;     9;     1
 19560121;   13000;   4.017;     9;     1
 19560122;   10000;   3.090;     9;     1
 19560123;    8700;   2.688;     9;     1
 19560124;   11500;   3.554;     9;     1
 19560125;    8700;   2.688;     9;     1
 19560126;    7300;   2.256;     9;     1
 19560127;   10000;   3.090;     9;     1
 19560128;   25000;   7.725;     9;     1
 19560129;   15500;   4.790;     9;     1
 19560130;   28000;   8.652;     9;     1
 19560131;   25000;   7.725;     9;     1
 19560201;   22000;   6.798;     9;     1
 19560202;   15500;   4.790;     9;     1
 19560203;   11500;   3.554;     9;     1
 19560204;    8700;   2.688;     9;     1
 19560205;    7300;   2.256;     9;     1
 19560206;    5900;   1.823;     9;     1
 19560207;    4600;   1.421;     9;     1
 19560208;    4600;   1.421;     9;     1
 19560209;    3500;   1.082;     9;     1
 19560210;    3500;   1.082;     9;     1
 19560211;    3500;   1.082;     9;     1
 19560212;    2500;   0.773;     9;     0
 19560213;    2500;   0.773;     9;     0
 19560214;    2500;   0.773;     9;     0
 19560215;    2500;   0.773;     5;     0
 19560216;    2500;   0.773;     5;     0
 19560217;    2500;   0.773;     5;     0
 19560218;    2500;   0.773;     5;     0
 19560219;    2500;   0.773;     5;     0
 19560220;    2500;   0.773;     5;     0
 19560221;    2500;   0.773;     5;     0
 19560222;    2500;   0.773;     5;     0
 19560223;    2100;   0.649;     5;     1
 19560224;     750;   0.232;     5;     0
 19560225;     750;   0.232;     5;     0
 19560226;     750;   0.232;     5;     0
 19560227;     750;   0.232;     5;     0
 19560228;     750;   0.232;     9;     0
 19560229;     750;   0.232;     9;     0
 19560301;    1650;   0.510;     9;     1
 19560302;    1650;   0.510;     9;     1
 19560303;   15500;   4.790;     9;     1
 19560304;   14000;   4.326;     9;     1
 19560305;   27000;   8.343;     9;     1
 19560306;   18500;   5.717;     9;     1
 19560307;   13000;   4.017;     9;     1
 19560308;   10000;   3.090;     9;     1
 19560309;    7300;   2.256;     9;     1
 19560310;    5900;   1.823;     9;     1
 19560311;    4600;   1.421;     9;     1
 19560312;    4600;   1.421;     9;     1
 19560313;    3500;   1.082;     9;     1
 19560314;    3500;   1.082;     9;     1
 19560315;    2500;   0.773;     9;     1
 19560316;    2500;   0.773;     9;     1
 19560317;    2500;   0.773;     9;     1
 19560318;    1650;   0.510;     9;     1
 19560319;    1650;   0.510;     9;     1
 19560320;    1650;   0.510;     9;     1
 19560321;    1650;   0.510;     9;     1
 19560322;   11500;   3.554;     9;     1
 19560323;   11500;   3.554;     9;     1
 19560324;   10000;   3.090;     9;     1
 19560325;    8700;   2.688;     9;     1
 19560326;    8700;   2.688;     9;     1
 19560327;    7300;   2.256;     9;     1
 19560328;    5900;   1.823;     9;     1
 19560329;    5900;   1.823;     9;     1
 19560330;    4600;   1.421;     9;     1
 19560331;    3500;   1.082;     9;     1
 19560401;   10000;   3.090;     9;     1
 19560402;    8700;   2.688;     9;     1
 19560403;    7300;   2.256;     9;     1
 19560404;    5900;   1.823;     9;     1
 19560405;    5900;   1.823;     9;     1
 19560406;    4600;   1.421;     9;     1
 19560407;    4600;   1.421;     9;     1
 19560408;    4600;   1.421;     9;     1
 19560409;    3500;   1.082;     9;     1
 19560410;    3500;   1.082;     9;     1
 19560411;    3500;   1.082;     9;     1
 19560412;    3500;   1.082;     9;     1
 19560413;    2500;   0.773;     9;     1
 19560414;    3500;   1.082;     9;     1
 19560415;   15500;   4.790;     9;     1
 19560416;   29000;   8.961;     9;     1
 19560417;   29000;   8.961;     9;     1
 19560418;   26000;   8.034;     9;     1
 19560419;   17000;   5.253;     9;     1
 19560420;   13000;   4.017;     9;     1
