## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:07:44
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) SPC Grand Delta
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V4145210
## Nom station                      : La Glueyre à Gluiras [Tisonèche]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      820004 ;    6415647 ;      820019 ;    6415618 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      772597 ;    1983377 ;      772613 ;    1983349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.51838 ;   44.82960 ;     4.51857 ;   44.82934 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       70.90 ;      71.76 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         411 ;        430 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.5 [%]
## Débits disponibles               :  1953-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/04 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19530101;    1110;   1.336;     9;     1
 19530102;    1080;   1.300;     9;     1
 19530103;    1030;   1.240;     9;     1
 19530104;     950;   1.144;     9;     1
 19530105;     910;   1.096;     9;     1
 19530106;     890;   1.072;     9;     1
 19530107;     875;   1.054;     9;     1
 19530108;     855;   1.029;     9;     1
 19530109;     800;   0.963;     9;     1
 19530110;     875;   1.054;     9;     1
 19530111;     810;   0.975;     9;     1
 19530112;     875;   1.054;     9;     1
 19530113;     815;   0.981;     9;     1
 19530114;     815;   0.981;     9;     1
 19530115;     760;   0.915;     9;     1
 19530116;     730;   0.879;     9;     1
 19530117;     730;   0.879;     9;     1
 19530118;     695;   0.837;     9;     0
 19530119;     695;   0.837;     9;     0
 19530120;     695;   0.837;     9;     0
 19530121;     695;   0.837;     9;     0
 19530122;     695;   0.837;     9;     0
 19530123;     730;   0.879;     9;     1
 19530124;     760;   0.915;     9;     1
 19530125;     760;   0.915;     9;     1
 19530126;     760;   0.915;     9;     1
 19530127;     730;   0.879;     9;     1
 19530128;     730;   0.879;     9;     1
 19530129;     760;   0.915;     9;     1
 19530130;     760;   0.915;     9;     1
 19530131;     800;   0.963;     9;     1
 19530201;     760;   0.915;     9;     1
 19530202;     760;   0.915;     9;     1
 19530203;     730;   0.879;     9;     1
 19530204;     695;   0.837;     9;     1
 19530205;     630;   0.759;     9;     1
 19530206;     730;   0.879;     9;     1
 19530207;     630;   0.759;     9;     1
 19530208;     600;   0.722;     9;     1
 19530209;     550;   0.662;     9;     1
 19530210;     520;   0.626;     9;     1
 19530211;     550;   0.662;     9;     1
 19530212;     630;   0.759;     9;     1
 19530213;     575;   0.692;     9;     1
 19530214;     575;   0.692;     9;     1
 19530215;     550;   0.662;     9;     1
 19530216;     550;   0.662;     9;     1
 19530217;     520;   0.626;     9;     1
 19530218;     550;   0.662;     9;     1
 19530219;     520;   0.626;     9;     1
 19530220;     550;   0.662;     9;     1
 19530221;     520;   0.626;     9;     1
 19530222;     520;   0.626;     9;     1
 19530223;     600;   0.722;     9;     1
 19530224;     600;   0.722;     9;     1
 19530225;     575;   0.692;     9;     1
 19530226;     550;   0.662;     9;     1
 19530227;     535;   0.644;     9;     1
 19530228;     520;   0.626;     9;     1
 19530301;     520;   0.626;     9;     1
 19530302;     550;   0.662;     9;     1
 19530303;     550;   0.662;     9;     1
 19530304;     550;   0.662;     9;     1
 19530305;     520;   0.626;     9;     1
 19530306;     550;   0.662;     9;     1
 19530307;     483;   0.582;     9;     1
 19530308;     496;   0.597;     9;     1
 19530309;     520;   0.626;     9;     1
 19530310;     520;   0.626;     9;     1
 19530311;     496;   0.597;     9;     1
 19530312;     470;   0.566;     9;     1
 19530313;     483;   0.582;     9;     1
 19530314;     448;   0.539;     9;     1
 19530315;     448;   0.539;     9;     1
 19530316;     404;   0.486;     9;     1
 19530317;     448;   0.539;     9;     1
 19530318;     448;   0.539;     9;     1
 19530319;     426;   0.513;     9;     1
 19530320;     426;   0.513;     9;     1
 19530321;     448;   0.539;     9;     1
 19530322;     404;   0.486;     9;     1
 19530323;     426;   0.513;     9;     1
 19530324;     426;   0.513;     9;     1
 19530325;     382;   0.460;     9;     1
 19530326;     382;   0.460;     9;     1
 19530327;     360;   0.433;     9;     1
 19530328;     342;   0.412;     9;     1
