## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:07:48
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V4225010
## Nom station                      : Le Bez [Le Bès] à Châtillon-en-Diois
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      897319 ;    6402412 ;      897333 ;    6402469 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      850100 ;    1970791 ;      850113 ;    1970849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.49083 ;   44.69281 ;     5.49102 ;   44.69332 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      227.00 ;     227.36 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         558 ;        564 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.4 [%]
## Débits disponibles               :  1963-01-01 ; 2021-02-14 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19630101;    5900;   2.242;     9;     1
 19630102;    6050;   2.299;     9;     1
 19630103;   11900;   4.522;     9;     1
 19630104;    9450;   3.591;     9;     1
 19630105;    8100;   3.078;     9;     1
 19630106;    7950;   3.021;     9;     1
 19630107;    7750;   2.945;     9;     1
 19630108;    7750;   2.945;     9;     1
 19630109;    7050;   2.679;     9;     1
 19630110;    6700;   2.546;     9;     1
 19630111;    7050;   2.679;     9;     1
 19630112;    6500;   2.470;     9;     1
 19630113;    5900;   2.242;     9;     1
 19630114;    5150;   1.957;     9;     1
 19630115;    4860;   1.847;     9;     1
 19630116;    4580;   1.740;     9;     1
 19630117;    4300;   1.634;     9;     1
 19630118;    4160;   1.581;     9;     1
 19630119;    4020;   1.528;     9;     1
 19630120;    3740;   1.421;     9;     1
 19630121;    3460;   1.315;     9;     0
 19630122;    3320;   1.262;     9;     0
 19630123;    3180;   1.208;     9;     0
 19630124;    3040;   1.155;     9;     0
 19630125;    2900;   1.102;     9;     0
 19630126;    2790;   1.060;     9;     1
 19630127;    2680;   1.018;     9;     1
 19630128;    2680;   1.018;     9;     1
 19630129;    2570;   0.977;     9;     1
 19630130;    2570;   0.977;     9;     1
 19630131;    2460;   0.935;     9;     1
 19630201;    2460;   0.935;     9;     1
 19630202;    2350;   0.893;     9;     1
 19630203;    2350;   0.893;     9;     1
 19630204;    2350;   0.893;     9;     1
 19630205;    2250;   0.855;     9;     1
 19630206;    2150;   0.817;     9;     0
 19630207;    2150;   0.817;     9;     0
 19630208;    2150;   0.817;     9;     0
 19630209;    2150;   0.817;     9;     0
 19630210;    2150;   0.817;     9;     0
 19630211;    2250;   0.855;     9;     1
 19630212;    2250;   0.855;     9;     1
 19630213;    2150;   0.817;     9;     1
 19630214;    2150;   0.817;     9;     1
 19630215;    2150;   0.817;     9;     1
 19630216;    2150;   0.817;     9;     1
 19630217;    2250;   0.855;     9;     1
 19630218;    2350;   0.893;     9;     1
 19630219;    3040;   1.155;     9;     1
 19630220;    3460;   1.315;     9;     1
 19630221;    2900;   1.102;     9;     1
 19630222;    2680;   1.018;     9;     1
 19630223;    2460;   0.935;     9;     1
 19630224;    2350;   0.893;     9;     1
 19630225;    2250;   0.855;     9;     1
 19630226;    2250;   0.855;     9;     1
 19630227;    2250;   0.855;     9;     1
 19630228;    2150;   0.817;     9;     1
 19630301;    2150;   0.817;     9;     1
 19630302;    2150;   0.817;     9;     1
 19630303;    2050;   0.779;     9;     1
 19630304;    2050;   0.779;     9;     1
 19630305;    2050;   0.779;     9;     1
 19630306;    2250;   0.855;     9;     1
 19630307;    2460;   0.935;     9;     1
 19630308;    2790;   1.060;     9;     1
 19630309;    3740;   1.421;     9;     1
 19630310;    4580;   1.740;     9;     1
 19630311;    4860;   1.847;     9;     1
 19630312;    7600;   2.888;     9;     1
 19630313;    7400;   2.812;     9;     1
 19630314;    5750;   2.185;     9;     1
 19630315;    5600;   2.128;     9;     1
 19630316;    5600;   2.128;     9;     1
 19630317;    6350;   2.413;     9;     1
 19630318;    8300;   3.154;     9;     1
 19630319;    9800;   3.724;     9;     1
 19630320;    9450;   3.591;     9;     1
 19630321;    8700;   3.306;     9;     1
 19630322;    7750;   2.945;     9;     1
 19630323;    7050;   2.679;     9;     1
 19630324;    6350;   2.413;     9;     1
 19630325;    6050;   2.299;     9;     1
 19630326;    6050;   2.299;     9;     1
 19630327;    7200;   2.736;     9;     1
 19630328;   10200;   3.876;     9;     1
 19630329;    8850;   3.363;     9;     1
 19630330;    8850;   3.363;     9;     1
 19630331;    8300;   3.154;     9;     1
 19630401;    7600;   2.888;     9;     1
 19630402;    6850;   2.603;     9;     1
 19630403;    6500;   2.470;     9;     1
 19630404;    6500;   2.470;     9;     1
 19630405;    6500;   2.470;     9;     1
 19630406;    6200;   2.356;     9;     1
 19630407;    6050;   2.299;     9;     1
 19630408;    5750;   2.185;     9;     1
 19630409;    5900;   2.242;     9;     1
 19630410;    7950;   3.021;     9;     1
 19630411;   17800;   6.764;     9;     1
 19630412;   13700;   5.206;     9;     1
 19630413;   12400;   4.712;     9;     1
 19630414;   11400;   4.332;     9;     1
 19630415;   10900;   4.142;     9;     1
 19630416;   11200;   4.256;     9;     1
 19630417;   11200;   4.256;     9;     1
 19630418;   11600;   4.408;     9;     1
 19630419;   10400;   3.952;     9;     1
 19630420;   10700;   4.066;     9;     1
 19630421;   11900;   4.522;     9;     1
 19630422;   11400;   4.332;     9;     1
 19630423;   11400;   4.332;     9;     1
 19630424;    9800;   3.724;     9;     1
 19630425;    9650;   3.667;     9;     1
 19630426;   10400;   3.952;     9;     1
 19630427;   11200;   4.256;     9;     1
 19630428;   11400;   4.332;     9;     1
 19630429;   11900;   4.522;     9;     1
 19630430;   11900;   4.522;     9;     1
 19630501;   12600;   4.788;     9;     1
 19630502;   12100;   4.598;     9;     1
 19630503;   10400;   3.952;     9;     1
 19630504;    8100;   3.078;     9;     1
 19630505;    7750;   2.945;     9;     1
 19630506;    8300;   3.154;     9;     1
 19630507;    9050;   3.439;     9;     1
 19630508;    9450;   3.591;     9;     1
 19630509;    9450;   3.591;     9;     1
 19630510;    8500;   3.230;     9;     1
 19630511;    8100;   3.078;     9;     1
 19630512;    7400;   2.812;     9;     1
 19630513;    8300;   3.154;     9;     1
 19630514;    8500;   3.230;     9;     1
 19630515;    7050;   2.679;     9;     1
 19630516;    6200;   2.356;     9;     1
 19630517;    5900;   2.242;     9;     1
 19630518;    7050;   2.679;     9;     1
 19630519;    8100;   3.078;     9;     1
 19630520;    7200;   2.736;     9;     1
 19630521;    7200;   2.736;     9;     1
 19630522;    7600;   2.888;     9;     1
 19630523;    7200;   2.736;     9;     1
 19630524;    6200;   2.356;     9;     1
 19630525;    6200;   2.356;     9;     1
 19630526;    6350;   2.413;     9;     1
 19630527;    6350;   2.413;     9;     1
 19630528;    6200;   2.356;     9;     1
 19630529;    6200;   2.356;     9;     1
 19630530;    6500;   2.470;     9;     1
 19630531;    7050;   2.679;     9;     1
 19630601;    6500;   2.470;     9;     1
 19630602;    6700;   2.546;     9;     1
 19630603;    7050;   2.679;     9;     1
 19630604;    7750;   2.945;     9;     1
 19630605;    7600;   2.888;     9;     1
 19630606;    6500;   2.470;     9;     1
 19630607;    6050;   2.299;     9;     1
 19630608;    5750;   2.185;     9;     1
 19630609;    5900;   2.242;     9;     1
 19630610;    6350;   2.413;     9;     1
 19630611;    6050;   2.299;     9;     1
 19630612;    5600;   2.128;     9;     1
 19630613;    5150;   1.957;     9;     1
 19630614;    6700;   2.546;     9;     1
 19630615;    6050;   2.299;     9;     1
 19630616;    5900;   2.242;     9;     1
 19630617;    5150;   1.957;     9;     1
 19630618;    5000;   1.900;     9;     1
 19630619;    4720;   1.794;     9;     1
 19630620;    4440;   1.687;     9;     1
 19630621;    4160;   1.581;     9;     1
 19630622;    4020;   1.528;     9;     1
 19630623;    3880;   1.474;     9;     1
 19630624;    3880;   1.474;     9;     1
 19630625;    4160;   1.581;     9;     1
 19630626;    4160;   1.581;     9;     1
 19630627;    3740;   1.421;     9;     1
 19630628;    3740;   1.421;     9;     1
 19630629;    3880;   1.474;     9;     1
 19630630;    3600;   1.368;     9;     0
 19630701;    3460;   1.315;     9;     0
 19630702;    3320;   1.262;     9;     0
 19630703;    3180;   1.208;     9;     0
 19630704;    3040;   1.155;     9;     0
 19630705;    2900;   1.102;     9;     0
 19630706;    2900;   1.102;     9;     1
 19630707;    2790;   1.060;     9;     1
 19630708;    2460;   0.935;     9;     1
 19630709;    2350;   0.893;     9;     1
 19630710;    2150;   0.817;     9;     1
 19630711;    2150;   0.817;     9;     1
 19630712;    2050;   0.779;     9;     1
 19630713;    3040;   1.155;     9;     1
 19630714;    4720;   1.794;     9;     1
 19630715;    3180;   1.208;     9;     1
 19630716;    2790;   1.060;     9;     1
 19630717;    2570;   0.977;     9;     1
 19630718;    2680;   1.018;     9;     1
 19630719;    2680;   1.018;     9;     1
 19630720;    2460;   0.935;     9;     1
 19630721;    2350;   0.893;     9;     1
 19630722;    2680;   1.018;     9;     1
 19630723;    2460;   0.935;     9;     1
 19630724;    2350;   0.893;     9;     1
 19630725;    2250;   0.855;     9;     1
 19630726;    2250;   0.855;     9;     1
 19630727;    2150;   0.817;     9;     1
 19630728;    2150;   0.817;     9;     1
 19630729;    2050;   0.779;     9;     1
 19630730;    1950;   0.741;     9;     1
 19630731;    1950;   0.741;     9;     1
 19630801;    1850;   0.703;     9;     1
 19630802;    1760;   0.669;     9;     1
 19630803;    1760;   0.669;     9;     1
 19630804;    3320;   1.262;     9;     1
 19630805;    2250;   0.855;     9;     1
 19630806;    1950;   0.741;     9;     1
 19630807;    1950;   0.741;     9;     1
 19630808;    2350;   0.893;     9;     1
 19630809;    2150;   0.817;     9;     1
 19630810;    2050;   0.779;     9;     1
 19630811;    1950;   0.741;     9;     1
 19630812;    1580;   0.600;     9;     1
 19630813;    2150;   0.817;     9;     1
 19630814;    2050;   0.779;     9;     1
 19630815;    3740;   1.421;     9;     1
 19630816;    2680;   1.018;     9;     1
 19630817;    5900;   2.242;     9;     1
 19630818;    7050;   2.679;     9;     1
 19630819;    4860;   1.847;     9;     1
 19630820;    4300;   1.634;     9;     1
 19630821;    3740;   1.421;     9;     1
 19630822;    3460;   1.315;     9;     1
 19630823;    3180;   1.208;     9;     1
