## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:07:52
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V4275010
## Nom station                      : La Gervanne à Beaufort-sur-Gervanne
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      869749 ;    6410819 ;      869732 ;    6410898 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      822431 ;    1978970 ;      822413 ;    1979049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.14587 ;   44.77575 ;     5.14568 ;   44.77647 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      108.00 ;      99.15 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :       325.0 ;      327.5 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.7 [%]
## Débits disponibles               :  1966-04-26 ; 2021-02-14 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660426;    5850;   5.098;     9;     1
 19660427;    4800;   4.183;     9;     1
 19660428;    3520;   3.067;     9;     1
 19660429;    2850;   2.484;     9;     1
 19660430;    2750;   2.396;     9;     1
 19660501;    2330;   2.030;     9;     1
 19660502;    1830;   1.595;     9;     1
 19660503;    1510;   1.316;     9;     1
 19660504;    1230;   1.072;     9;     1
 19660505;     925;   0.806;     9;     1
 19660506;    1460;   1.272;     9;     1
 19660507;    3770;   3.285;     9;     1
 19660508;    3150;   2.745;     9;     1
 19660509;    1750;   1.525;     9;     1
 19660510;    1800;   1.569;     9;     1
 19660511;    2000;   1.743;     9;     1
 19660512;     -99; -99.000;   -99;   -99
 19660513;     -99; -99.000;   -99;   -99
 19660514;     -99; -99.000;   -99;   -99
 19660515;     -99; -99.000;   -99;   -99
 19660516;     -99; -99.000;   -99;   -99
 19660517;     -99; -99.000;   -99;   -99
 19660518;     -99; -99.000;   -99;   -99
 19660519;     -99; -99.000;   -99;   -99
 19660520;     -99; -99.000;   -99;   -99
 19660521;    1160;   1.011;     9;     1
 19660522;    1040;   0.906;     9;     1
 19660523;     980;   0.854;     9;     1
 19660524;     925;   0.806;     9;     1
 19660525;     870;   0.758;     9;     1
 19660526;     805;   0.701;     9;     1
 19660527;     710;   0.619;     9;     1
 19660528;     660;   0.575;     9;     1
 19660529;     675;   0.588;     9;     1
 19660530;     570;   0.497;     9;     1
 19660531;     525;   0.457;     9;     1
 19660601;     485;   0.423;     9;     1
 19660602;     445;   0.388;     9;     1
 19660603;     445;   0.388;     9;     1
 19660604;     405;   0.353;     9;     1
 19660605;     405;   0.353;     9;     1
 19660606;     371;   0.323;     9;     1
 19660607;     338;   0.295;     9;     1
 19660608;     338;   0.295;     9;     1
 19660609;     306;   0.267;     9;     1
 19660610;     275;   0.240;     9;     1
 19660611;     275;   0.240;     9;     1
 19660612;     246;   0.214;     9;     1
 19660613;     218;   0.190;     9;     1
 19660614;     218;   0.190;     9;     1
 19660615;     194;   0.169;     9;     1
 19660616;     194;   0.169;     9;     1
 19660617;     170;   0.148;     9;     1
 19660618;    1190;   1.037;     9;     1
 19660619;     405;   0.353;     9;     1
 19660620;     405;   0.353;     9;     1
 19660621;     371;   0.323;     9;     1
 19660622;     338;   0.295;     9;     1
 19660623;     306;   0.267;     9;     1
 19660624;     275;   0.240;     9;     1
 19660625;     275;   0.240;     9;     1
 19660626;     246;   0.214;     9;     0
 19660627;     246;   0.214;     9;     0
 19660628;     246;   0.214;     9;     0
 19660629;     246;   0.214;     9;     0
 19660630;     246;   0.214;     9;     0
 19660701;     218;   0.190;     9;     1
 19660702;     194;   0.169;     9;     1
 19660703;     170;   0.148;     9;     1
 19660704;     170;   0.148;     9;     1
 19660705;     170;   0.148;     9;     1
 19660706;     246;   0.214;     9;     1
 19660707;     194;   0.169;     9;     1
 19660708;     170;   0.148;     9;     1
 19660709;     149;   0.130;     9;     1
 19660710;     128;   0.112;     9;     1
 19660711;     149;   0.130;     9;     1
 19660712;     128;   0.112;     9;     1
 19660713;     107;   0.093;     9;     1
 19660714;     107;   0.093;     9;     1
 19660715;     194;   0.169;     9;     1
 19660716;     128;   0.112;     9;     1
 19660717;     128;   0.112;     9;     1
 19660718;     128;   0.112;     9;     1
 19660719;     710;   0.619;     9;     1
