## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:07:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V4414010
## Nom station                      : Le Roubion à Soyans
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      859850 ;    6393825 ;      859995 ;    6393798 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      812668 ;    1961875 ;      812813 ;    1961849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.01530 ;   44.62516 ;     5.01712 ;   44.62489 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      186.00 ;     185.95 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         264 ;        276 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.4 [%]
## Débits disponibles               :  1965-01-01 ; 2021-02-14 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;    2800;   1.301;     9;     1
 19650102;    2400;   1.115;     9;     1
 19650103;    1880;   0.874;     9;     1
 19650104;    1640;   0.762;     9;     1
 19650105;    1410;   0.655;     9;     1
 19650106;    1530;   0.711;     9;     1
 19650107;    1530;   0.711;     9;     1
 19650108;    1410;   0.655;     9;     0
 19650109;    1410;   0.655;     9;     0
 19650110;    1410;   0.655;     9;     0
 19650111;    1410;   0.655;     9;     0
 19650112;    1410;   0.655;     9;     0
 19650113;    1880;   0.874;     9;     0
 19650114;    1880;   0.874;     9;     0
 19650115;    1880;   0.874;     9;     0
 19650116;    1880;   0.874;     9;     0
 19650117;    1880;   0.874;     9;     0
 19650118;    1880;   0.874;     9;     0
 19650119;    2200;   1.022;     9;     0
 19650120;    2200;   1.022;     9;     0
 19650121;    2200;   1.022;     9;     0
 19650122;    2200;   1.022;     9;     0
 19650123;    2200;   1.022;     9;     0
 19650124;    2000;   0.929;     9;     1
 19650125;    2000;   0.929;     9;     1
 19650126;    1880;   0.874;     9;     1
 19650127;    1880;   0.874;     9;     1
 19650128;    1880;   0.874;     9;     1
 19650129;    2800;   1.301;     9;     1
 19650130;    2600;   1.208;     9;     1
 19650131;    2600;   1.208;     9;     1
 19650201;    2600;   1.208;     9;     1
 19650202;    2200;   1.022;     9;     1
 19650203;    2000;   0.929;     9;     1
 19650204;    2000;   0.929;     9;     1
 19650205;    1880;   0.874;     9;     1
 19650206;    1880;   0.874;     9;     1
 19650207;    1880;   0.874;     9;     1
 19650208;    1760;   0.818;     9;     1
 19650209;    1640;   0.762;     9;     1
 19650210;    1880;   0.874;     9;     1
 19650211;    1530;   0.711;     9;     1
 19650212;    1530;   0.711;     9;     1
 19650213;    1530;   0.711;     9;     1
 19650214;    1530;   0.711;     9;     1
 19650215;    1410;   0.655;     9;     1
 19650216;    1410;   0.655;     9;     1
 19650217;    1410;   0.655;     9;     1
 19650218;    1300;   0.604;     9;     1
 19650219;    1300;   0.604;     9;     1
 19650220;    1180;   0.548;     9;     1
 19650221;    1180;   0.548;     9;     1
 19650222;     950;   0.441;     9;     1
 19650223;    1410;   0.655;     9;     1
 19650224;    1410;   0.655;     9;     1
 19650225;    1300;   0.604;     9;     1
 19650226;    1180;   0.548;     9;     1
 19650227;    1180;   0.548;     9;     1
 19650228;    1180;   0.548;     9;     1
 19650301;    1640;   0.762;     5;     1
 19650302;    9600;   4.461;     5;     1
 19650303;    6000;   2.788;     5;     1
 19650304;    3800;   1.766;     5;     1
 19650305;    2800;   1.301;     5;     1
 19650306;    2200;   1.022;     5;     1
 19650307;    2000;   0.929;     9;     1
 19650308;    2000;   0.929;     9;     1
 19650309;    2000;   0.929;     9;     1
 19650310;    1880;   0.874;     9;     1
 19650311;    1760;   0.818;     9;     1
 19650312;    1640;   0.762;     9;     1
 19650313;    1640;   0.762;     9;     1
 19650314;    1530;   0.711;     9;     1
 19650315;    1410;   0.655;     9;     1
 19650316;    1760;   0.818;     9;     1
 19650317;    2000;   0.929;     9;     1
 19650318;    6400;   2.974;     9;     1
 19650319;    5600;   2.602;     9;     1
 19650320;    4000;   1.859;     9;     1
 19650321;    3400;   1.580;     9;     1
 19650322;    3000;   1.394;     9;     1
 19650323;    4400;   2.044;     9;     1
 19650324;    6000;   2.788;     9;     1
