## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:07:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V4455010
## Nom station                      : Le Jabron à Souspierre
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      856315 ;    6383256 ;      856308 ;    6383240 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      809220 ;    1951265 ;      809213 ;    1951249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.96744 ;   44.53084 ;     4.96734 ;   44.53070 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       85.00 ;      78.98 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         245 ;        256 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.8 [%]
## Débits disponibles               :  1965-02-11 ; 2021-02-14 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650211;     519;   0.568;     9;     1
 19650212;     519;   0.568;     9;     1
 19650213;     519;   0.568;     9;     1
 19650214;     519;   0.568;     9;     1
 19650215;     518;   0.567;     9;     1
 19650216;     504;   0.551;     9;     1
 19650217;     478;   0.523;     9;     1
 19650218;     461;   0.504;     9;     1
 19650219;     456;   0.499;     9;     1
 19650220;     448;   0.490;     9;     1
 19650221;     441;   0.482;     9;     1
 19650222;     435;   0.476;     9;     1
 19650223;     440;   0.481;     9;     1
 19650224;     448;   0.490;     9;     1
 19650225;     457;   0.500;     9;     1
 19650226;     465;   0.509;     9;     1
 19650227;     473;   0.517;     9;     1
 19650228;     481;   0.526;     9;     1
 19650301;     568;   0.621;     9;     1
 19650302;    3080;   3.369;     9;     1
 19650303;    1740;   1.903;     9;     1
 19650304;    1360;   1.488;     9;     1
 19650305;    1250;   1.367;     9;     1
 19650306;    1170;   1.280;     9;     1
 19650307;    1090;   1.192;     9;     1
 19650308;    1020;   1.116;     9;     1
 19650309;     980;   1.072;     9;     0
 19650310;     946;   1.035;     9;     0
 19650311;     912;   0.998;     9;     0
 19650312;     878;   0.960;     9;     0
 19650313;     844;   0.923;     9;     0
 19650314;     813;   0.889;     9;     1
 19650315;     785;   0.859;     9;     1
 19650316;     927;   1.014;     9;     1
 19650317;    1820;   1.991;     9;     1
 19650318;    2100;   2.297;     9;     1
 19650319;    1810;   1.980;     9;     1
 19650320;    1600;   1.750;     9;     1
 19650321;    1530;   1.674;     9;     1
 19650322;    1940;   2.122;     9;     1
 19650323;    1960;   2.144;     9;     1
 19650324;    1680;   1.838;     9;     1
 19650325;    1520;   1.663;     9;     1
 19650326;    1450;   1.586;     9;     1
 19650327;    1390;   1.521;     9;     1
 19650328;    1330;   1.455;     9;     1
 19650329;    1180;   1.291;     9;     1
 19650330;    1010;   1.105;     9;     1
 19650331;     978;   1.070;     9;     1
 19650401;     943;   1.032;     9;     1
 19650402;     907;   0.992;     9;     1
 19650403;     869;   0.951;     9;     1
 19650404;     832;   0.910;     9;     1
 19650405;     -99; -99.000;   -99;   -99
 19650406;     -99; -99.000;   -99;   -99
 19650407;     -99; -99.000;   -99;   -99
 19650408;     -99; -99.000;   -99;   -99
 19650409;     -99; -99.000;   -99;   -99
 19650410;     -99; -99.000;   -99;   -99
 19650411;     -99; -99.000;   -99;   -99
 19650412;     -99; -99.000;   -99;   -99
 19650413;     957;   1.047;     9;     1
 19650414;     945;   1.034;     9;     1
 19650415;     934;   1.022;     9;     1
 19650416;     893;   0.977;     9;     1
 19650417;     874;   0.956;     9;     1
 19650418;     862;   0.943;     9;     1
 19650419;     860;   0.941;     9;     1
 19650420;     869;   0.951;     9;     1
 19650421;     841;   0.920;     9;     1
 19650422;     816;   0.893;     9;     1
 19650423;     791;   0.865;     9;     1
 19650424;     765;   0.837;     9;     1
 19650425;     740;   0.810;     9;     1
 19650426;     715;   0.782;     9;     1
 19650427;     690;   0.755;     9;     1
 19650428;     666;   0.729;     9;     1
 19650429;     643;   0.703;     9;     1
 19650430;     619;   0.677;     9;     1
 19650501;     596;   0.652;     9;     1
 19650502;     573;   0.627;     9;     1
 19650503;     -99; -99.000;   -99;   -99
 19650504;     -99; -99.000;   -99;   -99
 19650505;     -99; -99.000;   -99;   -99
