## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:08:16
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) SPC Grand Delta
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V5324010
## Nom station                      : L'Aygues à Saint-May [Pont de la Tune]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      882852 ;    6373262 ;      882796 ;    6373223 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      835869 ;    1941489 ;      835813 ;    1941449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.29761 ;   44.43446 ;     5.29689 ;   44.43412 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      473.00 ;     475.08 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         382 ;        408 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    41.8 [%]
## Débits disponibles               :  1906-10-01 ; 2016-11-19 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19061001;     460;   0.084;     9;     1
 19061002;     460;   0.084;     9;     1
 19061003;     480;   0.087;     9;     1
 19061004;     480;   0.087;     9;     1
 19061005;     480;   0.087;     9;     1
 19061006;     480;   0.087;     9;     1
 19061007;     500;   0.091;     9;     1
 19061008;     500;   0.091;     9;     1
 19061009;     540;   0.098;     9;     0
 19061010;     540;   0.098;     9;     0
 19061011;     540;   0.098;     9;     0
 19061012;     540;   0.098;     9;     0
 19061013;     540;   0.098;     9;     0
 19061014;     880;   0.160;     9;     1
 19061015;     700;   0.127;     9;     1
 19061016;     700;   0.127;     9;     1
 19061017;     660;   0.120;     9;     1
 19061018;     620;   0.113;     9;     1
 19061019;     620;   0.113;     9;     1
 19061020;     620;   0.113;     9;     1
 19061021;     580;   0.105;     9;     0
 19061022;     580;   0.105;     9;     0
 19061023;     580;   0.105;     9;     0
 19061024;     580;   0.105;     9;     0
 19061025;     580;   0.105;     9;     0
 19061026;     580;   0.105;     9;     0
 19061027;     580;   0.105;     9;     0
 19061028;     580;   0.105;     9;     0
 19061029;     580;   0.105;     9;     0
 19061030;     580;   0.105;     9;     0
 19061031;     700;   0.127;     9;     1
 19061101;     660;   0.120;     9;     1
 19061102;     620;   0.113;     9;     1
 19061103;     700;   0.127;     9;     1
 19061104;     760;   0.138;     9;     1
 19061105;    2200;   0.400;     9;     1
 19061106;    1880;   0.342;     9;     1
 19061107;  730000; 132.761;     9;     1
 19061108;  230000;  41.829;     9;     1
 19061109;  130000;  23.642;     9;     1
 19061110;  230000;  41.829;     9;     1
 19061111;  130000;  23.642;     9;     1
 19061112;    9400;   1.710;     9;     1
 19061113;    8760;   1.593;     9;     1
 19061114;    7800;   1.419;     9;     1
 19061115;    7540;   1.371;     9;     1
 19061116;    7020;   1.277;     9;     1
 19061117;    6500;   1.182;     9;     1
 19061118;    6260;   1.138;     9;     1
 19061119;   30000;   5.456;     9;     1
 19061120;   13600;   2.473;     9;     1
 19061121;   12700;   2.310;     9;     1
 19061122;   10200;   1.855;     9;     1
 19061123;    8440;   1.535;     9;     1
 19061124;    8440;   1.535;     9;     1
 19061125;    8120;   1.477;     9;     1
 19061126;    8120;   1.477;     9;     1
 19061127;    7540;   1.371;     9;     0
 19061128;    7280;   1.324;     9;     0
 19061129;    7020;   1.277;     9;     0
 19061130;    6760;   1.229;     9;     0
 19061201;    6500;   1.182;     9;     0
 19061202;    6500;   1.182;     9;     1
 19061203;    6260;   1.138;     9;     1
 19061204;    6020;   1.095;     9;     1
 19061205;    6500;   1.182;     9;     1
 19061206;    6760;   1.229;     9;     1
 19061207;    6500;   1.182;     9;     0
 19061208;    6260;   1.138;     9;     0
 19061209;    6020;   1.095;     9;     0
 19061210;    5780;   1.051;     9;     0
 19061211;    5540;   1.008;     9;     0
 19061212;    5540;   1.008;     9;     1
 19061213;    6500;   1.182;     9;     1
 19061214;    9400;   1.710;     9;     1
 19061215;   11300;   2.055;     9;     1
 19061216;   10900;   1.982;     9;     1
 19061217;   10200;   1.855;     9;     1
 19061218;    9400;   1.710;     9;     1
 19061219;    8760;   1.593;     9;     1
 19061220;    8440;   1.535;     9;     1
 19061221;    8120;   1.477;     9;     1
 19061222;    8120;   1.477;     9;     1
 19061223;    7800;   1.419;     9;     1
 19061224;    7540;   1.371;     9;     1
 19061225;    7280;   1.324;     9;     1
 19061226;    7280;   1.324;     9;     1
 19061227;    7020;   1.277;     9;     1
 19061228;    6500;   1.182;     9;     1
 19061229;    6020;   1.095;     9;     1
 19061230;    5780;   1.051;     9;     1
 19061231;    5780;   1.051;     9;     1
 19070101;    6260;   1.138;     9;     1
 19070102;    6020;   1.095;     9;     1
 19070103;    6500;   1.182;     9;     1
 19070104;    7800;   1.419;     9;     1
 19070105;    7540;   1.371;     9;     1
 19070106;    6500;   1.182;     9;     1
 19070107;    7280;   1.324;     9;     1
 19070108;    7280;   1.324;     9;     1
 19070109;    7280;   1.324;     9;     1
 19070110;    7020;   1.277;     9;     1
 19070111;    7020;   1.277;     9;     1
 19070112;    7280;   1.324;     9;     1
 19070113;    7280;   1.324;     9;     1
 19070114;    7020;   1.277;     9;     1
 19070115;    6500;   1.182;     9;     1
 19070116;    6500;   1.182;     9;     1
 19070117;    6260;   1.138;     9;     1
 19070118;    6260;   1.138;     9;     1
 19070119;    6020;   1.095;     9;     1
 19070120;    6020;   1.095;     9;     1
 19070121;    5780;   1.051;     9;     1
 19070122;    5780;   1.051;     9;     1
 19070123;    5780;   1.051;     9;     1
 19070124;    5540;   1.008;     9;     1
 19070125;    5540;   1.008;     9;     1
 19070126;    6020;   1.095;     9;     1
 19070127;    6260;   1.138;     9;     1
 19070128;    6500;   1.182;     9;     1
 19070129;    6260;   1.138;     9;     1
 19070130;    6260;   1.138;     9;     1
 19070131;    6020;   1.095;     9;     1
 19070201;    6260;   1.138;     9;     1
 19070202;    6020;   1.095;     9;     1
 19070203;    5540;   1.008;     9;     1
 19070204;    5300;   0.964;     9;     1
 19070205;    5300;   0.964;     9;     1
 19070206;    5080;   0.924;     9;     1
 19070207;    4860;   0.884;     9;     1
 19070208;    4860;   0.884;     9;     1
 19070209;    4860;   0.884;     9;     1
 19070210;    4860;   0.884;     9;     1
 19070211;    4640;   0.844;     9;     1
 19070212;    4200;   0.764;     9;     1
 19070213;    6500;   1.182;     9;     1
 19070214;    6500;   1.182;     9;     1
 19070215;    6500;   1.182;     9;     1
 19070216;    6260;   1.138;     9;     1
 19070217;    8760;   1.593;     9;     1
 19070218;    9080;   1.651;     9;     1
 19070219;    8760;   1.593;     9;     1
 19070220;    9400;   1.710;     9;     1
 19070221;   30000;   5.456;     9;     1
 19070222;   16100;   2.928;     9;     1
 19070223;   13600;   2.473;     9;     1
 19070224;    9400;   1.710;     9;     1
 19070225;    9080;   1.651;     9;     1
 19070226;    8760;   1.593;     9;     1
 19070227;    8120;   1.477;     9;     1
 19070228;    7800;   1.419;     9;     1
 19070301;    9080;   1.651;     9;     1
 19070302;    8760;   1.593;     9;     1
 19070303;    8760;   1.593;     9;     1
 19070304;    8760;   1.593;     9;     1
 19070305;    9400;   1.710;     9;     1
 19070306;    9400;   1.710;     9;     1
 19070307;    7800;   1.419;     9;     1
 19070308;    7800;   1.419;     9;     1
 19070309;    7540;   1.371;     9;     1
 19070310;    9400;   1.710;     9;     1
 19070311;  130000;  23.642;     9;     1
 19070312;   30000;   5.456;     9;     1
 19070313;   15600;   2.837;     9;     1
 19070314;   13600;   2.473;     9;     1
 19070315;   11800;   2.146;     9;     1
 19070316;   11400;   2.073;     9;     1
 19070317;   10200;   1.855;     9;     1
 19070318;    8440;   1.535;     9;     1
 19070319;    9400;   1.710;     9;     1
 19070320;    9400;   1.710;     9;     0
 19070321;    9080;   1.651;     9;     0
 19070322;    8760;   1.593;     9;     0
 19070323;    8440;   1.535;     9;     0
 19070324;    8120;   1.477;     9;     0
 19070325;    7800;   1.419;     9;     0
 19070326;    7540;   1.371;     9;     0
 19070327;    7280;   1.324;     9;     0
 19070328;    7020;   1.277;     9;     0
 19070329;    6760;   1.229;     9;     0
 19070330;    6500;   1.182;     9;     0
 19070331;    6260;   1.138;     9;     1
 19070401;    6260;   1.138;     9;     1
 19070402;    6260;   1.138;     9;     1
