## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:08:20
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) SPC Grand Delta
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V5425210
## Nom station                      : La Gagnière à Gagnières [Bannes]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      788759 ;    6359561 ;      788772 ;    6359539 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      741800 ;    1926971 ;      741813 ;    1926949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.11311 ;   44.32945 ;     4.11326 ;   44.32925 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       55.30 ;      58.77 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         193 ;        198 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     7.5 [%]
## Débits disponibles               :  1964-09-01 ; 2011-09-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19640901;      30;   0.044;     9;     1
 19640902;      57;   0.084;     9;     1
 19640903;      81;   0.119;     9;     1
 19640904;     108;   0.159;     9;     1
 19640905;    1700;   2.499;     9;     1
 19640906;     910;   1.338;     9;     1
 19640907;     331;   0.487;     9;     1
 19640908;     257;   0.378;     9;     1
 19640909;     194;   0.285;     9;     1
 19640910;     165;   0.243;     9;     1
 19640911;     146;   0.215;     9;     1
 19640912;     140;   0.206;     9;     1
 19640913;     140;   0.206;     9;     1
 19640914;     140;   0.206;     9;     1
 19640915;     140;   0.206;     9;     1
 19640916;     159;   0.234;     9;     1
 19640917;     357;   0.525;     9;     1
 19640918;     234;   0.344;     9;     1
 19640919;     180;   0.265;     9;     1
 19640920;     140;   0.206;     9;     1
 19640921;     154;   0.226;     9;     1
 19640922;     140;   0.206;     9;     1
 19640923;     111;   0.163;     9;     1
 19640924;      80;   0.118;     9;     1
 19640925;      80;   0.118;     9;     1
 19640926;     116;   0.171;     9;     1
 19640927;     123;   0.181;     9;     1
 19640928;     140;   0.206;     9;     1
 19640929;     140;   0.206;     9;     1
 19640930;     140;   0.206;     9;     1
 19641001;    4000;   5.881;     9;     1
 19641002;   15100;  22.199;     9;     1
 19641003;    3910;   5.748;     9;     1
 19641004;    2300;   3.381;     9;     1
 19641005;    1760;   2.587;     9;     1
 19641006;    1400;   2.058;     9;     1
 19641007;    1070;   1.573;     9;     1
 19641008;     950;   1.397;     9;     1
 19641009;    1070;   1.573;     9;     1
 19641010;     975;   1.433;     9;     1
 19641011;    1030;   1.514;     9;     1
 19641012;     805;   1.183;     9;     1
 19641013;     620;   0.911;     9;     1
 19641014;     620;   0.911;     9;     1
 19641015;     535;   0.787;     9;     1
 19641016;     425;   0.625;     9;     1
 19641017;     425;   0.625;     9;     1
 19641018;     350;   0.515;     9;     1
 19641019;     294;   0.432;     9;     1
 19641020;     260;   0.382;     9;     1
 19641021;     225;   0.331;     9;     1
 19641022;     192;   0.282;     9;     1
 19641023;     208;   0.306;     9;     1
 19641024;     194;   0.285;     9;     1
 19641025;     178;   0.262;     9;     1
 19641026;     140;   0.206;     9;     1
 19641027;     178;   0.262;     9;     1
 19641028;     140;   0.206;     9;     0
 19641029;     140;   0.206;     9;     0
 19641030;     140;   0.206;     9;     0
 19641031;     140;   0.206;     9;     0
 19641101;     140;   0.206;     9;     0
 19641102;     140;   0.206;     9;     0
 19641103;     140;   0.206;     9;     0
 19641104;     223;   0.328;     9;     1
 19641105;    1110;   1.632;     9;     1
 19641106;     870;   1.279;     9;     1
 19641107;    2380;   3.499;     9;     1
 19641108;    2600;   3.822;     9;     1
 19641109;    1850;   2.720;     9;     1
 19641110;    1570;   2.308;     9;     1
 19641111;    1330;   1.955;     9;     1
 19641112;    1140;   1.676;     9;     1
 19641113;    1030;   1.514;     9;     1
 19641114;     950;   1.397;     9;     1
 19641115;     850;   1.250;     9;     1
 19641116;     575;   0.845;     9;     1
 19641117;     425;   0.625;     9;     1
 19641118;     425;   0.625;     9;     1
 19641119;     350;   0.515;     9;     1
 19641120;     350;   0.515;     9;     1
 19641121;     350;   0.515;     9;     1
 19641122;     372;   0.547;     9;     1
 19641123;     305;   0.448;     9;     1
 19641124;     282;   0.415;     9;     1
 19641125;     305;   0.448;     9;     1
