## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:08:34
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) SPC Grand Delta
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V7115010
## Nom station                      : Le Gardon de Sainte-Croix à Gabriac [Pont Ravagers]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      757237 ;    6343844 ;      757470 ;    6343821 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      710380 ;    1910970 ;      710613 ;    1910949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.71604 ;   44.19127 ;     3.71894 ;   44.19104 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       47.00 ;      48.08 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         380 ;        369 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     8.1 [%]
## Débits disponibles               :  1955-03-01 ; 2021-01-02 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19550301;    1130;   2.031;     9;     0
 19550302;    1130;   2.031;     9;     0
 19550303;    1130;   2.031;     9;     0
 19550304;    1130;   2.031;     9;     0
 19550305;    1130;   2.031;     9;     0
 19550306;    1130;   2.031;     9;     0
 19550307;    1130;   2.031;     9;     0
 19550308;    1130;   2.031;     9;     0
 19550309;    1130;   2.031;     9;     0
 19550310;    1130;   2.031;     9;     0
 19550311;    1130;   2.031;     9;     0
 19550312;    1130;   2.031;     9;     0
 19550313;    1010;   1.815;     9;     1
 19550314;    1010;   1.815;     9;     1
 19550315;    1010;   1.815;     9;     1
 19550316;    1010;   1.815;     9;     1
 19550317;     890;   1.599;     9;     1
 19550318;     770;   1.384;     9;     1
 19550319;     770;   1.384;     9;     1
 19550320;     890;   1.599;     9;     1
 19550321;     890;   1.599;     9;     1
 19550322;     770;   1.384;     9;     1
 19550323;     770;   1.384;     9;     1
 19550324;     770;   1.384;     9;     1
 19550325;     770;   1.384;     9;     1
 19550326;     650;   1.168;     9;     0
 19550327;     650;   1.168;     9;     0
 19550328;     650;   1.168;     9;     0
 19550329;     650;   1.168;     9;     0
 19550330;     650;   1.168;     9;     0
 19550331;     650;   1.168;     9;     0
 19550401;     650;   1.168;     9;     0
 19550402;     650;   1.168;     9;     0
 19550403;     650;   1.168;     9;     0
 19550404;     650;   1.168;     9;     0
 19550405;     650;   1.168;     9;     0
 19550406;     650;   1.168;     9;     0
 19550407;     650;   1.168;     9;     0
 19550408;     650;   1.168;     9;     0
 19550409;     650;   1.168;     9;     0
 19550410;     650;   1.168;     9;     0
 19550411;     650;   1.168;     9;     0
 19550412;     650;   1.168;     9;     0
 19550413;     560;   1.006;     9;     1
 19550414;     560;   1.006;     9;     1
 19550415;     560;   1.006;     9;     1
 19550416;     470;   0.845;     9;     1
 19550417;     470;   0.845;     9;     1
 19550418;     380;   0.683;     9;     1
 19550419;     380;   0.683;     9;     1
 19550420;     380;   0.683;     9;     1
 19550421;     380;   0.683;     9;     1
 19550422;     470;   0.845;     9;     1
 19550423;     290;   0.521;     9;     0
 19550424;     290;   0.521;     9;     0
 19550425;     290;   0.521;     9;     0
 19550426;     290;   0.521;     9;     0
 19550427;     290;   0.521;     9;     0
 19550428;     290;   0.521;     9;     0
 19550429;     290;   0.521;     9;     0
 19550430;     290;   0.521;     9;     0
 19550501;     290;   0.521;     9;     0
 19550502;     290;   0.521;     9;     0
 19550503;     290;   0.521;     9;     0
 19550504;     290;   0.521;     9;     0
 19550505;     290;   0.521;     9;     0
 19550506;     290;   0.521;     9;     0
 19550507;     290;   0.521;     9;     0
 19550508;     290;   0.521;     9;     0
 19550509;     290;   0.521;     9;     0
 19550510;     290;   0.521;     9;     0
 19550511;     200;   0.359;     9;     0
 19550512;     200;   0.359;     9;     0
 19550513;     200;   0.359;     9;     0
 19550514;     200;   0.359;     9;     0
 19550515;     200;   0.359;     9;     0
 19550516;     200;   0.359;     9;     0
 19550517;     290;   0.521;     9;     1
 19550518;     380;   0.683;     9;     1
 19550519;     290;   0.521;     9;     0
 19550520;     290;   0.521;     9;     0
 19550521;     290;   0.521;     9;     0
 19550522;     290;   0.521;     9;     0
 19550523;     290;   0.521;     9;     0
 19550524;     290;   0.521;     9;     0
 19550525;     290;   0.521;     9;     0
 19550526;     290;   0.521;     9;     0
