## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:08:37
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) SPC Grand Delta
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : V7135010
## Nom station                      : Le Gardon de Saint-Jean à Corbès [Roc Courbe]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      776977 ;    6331027 ;      777042 ;    6331067 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      730249 ;    1898308 ;      730313 ;    1898349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.96102 ;   44.07403 ;     3.96182 ;   44.07439 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      263.00 ;     262.32 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         136 ;        147 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       2 [%]
## Débits disponibles               :  1967-01-01 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;    1810;   0.596;     9;     1
 19670102;    1810;   0.596;     9;     1
 19670103;    1700;   0.560;     9;     1
 19670104;    1700;   0.560;     9;     1
 19670105;    1480;   0.487;     9;     0
 19670106;    1480;   0.487;     9;     0
 19670107;    1480;   0.487;     9;     0
 19670108;    1480;   0.487;     9;     0
 19670109;    1480;   0.487;     9;     0
 19670110;    1480;   0.487;     9;     0
 19670111;    1480;   0.487;     9;     0
 19670112;    1360;   0.448;     9;     1
 19670113;    1280;   0.422;     9;     0
 19670114;    1280;   0.422;     9;     0
 19670115;    1280;   0.422;     9;     0
 19670116;    1280;   0.422;     9;     0
 19670117;    1280;   0.422;     9;     0
 19670118;    1280;   0.422;     9;     0
 19670119;    1280;   0.422;     9;     0
 19670120;   56200;  18.511;     9;     1
 19670121;   72000;  23.715;     9;     1
 19670122;   46400;  15.283;     9;     1
 19670123;   23800;   7.839;     9;     1
 19670124;   15800;   5.204;     9;     1
 19670125;   12900;   4.249;     9;     1
 19670126;   10100;   3.327;     9;     1
 19670127;    8700;   2.866;     9;     1
 19670128;    7200;   2.371;     9;     1
 19670129;    7050;   2.322;     9;     1
 19670130;    6310;   2.078;     9;     1
 19670131;    5900;   1.943;     9;     1
 19670201;    5480;   1.805;     9;     1
 19670202;    5280;   1.739;     9;     1
 19670203;    4810;   1.584;     9;     1
 19670204;    4500;   1.482;     9;     1
 19670205;    4410;   1.453;     9;     1
 19670206;    4000;   1.317;     9;     1
 19670207;    3600;   1.186;     9;     1
 19670208;    3240;   1.067;     9;     1
 19670209;    3240;   1.067;     9;     1
 19670210;    3240;   1.067;     9;     1
 19670211;    2850;   0.939;     9;     1
 19670212;    2850;   0.939;     9;     1
 19670213;    2850;   0.939;     9;     1
 19670214;    2850;   0.939;     9;     1
 19670215;    2940;   0.968;     9;     1
 19670216;    7080;   2.332;     9;     1
 19670217;   18900;   6.225;     9;     1
 19670218;   14900;   4.908;     9;     1
 19670219;   17400;   5.731;     9;     1
 19670220;   19600;   6.456;     9;     1
 19670221;   59000;  19.433;     9;     1
 19670222;   45100;  14.855;     9;     1
 19670223;   29500;   9.716;     9;     1
 19670224;   21500;   7.081;     9;     1
 19670225;   17000;   5.599;     9;     1
 19670226;   62200;  20.487;     9;     1
 19670227;   50200;  16.534;     9;     1
 19670228;   30500;  10.046;     9;     1
 19670301;   23000;   7.575;     9;     1
 19670302;   18100;   5.962;     9;     1
 19670303;   15000;   4.941;     9;     1
 19670304;   13000;   4.282;     9;     1
 19670305;   11500;   3.788;     9;     1
 19670306;   10800;   3.557;     9;     1
 19670307;   10000;   3.294;     9;     1
 19670308;   49200;  16.205;     9;     1
 19670309;  120000;  39.524;     9;     1
 19670310;  124000;  40.842;     9;     1
 19670311;   47800;  15.744;     9;     1
 19670312;   30800;  10.145;     9;     1
 19670313;   22900;   7.543;     9;     1
 19670314;   19400;   6.390;     9;     1
 19670315;   16600;   5.468;     9;     1
 19670316;   14700;   4.842;     9;     1
 19670317;   13100;   4.315;     9;     1
 19670318;   11500;   3.788;     9;     1
 19670319;   10100;   3.327;     9;     1
 19670320;    9150;   3.014;     9;     1
 19670321;    8300;   2.734;     9;     1
 19670322;    7550;   2.487;     9;     1
 19670323;    6900;   2.273;     9;     1
 19670324;    6030;   1.986;     9;     1
