## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:09:49
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : X0130010
## Nom station                      : La Durance à l' Argentière-la-Bessée
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      981498 ;    6414950 ;      981460 ;    6414932 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      934251 ;    1984067 ;      934213 ;    1984049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.55935 ;   44.77658 ;     6.55886 ;   44.77644 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      984.00 ;     962.87 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         950 ;        959 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    26.8 [%]
## Débits disponibles               :  1910-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      09/01 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19100101;   27000;   2.423;     9;     1
 19100102;   27000;   2.423;     9;     1
 19100103;   26000;   2.333;     9;     1
 19100104;   26000;   2.333;     9;     1
 19100105;   25000;   2.243;     9;     1
 19100106;   25000;   2.243;     9;     1
 19100107;   25000;   2.243;     9;     1
 19100108;   25000;   2.243;     9;     1
 19100109;   24000;   2.154;     9;     1
 19100110;   23000;   2.064;     9;     0
 19100111;   23000;   2.064;     9;     0
 19100112;   23000;   2.064;     9;     0
 19100113;   23000;   2.064;     9;     0
 19100114;   23000;   2.064;     9;     0
 19100115;   23000;   2.064;     9;     0
 19100116;   22000;   1.974;     9;     1
 19100117;   22000;   1.974;     9;     1
 19100118;   22000;   1.974;     9;     1
 19100119;   22000;   1.974;     9;     1
 19100120;   27000;   2.423;     9;     1
 19100121;   25000;   2.243;     9;     1
 19100122;   25000;   2.243;     9;     1
 19100123;   24000;   2.154;     9;     1
 19100124;   24000;   2.154;     9;     1
 19100125;   23000;   2.064;     9;     1
 19100126;   23000;   2.064;     9;     1
 19100127;   23000;   2.064;     9;     1
 19100128;   23000;   2.064;     9;     1
 19100129;   24000;   2.154;     9;     1
 19100130;   23000;   2.064;     9;     1
 19100131;   22000;   1.974;     9;     0
 19100201;   22000;   1.974;     9;     0
 19100202;   22000;   1.974;     9;     0
 19100203;   22000;   1.974;     9;     0
 19100204;   22000;   1.974;     9;     0
 19100205;   22000;   1.974;     9;     0
 19100206;   22000;   1.974;     9;     0
 19100207;   21000;   1.884;     9;     1
 19100208;   21000;   1.884;     9;     1
 19100209;   20000;   1.795;     9;     0
 19100210;   20000;   1.795;     9;     0
 19100211;   20000;   1.795;     9;     0
 19100212;   20000;   1.795;     9;     0
 19100213;   20000;   1.795;     9;     0
 19100214;   20000;   1.795;     9;     0
 19100215;   20000;   1.795;     9;     0
 19100216;   20000;   1.795;     9;     0
 19100217;   19000;   1.705;     9;     0
 19100218;   19000;   1.705;     9;     0
 19100219;   19000;   1.705;     9;     0
 19100220;   19000;   1.705;     9;     0
 19100221;   19000;   1.705;     9;     0
 19100222;   19000;   1.705;     9;     0
 19100223;   20000;   1.795;     9;     1
 19100224;   20000;   1.795;     9;     1
 19100225;   20000;   1.795;     9;     1
 19100226;   20000;   1.795;     9;     1
 19100227;   19000;   1.705;     9;     0
 19100228;   19000;   1.705;     9;     0
 19100301;   19000;   1.705;     9;     0
 19100302;   19000;   1.705;     9;     0
 19100303;   19000;   1.705;     9;     0
 19100304;   19000;   1.705;     9;     0
 19100305;   19000;   1.705;     9;     0
 19100306;   19000;   1.705;     9;     0
 19100307;   19000;   1.705;     9;     0
 19100308;   19000;   1.705;     9;     0
 19100309;   19000;   1.705;     9;     0
 19100310;   19000;   1.705;     9;     0
 19100311;   19000;   1.705;     9;     0
 19100312;   20000;   1.795;     9;     1
 19100313;   21000;   1.884;     9;     1
 19100314;   22000;   1.974;     9;     0
 19100315;   22000;   1.974;     9;     0
 19100316;   22000;   1.974;     9;     0
 19100317;   22000;   1.974;     9;     0
 19100318;   22000;   1.974;     9;     0
 19100319;   22000;   1.974;     9;     0
 19100320;   22000;   1.974;     9;     0
 19100321;   22000;   1.974;     9;     0
 19100322;   23000;   2.064;     9;     1
 19100323;   24000;   2.154;     9;     1
 19100324;   26000;   2.333;     9;     1
 19100325;   26000;   2.333;     9;     1
 19100326;   27000;   2.423;     9;     1
 19100327;   27000;   2.423;     9;     1
 19100328;   27000;   2.423;     9;     1
 19100329;   28000;   2.512;     9;     1
 19100330;   28000;   2.512;     9;     1
 19100331;   27000;   2.423;     9;     1
 19100401;   27000;   2.423;     9;     1
 19100402;   27000;   2.423;     9;     1
 19100403;   27000;   2.423;     9;     1
 19100404;   26000;   2.333;     9;     0
 19100405;   26000;   2.333;     9;     0
 19100406;   26000;   2.333;     9;     0
 19100407;   26000;   2.333;     9;     0
 19100408;   26000;   2.333;     9;     0
 19100409;   26000;   2.333;     9;     0
 19100410;   26000;   2.333;     9;     0
 19100411;   27000;   2.423;     9;     1
 19100412;   27000;   2.423;     9;     1
 19100413;   29000;   2.602;     9;     1
 19100414;   31000;   2.782;     9;     1
 19100415;   31000;   2.782;     9;     1
 19100416;   31000;   2.782;     9;     1
 19100417;   29000;   2.602;     9;     1
 19100418;   27000;   2.423;     9;     1
 19100419;   27000;   2.423;     9;     1
 19100420;   31000;   2.782;     9;     1
 19100421;   41000;   3.679;     9;     0
 19100422;   43000;   3.858;     9;     0
 19100423;   45000;   4.038;     9;     0
 19100424;   47000;   4.217;     9;     0
 19100425;   49000;   4.397;     9;     0
 19100426;   50000;   4.487;     9;     1
 19100427;   47000;   4.217;     9;     1
 19100428;   45000;   4.038;     9;     1
 19100429;   45000;   4.038;     9;     1
 19100430;   47000;   4.217;     9;     1
 19100501;   45000;   4.038;     9;     1
 19100502;   45000;   4.038;     9;     1
