## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:09:54
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : X0310010
## Nom station                      : La Durance à Embrun [La Clapière]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      976842 ;    6389761 ;      976947 ;    6389796 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      929808 ;    1958813 ;      929913 ;    1958849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.48650 ;   44.55191 ;     6.48784 ;   44.55218 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     2170.00 ;    2282.76 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         787 ;        784 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1960-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      09/01 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;   30100;   1.139;     9;     1
 19600102;   29400;   1.113;     9;     1
 19600103;   29400;   1.113;     9;     1
 19600104;   27800;   1.052;     9;     1
 19600105;   27800;   1.052;     9;     1
 19600106;   27000;   1.022;     9;     1
 19600107;   26600;   1.007;     9;     1
 19600108;   27000;   1.022;     9;     1
 19600109;   25800;   0.977;     9;     1
 19600110;   25400;   0.961;     9;     1
 19600111;   25800;   0.977;     9;     1
 19600112;   23800;   0.901;     9;     1
 19600113;   23800;   0.901;     9;     1
 19600114;   24200;   0.916;     9;     1
 19600115;   24600;   0.931;     9;     1
 19600116;   24600;   0.931;     9;     1
 19600117;   24200;   0.916;     9;     1
 19600118;   24200;   0.916;     9;     1
 19600119;   24200;   0.916;     9;     1
 19600120;   25400;   0.961;     9;     1
 19600121;   24600;   0.931;     9;     1
 19600122;   24600;   0.931;     9;     1
 19600123;   24600;   0.931;     9;     1
 19600124;   24600;   0.931;     9;     1
 19600125;   28600;   1.082;     9;     1
 19600126;   27800;   1.052;     9;     1
 19600127;   28600;   1.082;     9;     1
 19600128;   34600;   1.310;     9;     1
 19600129;   32800;   1.241;     9;     1
 19600130;   29400;   1.113;     9;     1
 19600131;   28600;   1.082;     9;     1
 19600201;   28200;   1.067;     9;     1
 19600202;   27800;   1.052;     9;     1
 19600203;   27000;   1.022;     9;     1
 19600204;   27000;   1.022;     9;     1
 19600205;   27000;   1.022;     9;     1
 19600206;   25800;   0.977;     9;     1
 19600207;   25800;   0.977;     9;     1
 19600208;   25000;   0.946;     9;     1
 19600209;   25000;   0.946;     9;     1
 19600210;   25400;   0.961;     9;     1
 19600211;   25400;   0.961;     9;     1
 19600212;   25800;   0.977;     9;     1
 19600213;   25400;   0.961;     9;     1
 19600214;   25000;   0.946;     9;     1
 19600215;   23800;   0.901;     9;     1
 19600216;   23800;   0.901;     9;     1
 19600217;   32100;   1.215;     9;     1
 19600218;   44500;   1.684;     9;     1
 19600219;   42500;   1.609;     9;     1
 19600220;   39500;   1.495;     9;     1
 19600221;   36900;   1.397;     9;     1
 19600222;   36400;   1.378;     9;     1
 19600223;   35000;   1.325;     9;     1
 19600224;   32800;   1.241;     9;     1
 19600225;   33300;   1.260;     9;     1
 19600226;   35000;   1.325;     9;     1
 19600227;   35100;   1.328;     9;     1
 19600228;   37000;   1.400;     9;     1
 19600229;   39600;   1.499;     9;     1
 19600301;   41000;   1.552;     9;     1
 19600302;   42000;   1.590;     9;     1
 19600303;   39800;   1.506;     9;     1
 19600304;   39100;   1.480;     9;     1
 19600305;   39600;   1.499;     9;     1
 19600306;   39100;   1.480;     9;     1
 19600307;   38900;   1.472;     9;     1
 19600308;   38000;   1.438;     9;     1
 19600309;   37300;   1.412;     9;     1
 19600310;   36200;   1.370;     9;     1
 19600311;   35500;   1.344;     9;     1
 19600312;   35500;   1.344;     9;     1
 19600313;   36000;   1.363;     9;     1
 19600314;   35500;   1.344;     9;     1
 19600315;   35700;   1.351;     9;     1
 19600316;   36600;   1.385;     9;     1
 19600317;   36200;   1.370;     9;     1
 19600318;   35500;   1.344;     9;     1
 19600319;   35300;   1.336;     9;     1
 19600320;   35500;   1.344;     9;     1
 19600321;   35500;   1.344;     9;     1
 19600322;   35300;   1.336;     9;     1
 19600323;   36000;   1.363;     9;     1
