## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:09:58
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : X0434010
## Nom station                      : L'Ubaye à Barcelonnette [Abattoir]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      990861 ;    6371741 ;      990876 ;    6371693 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      943997 ;    1940897 ;      944013 ;    1940849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.65232 ;   44.38415 ;     6.65249 ;   44.38372 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      549.00 ;     542.47 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :        1132 ;       1136 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     3.7 [%]
## Débits disponibles               :  1904-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      09/01 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19040101;    3120;   0.497;     9;     1
 19040102;    3150;   0.502;     9;     0
 19040103;    3150;   0.502;     9;     0
 19040104;    3150;   0.502;     9;     0
 19040105;    3150;   0.502;     9;     0
 19040106;    3150;   0.502;     9;     0
 19040107;    3150;   0.502;     9;     0
 19040108;    3150;   0.502;     9;     0
 19040109;    3150;   0.502;     9;     0
 19040110;    3120;   0.497;     9;     1
 19040111;    3120;   0.497;     9;     1
 19040112;    3080;   0.491;     9;     1
 19040113;    3050;   0.486;     9;     1
 19040114;    3050;   0.486;     9;     1
 19040115;    3010;   0.479;     9;     1
 19040116;    3010;   0.479;     9;     1
 19040117;    3010;   0.479;     9;     1
 19040118;    3010;   0.479;     9;     1
 19040119;    2910;   0.463;     9;     1
 19040120;    3080;   0.491;     9;     1
 19040121;    3050;   0.486;     9;     1
 19040122;    3010;   0.479;     9;     1
 19040123;    3010;   0.479;     9;     1
 19040124;    2980;   0.475;     9;     1
 19040125;    3010;   0.479;     9;     1
 19040126;    3010;   0.479;     9;     1
 19040127;    2980;   0.475;     9;     1
 19040128;    3010;   0.479;     9;     0
 19040129;    3010;   0.479;     9;     0
 19040130;    3010;   0.479;     9;     0
 19040131;    3010;   0.479;     9;     0
 19040201;    3010;   0.479;     9;     0
 19040202;    3010;   0.479;     9;     0
 19040203;    3010;   0.479;     9;     0
 19040204;    3010;   0.479;     9;     0
 19040205;    3430;   0.546;     9;     1
 19040206;    3400;   0.542;     9;     1
 19040207;    3470;   0.553;     9;     1
 19040208;    3470;   0.553;     9;     1
 19040209;    3430;   0.546;     9;     1
 19040210;    3430;   0.546;     9;     1
 19040211;    5900;   0.940;     9;     1
 19040212;    4320;   0.688;     9;     1
 19040213;    3900;   0.621;     9;     1
 19040214;    3800;   0.605;     9;     1
 19040215;    3800;   0.605;     9;     1
 19040216;    3800;   0.605;     9;     1
 19040217;    3850;   0.613;     9;     1
 19040218;    3850;   0.613;     9;     1
 19040219;    3850;   0.613;     9;     1
 19040220;    3600;   0.573;     9;     1
 19040221;    3800;   0.605;     9;     1
 19040222;    3700;   0.589;     9;     1
 19040223;    3800;   0.605;     9;     1
 19040224;    3800;   0.605;     9;     1
 19040225;    3750;   0.597;     9;     1
 19040226;    3750;   0.597;     9;     1
 19040227;    3650;   0.581;     9;     1
 19040228;    3600;   0.573;     9;     1
 19040229;    3600;   0.573;     9;     1
 19040301;    3500;   0.557;     9;     1
 19040302;    3500;   0.557;     9;     1
 19040303;    3430;   0.546;     9;     1
 19040304;    3500;   0.557;     9;     0
 19040305;    3500;   0.557;     9;     0
 19040306;    3500;   0.557;     9;     0
 19040307;    3500;   0.557;     9;     0
 19040308;    3500;   0.557;     9;     0
 19040309;    4160;   0.663;     9;     1
 19040310;    3800;   0.605;     9;     1
 19040311;    3750;   0.597;     9;     1
 19040312;    3800;   0.605;     9;     1
 19040313;    3750;   0.597;     9;     1
 19040314;    3800;   0.605;     9;     1
 19040315;    3800;   0.605;     9;     1
 19040316;    3800;   0.605;     9;     1
 19040317;    3900;   0.621;     9;     1
 19040318;    3900;   0.621;     9;     1
 19040319;    4000;   0.637;     9;     1
 19040320;    4160;   0.663;     9;     1
 19040321;    4160;   0.663;     9;     1
 19040322;    4160;   0.663;     9;     1
 19040323;    4320;   0.688;     9;     1
