## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:10:00
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : X0454010
## Nom station                      : L'Ubaye au Lauzet-Ubaye [Roche Rousse]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      970537 ;    6378156 ;      970552 ;    6378162 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      923598 ;    1947143 ;      923613 ;    1947149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.40091 ;   44.45002 ;     6.40111 ;   44.45006 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      946.00 ;     943.22 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         790 ;        806 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1960-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      09/01 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;   10300;   0.943;     9;     0
 19600102;   10300;   0.943;     9;     0
 19600103;   10300;   0.943;     9;     0
 19600104;   10300;   0.943;     9;     0
 19600105;   10300;   0.943;     9;     0
 19600106;   10100;   0.925;     9;     1
 19600107;   10100;   0.925;     9;     1
 19600108;    9870;   0.904;     9;     1
 19600109;    9640;   0.883;     9;     1
 19600110;    9640;   0.883;     9;     0
 19600111;    9200;   0.843;     9;     0
 19600112;    8760;   0.802;     9;     0
 19600113;    8320;   0.762;     9;     0
 19600114;    7880;   0.722;     9;     0
 19600115;    7440;   0.682;     9;     0
 19600116;    7220;   0.661;     9;     1
 19600117;    7000;   0.641;     9;     1
 19600118;    6650;   0.609;     9;     1
 19600119;    6650;   0.609;     9;     1
 19600120;    6480;   0.594;     9;     1
 19600121;    6130;   0.562;     9;     1
 19600122;    5950;   0.545;     9;     1
 19600123;    5600;   0.513;     9;     1
 19600124;    5600;   0.513;     9;     1
 19600125;    5600;   0.513;     9;     1
 19600126;    5950;   0.545;     9;     1
 19600127;    6300;   0.577;     9;     1
 19600128;   20000;   1.832;     9;     1
 19600129;   17200;   1.576;     9;     1
 19600130;   15300;   1.401;     9;     1
 19600131;   13100;   1.200;     9;     1
 19600201;   12500;   1.145;     9;     1
 19600202;   12000;   1.099;     9;     1
 19600203;   11400;   1.044;     9;     1
 19600204;   10500;   0.962;     9;     1
 19600205;   10100;   0.925;     9;     1
 19600206;    9640;   0.883;     9;     1
 19600207;    8100;   0.742;     9;     1
 19600208;    8320;   0.762;     9;     1
 19600209;    7880;   0.722;     9;     1
 19600210;    7440;   0.682;     9;     1
 19600211;    7000;   0.641;     9;     1
 19600212;    6470;   0.593;     9;     1
 19600213;    6300;   0.577;     9;     1
 19600214;    6300;   0.577;     9;     1
 19600215;    5250;   0.481;     9;     1
 19600216;    5250;   0.481;     9;     1
 19600217;    5400;   0.495;     9;     1
 19600218;   28200;   2.583;     9;     1
 19600219;   29000;   2.656;     9;     1
 19600220;   26600;   2.437;     9;     1
 19600221;   23900;   2.189;     9;     1
 19600222;   20900;   1.914;     9;     1
 19600223;   20200;   1.850;     9;     1
 19600224;   19400;   1.777;     9;     1
 19600225;   18700;   1.713;     9;     1
 19600226;   18700;   1.713;     9;     1
 19600227;   18700;   1.713;     9;     1
 19600228;   18700;   1.713;     9;     1
 19600229;   19800;   1.814;     9;     1
 19600301;   21600;   1.979;     9;     1
 19600302;   23100;   2.116;     9;     1
 19600303;   21300;   1.951;     9;     1
 19600304;   20600;   1.887;     9;     1
 19600305;   20200;   1.850;     9;     1
 19600306;   19300;   1.768;     9;     1
 19600307;   19100;   1.750;     9;     1
 19600308;   18700;   1.713;     9;     1
 19600309;   18300;   1.676;     9;     1
 19600310;   17600;   1.612;     9;     1
 19600311;   17200;   1.576;     9;     1
 19600312;   16500;   1.511;     9;     1
 19600313;   16500;   1.511;     9;     1
 19600314;   16200;   1.484;     9;     1
 19600315;   16200;   1.484;     9;     1
 19600316;   16200;   1.484;     9;     1
 19600317;   16200;   1.484;     9;     1
 19600318;   16500;   1.511;     9;     1
 19600319;   16500;   1.511;     9;     1
 19600320;   16500;   1.511;     9;     1
 19600321;   16500;   1.511;     9;     1
 19600322;   16200;   1.484;     9;     1
 19600323;   16200;   1.484;     9;     1
