## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:10:02
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : X0500010
## Nom station                      : La Durance à Espinasses [Serre-Ponçon]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      960859 ;    6380012 ;      960882 ;    6380543 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      913894 ;    1948917 ;      913913 ;    1949449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.28036 ;   44.47039 ;     6.28093 ;   44.47516 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     3580.00 ;    3580.12 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         652 ;        756 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1948-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      09/01 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;   24000;   0.579;     9;     1
 19480102;   26000;   0.627;     9;     1
 19480103;   24000;   0.579;     9;     1
 19480104;   25000;   0.603;     9;     1
 19480105;   25000;   0.603;     9;     1
 19480106;   24000;   0.579;     9;     1
 19480107;   43000;   1.038;     9;     1
 19480108;   45000;   1.086;     9;     1
 19480109;   32000;   0.772;     9;     1
 19480110;   33000;   0.796;     9;     1
 19480111;   30000;   0.724;     9;     1
 19480112;   25000;   0.603;     9;     1
 19480113;   26000;   0.627;     9;     1
 19480114;   25000;   0.603;     9;     1
 19480115;   25000;   0.603;     9;     1
 19480116;   27000;   0.652;     9;     1
 19480117;   26000;   0.627;     9;     1
 19480118;   24000;   0.579;     9;     1
 19480119;   26000;   0.627;     9;     1
 19480120;   26000;   0.627;     9;     1
 19480121;   26000;   0.627;     9;     1
 19480122;   25000;   0.603;     9;     1
 19480123;   25000;   0.603;     9;     1
 19480124;   24000;   0.579;     9;     1
 19480125;   24000;   0.579;     9;     1
 19480126;   23000;   0.555;     9;     1
 19480127;   23000;   0.555;     9;     1
 19480128;   22000;   0.531;     9;     1
 19480129;   22000;   0.531;     9;     1
 19480130;   21000;   0.507;     9;     1
 19480131;   21000;   0.507;     9;     1
 19480201;   20000;   0.483;     9;     1
 19480202;   27000;   0.652;     9;     1
 19480203;   28000;   0.676;     9;     1
 19480204;   36000;   0.869;     9;     1
 19480205;   37000;   0.893;     9;     1
 19480206;   36000;   0.869;     9;     1
 19480207;   32000;   0.772;     9;     1
 19480208;   34000;   0.821;     9;     1
 19480209;   35000;   0.845;     9;     1
 19480210;   35000;   0.845;     9;     1
 19480211;   37000;   0.893;     9;     1
 19480212;   38000;   0.917;     9;     1
 19480213;   38000;   0.917;     9;     1
 19480214;   40000;   0.965;     9;     1
 19480215;   42000;   1.014;     9;     1
 19480216;   43000;   1.038;     9;     1
 19480217;   41000;   0.989;     9;     1
 19480218;   40000;   0.965;     9;     1
 19480219;   37000;   0.893;     9;     1
 19480220;   34000;   0.821;     9;     1
 19480221;   33000;   0.796;     9;     1
 19480222;   33000;   0.796;     9;     1
 19480223;   31000;   0.748;     9;     1
 19480224;   31000;   0.748;     9;     1
 19480225;   33000;   0.796;     9;     1
 19480226;   33000;   0.796;     9;     1
 19480227;   32000;   0.772;     9;     1
 19480228;   32000;   0.772;     9;     1
 19480229;   32000;   0.772;     9;     1
 19480301;   30000;   0.724;     9;     1
 19480302;   32000;   0.772;     9;     1
 19480303;   31000;   0.748;     9;     1
 19480304;   31000;   0.748;     9;     1
 19480305;   34000;   0.821;     9;     1
 19480306;   36000;   0.869;     9;     1
 19480307;   38000;   0.917;     9;     1
 19480308;   42000;   1.014;     9;     1
 19480309;   46000;   1.110;     9;     1
 19480310;   56000;   1.351;     9;     1
 19480311;   66000;   1.593;     9;     1
 19480312;   74000;   1.786;     9;     1
 19480313;   71000;   1.713;     9;     1
 19480314;   72000;   1.738;     9;     1
 19480315;   73000;   1.762;     9;     1
 19480316;   73000;   1.762;     9;     1
 19480317;   75000;   1.810;     9;     1
 19480318;   76000;   1.834;     9;     1
 19480319;   76000;   1.834;     9;     1
 19480320;   74000;   1.786;     9;     1
 19480321;   72000;   1.738;     9;     1
 19480322;   82000;   1.979;     9;     1
 19480323;   80000;   1.931;     9;     1
