## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:10:09
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : X1130010
## Nom station                      : La Durance à Oraison [Escale]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      941200 ;    6336542 ;      941223 ;    6336557 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      894591 ;    1905234 ;      894613 ;    1905249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.01255 ;   44.08647 ;     6.01284 ;   44.08659 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     6760.00 ;    6775.74 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         415 ;        427 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.2 [%]
## Débits disponibles               :  1973-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      09/01 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19730101;   92900;   1.185;     9;     1
 19730102;   82200;   1.048;     9;     1
 19730103;   72700;   0.927;     9;     1
 19730104;   68600;   0.875;     9;     1
 19730105;   64000;   0.816;     5;     1
 19730106;   59900;   0.764;     5;     1
 19730107;   57700;   0.736;     9;     1
 19730108;   55800;   0.712;     5;     1
 19730109;   52100;   0.664;     5;     1
 19730110;   50200;   0.640;     5;     1
 19730111;   49800;   0.635;     5;     1
 19730112;   49000;   0.625;     5;     1
 19730113;   46500;   0.593;     5;     1
 19730114;   58900;   0.751;     5;     1
 19730115;   64900;   0.828;     5;     1
 19730116;   68700;   0.876;     5;     1
 19730117;   75800;   0.967;     9;     1
 19730118;   71700;   0.914;     9;     1
 19730119;   68300;   0.871;     9;     1
 19730120;   65900;   0.840;     9;     1
 19730121;   70700;   0.902;     9;     1
 19730122;   64000;   0.816;     9;     1
 19730123;   60500;   0.771;     9;     1
 19730124;   58500;   0.746;     9;     1
 19730125;   56900;   0.726;     9;     1
 19730126;   57300;   0.731;     9;     1
 19730127;   61500;   0.784;     9;     1
 19730128;   63900;   0.815;     9;     1
 19730129;   59700;   0.761;     5;     1
 19730130;   55500;   0.708;     5;     1
 19730131;   56700;   0.723;     5;     1
 19730201;   53800;   0.686;     5;     1
 19730202;   50700;   0.646;     5;     1
 19730203;   50200;   0.640;     9;     1
 19730204;   49500;   0.631;     9;     1
 19730205;   48900;   0.624;     9;     1
 19730206;   48000;   0.612;     9;     1
 19730207;   47700;   0.608;     9;     1
 19730208;   46700;   0.595;     9;     1
 19730209;   46800;   0.597;     9;     1
 19730210;   52300;   0.667;     9;     1
 19730211;   49800;   0.635;     9;     1
 19730212;   45300;   0.578;     9;     1
 19730213;   57000;   0.727;     9;     1
 19730214;   43900;   0.560;     9;     1
 19730215;   41400;   0.528;     5;     1
 19730216;   40300;   0.514;     5;     1
 19730217;   41800;   0.533;     9;     1
 19730218;   44100;   0.562;     9;     1
 19730219;   40200;   0.513;     5;     1
 19730220;   39700;   0.506;     9;     1
 19730221;   40300;   0.514;     9;     1
 19730222;   39900;   0.509;     9;     1
 19730223;   44000;   0.561;     9;     1
 19730224;   47400;   0.604;     9;     1
 19730225;   46100;   0.588;     9;     1
 19730226;   43700;   0.557;     9;     1
 19730227;   42500;   0.542;     9;     1
 19730228;   40500;   0.516;     9;     1
 19730301;   38100;   0.486;     9;     1
 19730302;   41400;   0.528;     9;     1
 19730303;   42000;   0.536;     9;     1
 19730304;   42800;   0.546;     9;     1
 19730305;   42500;   0.542;     9;     1
 19730306;   43800;   0.559;     9;     1
 19730307;   45100;   0.575;     9;     1
 19730308;   44800;   0.571;     9;     1
 19730309;   49300;   0.629;     9;     1
 19730310;   44700;   0.570;     9;     1
 19730311;   41700;   0.532;     9;     1
 19730312;   40300;   0.514;     9;     1
 19730313;   42400;   0.541;     9;     1
 19730314;   39900;   0.509;     9;     1
 19730315;   36600;   0.467;     9;     1
 19730316;   45900;   0.585;     9;     1
 19730317;   42700;   0.544;     9;     1
 19730318;   34700;   0.442;     9;     1
 19730319;   37000;   0.472;     5;     1
 19730320;   40800;   0.520;     9;     1
 19730321;   44100;   0.562;     9;     1
 19730322;   47000;   0.599;     9;     1
 19730323;   54600;   0.696;     9;     1
