## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:10:11
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : X1225010
## Nom station                      : Le Bes à la Javie [Esclangon-Péroure]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      961650 ;    6351908 ;      961634 ;    6351865 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      914929 ;    1920792 ;      914913 ;    1920749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.27565 ;   44.21734 ;     6.27542 ;   44.21696 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      165.00 ;     164.51 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         805 ;        829 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.9 [%]
## Débits disponibles               :  1963-01-16 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19630116;    2520;   1.323;     9;     1
 19630117;    2400;   1.260;     9;     1
 19630118;    2270;   1.192;     9;     1
 19630119;    2050;   1.077;     9;     1
 19630120;    2050;   1.077;     9;     1
 19630121;    1940;   1.019;     9;     1
 19630122;    1820;   0.956;     9;     1
 19630123;    1620;   0.851;     9;     1
 19630124;    1620;   0.851;     9;     1
 19630125;    1420;   0.746;     9;     1
 19630126;    1420;   0.746;     9;     1
 19630127;    1420;   0.746;     9;     1
 19630128;    1420;   0.746;     9;     1
 19630129;    1320;   0.693;     9;     0
 19630130;    1320;   0.693;     9;     0
 19630131;    1320;   0.693;     9;     0
 19630201;    1320;   0.693;     9;     0
 19630202;    1320;   0.693;     9;     0
 19630203;    1320;   0.693;     9;     0
 19630204;     950;   0.499;     9;     1
 19630205;    1150;   0.604;     9;     1
 19630206;    1150;   0.604;     9;     1
 19630207;    1150;   0.604;     9;     1
 19630208;    1220;   0.641;     9;     1
 19630209;    1220;   0.641;     9;     1
 19630210;    1220;   0.641;     9;     1
 19630211;    1320;   0.693;     9;     1
 19630212;    1220;   0.641;     9;     1
 19630213;    1050;   0.551;     9;     1
 19630214;    1050;   0.551;     9;     1
 19630215;    1150;   0.604;     9;     1
 19630216;    1150;   0.604;     9;     1
 19630217;    1150;   0.604;     9;     1
 19630218;    1220;   0.641;     9;     1
 19630219;    1420;   0.746;     9;     1
 19630220;    1420;   0.746;     9;     1
 19630221;    1320;   0.693;     9;     1
 19630222;    1150;   0.604;     9;     1
 19630223;    1150;   0.604;     9;     1
 19630224;    1150;   0.604;     9;     1
 19630225;     950;   0.499;     9;     1
 19630226;     950;   0.499;     9;     1
 19630227;    1150;   0.604;     9;     1
 19630228;    1320;   0.693;     9;     1
 19630301;    1320;   0.693;     9;     1
 19630302;    1220;   0.641;     9;     1
 19630303;    1220;   0.641;     9;     1
 19630304;    1050;   0.551;     9;     1
 19630305;    1420;   0.746;     9;     1
 19630306;    1620;   0.851;     9;     1
 19630307;    1820;   0.956;     9;     1
 19630308;    2270;   1.192;     9;     1
 19630309;    2920;   1.534;     9;     1
 19630310;    4400;   2.311;     9;     1
 19630311;    5400;   2.836;     9;     1
 19630312;    9050;   4.753;     9;     1
 19630313;    5850;   3.072;     9;     1
 19630314;    4950;   2.600;     9;     1
 19630315;    4750;   2.495;     9;     1
 19630316;    5650;   2.967;     9;     1
 19630317;    4950;   2.600;     9;     1
 19630318;    6650;   3.493;     9;     1
 19630319;    7250;   3.808;     9;     1
 19630320;    7600;   3.991;     9;     1
 19630321;    6150;   3.230;     9;     1
 19630322;    5200;   2.731;     9;     1
 19630323;    4200;   2.206;     9;     1
 19630324;    3670;   1.927;     9;     1
 19630325;    3350;   1.759;     9;     1
 19630326;    3350;   1.759;     9;     1
 19630327;    4000;   2.101;     9;     1
 19630328;    5200;   2.731;     9;     1
 19630329;    5650;   2.967;     9;     1
 19630330;    6650;   3.493;     9;     1
 19630331;    4950;   2.600;     9;     1
 19630401;    6150;   3.230;     9;     1
 19630402;    5850;   3.072;     9;     1
 19630403;    5850;   3.072;     9;     1
 19630404;    5650;   2.967;     9;     1
 19630405;    5400;   2.836;     9;     1
 19630406;    4750;   2.495;     9;     1
 19630407;    4550;   2.390;     9;     1
 19630408;    4400;   2.311;     9;     1
 19630409;    5850;   3.072;     9;     1
 19630410;   12700;   6.670;     9;     1
 19630411;   30000;  15.756;     5;     1
 19630412;   17000;   8.928;     5;     1
 19630413;   17000;   8.928;     5;     1
 19630414;   11800;   6.197;     9;     1
 19630415;   11800;   6.197;     9;     1
 19630416;   11300;   5.935;     9;     1
 19630417;   10900;   5.725;     9;     1
 19630418;   11300;   5.935;     9;     1
 19630419;   10400;   5.462;     9;     1
 19630420;   10400;   5.462;     9;     1
 19630421;   10400;   5.462;     9;     1
 19630422;   10400;   5.462;     9;     1
 19630423;    9900;   5.199;     9;     1
 19630424;    9050;   4.753;     9;     1
 19630425;    9050;   4.753;     9;     1
 19630426;   10900;   5.725;     9;     1
 19630427;   11300;   5.935;     9;     1
 19630428;    9500;   4.989;     9;     1
 19630429;    9500;   4.989;     9;     1
 19630430;    9500;   4.989;     9;     1
 19630501;    9900;   5.199;     9;     1
 19630502;   10400;   5.462;     9;     1
 19630503;    8650;   4.543;     9;     1
