## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:10:24
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : X2202010
## Nom station                      : Le Verdon à Demandolx [Castillon]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      984386 ;    6315311 ;      984195 ;    6315307 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      938004 ;    1884354 ;      937813 ;    1884349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.53939 ;   43.87943 ;     6.53702 ;   43.87948 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      655.00 ;     656.04 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         790 ;        864 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.4 [%]
## Débits disponibles               :  1948-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;    8400;   1.106;     9;     1
 19480102;    7700;   1.014;     9;     1
 19480103;    7400;   0.975;     9;     1
 19480104;    7100;   0.935;     9;     1
 19480105;    7100;   0.935;     9;     1
 19480106;    7400;   0.975;     9;     1
 19480107;    7100;   0.935;     9;     1
 19480108;   10400;   1.370;     9;     1
 19480109;    8700;   1.146;     9;     1
 19480110;    8100;   1.067;     9;     1
 19480111;    7400;   0.975;     9;     1
 19480112;    7400;   0.975;     9;     1
 19480113;    8100;   1.067;     9;     1
 19480114;    7400;   0.975;     9;     1
 19480115;    7400;   0.975;     9;     1
 19480116;    7100;   0.935;     9;     1
 19480117;    6500;   0.856;     9;     1
 19480118;    6200;   0.817;     9;     1
 19480119;    5900;   0.777;     9;     1
 19480120;    5700;   0.751;     9;     1
 19480121;    5700;   0.751;     9;     1
 19480122;    5200;   0.685;     9;     1
 19480123;    5000;   0.658;     9;     1
 19480124;   23500;   3.095;     9;     1
 19480125;   29600;   3.898;     9;     1
 19480126;   17800;   2.344;     9;     1
 19480127;   19500;   2.568;     9;     1
 19480128;   47000;   6.190;     9;     1
 19480129;   27500;   3.622;     9;     1
 19480130;   27500;   3.622;     9;     1
 19480131;   21800;   2.871;     9;     1
 19480201;   19500;   2.568;     9;     1
 19480202;   18500;   2.436;     9;     1
 19480203;   16500;   2.173;     9;     1
 19480204;   17500;   2.305;     9;     1
 19480205;   19500;   2.568;     9;     1
 19480206;   16100;   2.120;     9;     1
 19480207;   15100;   1.989;     9;     1
 19480208;   13700;   1.804;     9;     1
 19480209;   13400;   1.765;     9;     1
 19480210;   12800;   1.686;     9;     1
 19480211;   12500;   1.646;     9;     1
 19480212;   12100;   1.594;     9;     1
 19480213;   11100;   1.462;     9;     1
 19480214;   10700;   1.409;     9;     1
 19480215;   10700;   1.409;     9;     1
 19480216;   10400;   1.370;     9;     1
 19480217;   10400;   1.370;     9;     1
 19480218;   10100;   1.330;     9;     1
 19480219;    9700;   1.277;     9;     1
 19480220;    9400;   1.238;     9;     1
 19480221;    8700;   1.146;     9;     1
 19480222;    8700;   1.146;     9;     1
 19480223;    8100;   1.067;     9;     1
 19480224;    8100;   1.067;     9;     1
 19480225;    8100;   1.067;     9;     1
 19480226;    7700;   1.014;     9;     1
 19480227;    7400;   0.975;     9;     1
 19480228;    7400;   0.975;     9;     1
 19480229;    5200;   0.685;     9;     1
 19480301;    4700;   0.619;     9;     1
 19480302;    5000;   0.658;     9;     1
 19480303;    4900;   0.645;     9;     1
 19480304;    4900;   0.645;     9;     1
 19480305;    5000;   0.658;     9;     1
 19480306;    5200;   0.685;     9;     1
 19480307;    5200;   0.685;     9;     1
 19480308;    8700;   1.146;     9;     1
 19480309;   10000;   1.317;     9;     1
 19480310;   10400;   1.370;     9;     1
 19480311;   10400;   1.370;     9;     1
 19480312;   11400;   1.501;     9;     1
 19480313;   11700;   1.541;     9;     1
 19480314;   12100;   1.594;     9;     1
 19480315;   11800;   1.554;     9;     1
 19480316;   11100;   1.462;     9;     1
 19480317;   11100;   1.462;     9;     1
 19480318;   10400;   1.370;     9;     1
 19480319;   10400;   1.370;     9;     1
 19480320;   10400;   1.370;     9;     1
 19480321;    9700;   1.277;     9;     1
 19480322;    9700;   1.277;     9;     1
 19480323;    8700;   1.146;     9;     1
