## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:10:48
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y0115410
## Nom station                      : La Massane à Argelès-sur-Mer [Mas d'en Tourens]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      698870 ;    6158428 ;      698864 ;    6158415 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      653519 ;    1724862 ;      653513 ;    1724849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.98626 ;   42.52565 ;     2.98619 ;   42.52553 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       17.20 ;      16.45 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          81 ;        101 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.1 [%]
## Débits disponibles               :  1966-10-07 ; 2021-02-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19661007;      75;   0.394;     9;     1
 19661008;     368;   1.933;     9;     1
 19661009;     221;   1.161;     9;     1
 19661010;     162;   0.851;     9;     1
 19661011;    3540;  18.593;     9;     1
 19661012;    3650;  19.171;     9;     1
 19661013;    1030;   5.410;     9;     1
 19661014;     690;   3.624;     9;     1
 19661015;     731;   3.839;     9;     1
 19661016;     893;   4.690;     9;     1
 19661017;     669;   3.514;     9;     1
 19661018;     489;   2.568;     9;     1
 19661019;     378;   1.985;     9;     1
 19661020;     369;   1.938;     9;     0
 19661021;     368;   1.933;     9;     0
 19661022;     367;   1.928;     9;     0
 19661023;     366;   1.922;     9;     0
 19661024;     365;   1.917;     9;     0
 19661025;     364;   1.912;     9;     0
 19661026;     363;   1.907;     9;     0
 19661027;     361;   1.896;     9;     0
 19661028;     360;   1.891;     9;     0
 19661029;     359;   1.886;     9;     0
 19661030;     358;   1.880;     9;     0
 19661031;     357;   1.875;     9;     0
 19661101;     356;   1.870;     9;     0
 19661102;     355;   1.865;     9;     0
 19661103;     354;   1.859;     9;     0
 19661104;     353;   1.854;     9;     0
 19661105;     352;   1.849;     9;     0
 19661106;     350;   1.838;     9;     0
 19661107;     349;   1.833;     9;     0
 19661108;     348;   1.828;     9;     0
 19661109;     347;   1.823;     9;     0
 19661110;     346;   1.817;     9;     0
 19661111;     345;   1.812;     9;     0
 19661112;     344;   1.807;     9;     0
 19661113;     343;   1.802;     9;     0
 19661114;     342;   1.796;     9;     0
 19661115;     341;   1.791;     9;     0
 19661116;     339;   1.781;     9;     0
 19661117;     338;   1.775;     9;     0
 19661118;     337;   1.770;     9;     0
 19661119;     336;   1.765;     9;     0
 19661120;     335;   1.760;     9;     0
 19661121;     334;   1.754;     9;     0
 19661122;     333;   1.749;     9;     0
 19661123;     332;   1.744;     9;     0
 19661124;     331;   1.739;     9;     0
 19661125;     330;   1.733;     9;     0
 19661126;     328;   1.723;     9;     0
 19661127;     327;   1.717;     9;     0
 19661128;     326;   1.712;     9;     0
 19661129;     325;   1.707;     9;     0
 19661130;     324;   1.702;     9;     0
 19661201;     323;   1.696;     9;     0
 19661202;     322;   1.691;     9;     0
 19661203;     321;   1.686;     9;     0
 19661204;     320;   1.681;     9;     0
 19661205;     319;   1.675;     9;     0
 19661206;     318;   1.670;     9;     0
 19661207;     316;   1.660;     9;     0
 19661208;     315;   1.654;     9;     0
 19661209;     314;   1.649;     9;     0
 19661210;     313;   1.644;     9;     0
 19661211;     312;   1.639;     9;     0
 19661212;     311;   1.633;     9;     0
 19661213;     310;   1.628;     9;     0
 19661214;     309;   1.623;     9;     0
 19661215;     308;   1.618;     9;     0
 19661216;     307;   1.612;     9;     0
 19661217;     306;   1.607;     9;     0
 19661218;     305;   1.602;     9;     0
 19661219;     304;   1.597;     9;     0
 19661220;     303;   1.591;     9;     0
 19661221;     302;   1.586;     9;     0
 19661222;     301;   1.581;     9;     0
 19661223;     300;   1.576;     9;     0
 19661224;     299;   1.570;     9;     0
 19661225;     298;   1.565;     9;     0
 19661226;     298;   1.565;     9;     0
 19661227;     297;   1.560;     9;     0
 19661228;     296;   1.555;     9;     0
 19661229;     295;   1.549;     9;     0
 19661230;     294;   1.544;     9;     0
 19661231;     293;   1.539;     9;     0
 19670101;     292;   1.534;     9;     0
 19670102;     291;   1.528;     9;     0
 19670103;     290;   1.523;     9;     0
 19670104;     290;   1.523;     9;     0
 19670105;     289;   1.518;     9;     0
 19670106;     288;   1.513;     9;     0
 19670107;     287;   1.507;     9;     0
 19670108;     286;   1.502;     9;     0
 19670109;     285;   1.497;     9;     0
 19670110;     284;   1.492;     9;     0
 19670111;     283;   1.486;     9;     0
 19670112;     282;   1.481;     9;     0
 19670113;     282;   1.481;     9;     0
 19670114;     281;   1.476;     9;     0
 19670115;     280;   1.471;     9;     0
 19670116;     279;   1.465;     9;     0
 19670117;     278;   1.460;     9;     0
 19670118;     277;   1.455;     9;     0
 19670119;     276;   1.450;     9;     0
 19670120;     275;   1.444;     9;     0
 19670121;     274;   1.439;     9;     0
 19670122;     273;   1.434;     9;     0
 19670123;     273;   1.434;     9;     0
 19670124;     272;   1.429;     9;     0
 19670125;     271;   1.423;     9;     0
 19670126;     270;   1.418;     9;     0
 19670127;     269;   1.413;     9;     0
 19670128;     268;   1.408;     9;     0
 19670129;     267;   1.402;     9;     0
 19670130;     266;   1.397;     9;     0
 19670131;     265;   1.392;     9;     0
 19670201;     265;   1.392;     9;     0
 19670202;     264;   1.387;     9;     0
 19670203;     263;   1.381;     9;     0
