## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:11:27
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y0655010
## Nom station                      : Le Verdouble à Tautavel
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      679004 ;    6190125 ;      679053 ;    6190147 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      633364 ;    1756427 ;      633413 ;    1756449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.74358 ;   42.81032 ;     2.74418 ;   42.81052 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      305.00 ;     308.53 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          91 ;         97 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.2 [%]
## Débits disponibles               :  1967-01-01 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;    2320;   0.650;     9;     1
 19670102;    2030;   0.568;     9;     1
 19670103;    1840;   0.515;     9;     1
 19670104;    1840;   0.515;     9;     1
 19670105;    1840;   0.515;     9;     1
 19670106;    1840;   0.515;     9;     1
 19670107;    1450;   0.406;     9;     1
 19670108;    1450;   0.406;     9;     1
 19670109;    1450;   0.406;     9;     1
 19670110;    1840;   0.515;     9;     0
 19670111;    1840;   0.515;     9;     0
 19670112;    1840;   0.515;     9;     0
 19670113;    1840;   0.515;     9;     0
 19670114;    1840;   0.515;     9;     0
 19670115;    1840;   0.515;     9;     0
 19670116;    1840;   0.515;     9;     0
 19670117;    1840;   0.515;     9;     0
 19670118;    1640;   0.459;     9;     1
 19670119;    1640;   0.459;     9;     1
 19670120;    1640;   0.459;     9;     1
 19670121;    1250;   0.350;     9;     0
 19670122;    1250;   0.350;     9;     0
 19670123;    1250;   0.350;     9;     0
 19670124;    1250;   0.350;     9;     0
 19670125;    1250;   0.350;     9;     0
 19670126;    1250;   0.350;     9;     0
 19670127;    1450;   0.406;     9;     0
 19670128;    1450;   0.406;     9;     0
 19670129;    1450;   0.406;     9;     0
 19670130;    1450;   0.406;     9;     0
 19670131;    1450;   0.406;     9;     0
 19670201;    1450;   0.406;     9;     0
 19670202;    1450;   0.406;     9;     0
 19670203;    1450;   0.406;     9;     0
 19670204;    1250;   0.350;     9;     1
 19670205;    1250;   0.350;     9;     1
 19670206;    1250;   0.350;     9;     1
 19670207;    1060;   0.297;     9;     0
 19670208;    1060;   0.297;     9;     0
 19670209;    1060;   0.297;     9;     0
 19670210;    1060;   0.297;     9;     0
 19670211;    1060;   0.297;     9;     0
 19670212;    1250;   0.350;     9;     1
 19670213;    1450;   0.406;     9;     1
 19670214;  117000;  32.764;     9;     1
 19670215;  164000;  45.926;     9;     1
 19670216;   46000;  12.882;     9;     1
 19670217;   24800;   6.945;     9;     1
 19670218;   17900;   5.013;     9;     1
 19670219;   14000;   3.921;     9;     1
 19670220;   10200;   2.856;     9;     1
 19670221;    8900;   2.492;     9;     1
 19670222;    7600;   2.128;     9;     1
 19670223;    6800;   1.904;     9;     1
 19670224;    5550;   1.554;     9;     1
 19670225;    5150;   1.442;     9;     1
 19670226;    4320;   1.210;     9;     1
 19670227;    3910;   1.095;     9;     1
 19670228;    3500;   0.980;     9;     0
 19670301;    3500;   0.980;     9;     0
 19670302;    3500;   0.980;     9;     0
 19670303;    3500;   0.980;     9;     0
 19670304;    3500;   0.980;     9;     0
 19670305;    3500;   0.980;     9;     0
 19670306;    3210;   0.899;     9;     1
 19670307;    3210;   0.899;     9;     1
 19670308;    2910;   0.815;     9;     0
 19670309;    2910;   0.815;     9;     0
 19670310;    2910;   0.815;     9;     0
 19670311;    2910;   0.815;     9;     0
 19670312;    2910;   0.815;     9;     0
 19670313;    2620;   0.734;     9;     1
 19670314;    2620;   0.734;     9;     1
 19670315;    2320;   0.650;     9;     1
 19670316;    2320;   0.650;     9;     1
 19670317;    2320;   0.650;     9;     1
 19670318;    2030;   0.568;     9;     1
 19670319;    1840;   0.515;     9;     1
 19670320;    1450;   0.406;     9;     0
 19670321;    1450;   0.406;     9;     0
 19670322;    1450;   0.406;     9;     0
 19670323;    1450;   0.406;     9;     0
 19670324;    1450;   0.406;     9;     0
