## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:11:37
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y1012010
## Nom station                      : L'Aude à Puyvalador
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      628401 ;    6191226 ;      628161 ;    6172395 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      582695 ;    1757104 ;      582613 ;    1738249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.12545 ;   42.81696 ;     2.12508 ;   42.64763 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      134.00 ;     138.96 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :     1391.00 ;    1418.25 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1948-01-01 ; 2013-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;    1500;   0.933;     9;     1
 19480102;    2100;   1.306;     9;     1
 19480103;    1500;   0.933;     9;     1
 19480104;    2300;   1.430;     9;     1
 19480105;    1800;   1.119;     9;     1
 19480106;    1900;   1.181;     9;     1
 19480107;    4000;   2.487;     9;     1
 19480108;    1800;   1.119;     9;     1
 19480109;    1900;   1.181;     9;     1
 19480110;    2300;   1.430;     9;     1
 19480111;    1800;   1.119;     9;     1
 19480112;    1700;   1.057;     9;     1
 19480113;    1600;   0.995;     9;     1
 19480114;    1500;   0.933;     9;     1
 19480115;    1700;   1.057;     9;     1
 19480116;    1500;   0.933;     9;     1
 19480117;    1200;   0.746;     9;     1
 19480118;    1700;   1.057;     9;     1
 19480119;    1600;   0.995;     9;     1
 19480120;    1200;   0.746;     9;     1
 19480121;    1600;   0.995;     9;     1
 19480122;    1600;   0.995;     9;     1
 19480123;    1800;   1.119;     9;     1
 19480124;    1600;   0.995;     9;     1
 19480125;    1300;   0.808;     9;     1
 19480126;    1600;   0.995;     9;     1
 19480127;    1900;   1.181;     9;     1
 19480128;    1800;   1.119;     9;     1
 19480129;    2300;   1.430;     9;     1
 19480130;    2600;   1.617;     9;     1
 19480131;    2300;   1.430;     9;     1
 19480201;    2100;   1.306;     9;     1
 19480202;    1900;   1.181;     9;     1
 19480203;    2100;   1.306;     9;     1
 19480204;    2300;   1.430;     9;     1
 19480205;    2400;   1.492;     9;     1
 19480206;    2000;   1.244;     9;     1
 19480207;    2100;   1.306;     9;     1
 19480208;    2300;   1.430;     9;     1
 19480209;    2400;   1.492;     9;     1
 19480210;    2800;   1.741;     9;     1
 19480211;    2400;   1.492;     9;     1
 19480212;    2100;   1.306;     9;     1
 19480213;    2900;   1.803;     9;     1
 19480214;    2500;   1.554;     9;     1
 19480215;    2600;   1.617;     9;     1
 19480216;    2600;   1.617;     9;     1
 19480217;    2400;   1.492;     9;     1
 19480218;    2400;   1.492;     9;     1
 19480219;    2300;   1.430;     9;     1
 19480220;    1900;   1.181;     9;     1
 19480221;    2100;   1.306;     9;     1
 19480222;    1900;   1.181;     9;     1
 19480223;    1800;   1.119;     9;     1
 19480224;    2200;   1.368;     9;     1
 19480225;    3300;   2.052;     9;     1
 19480226;    3100;   1.927;     9;     1
 19480227;    2400;   1.492;     9;     1
 19480228;    2400;   1.492;     9;     1
 19480229;    2200;   1.368;     9;     1
 19480301;    2000;   1.244;     9;     1
 19480302;    2300;   1.430;     9;     1
 19480303;    2400;   1.492;     9;     1
 19480304;    2500;   1.554;     9;     1
 19480305;    1600;   0.995;     9;     1
 19480306;    2200;   1.368;     9;     1
 19480307;    2100;   1.306;     9;     1
 19480308;    2300;   1.430;     9;     1
 19480309;    2600;   1.617;     9;     1
 19480310;    3100;   1.927;     9;     1
 19480311;    3600;   2.238;     9;     1
 19480312;    3400;   2.114;     9;     1
 19480313;    3300;   2.052;     9;     1
 19480314;    3200;   1.990;     9;     1
 19480315;    3300;   2.052;     9;     1
 19480316;    2600;   1.617;     9;     1
 19480317;    2900;   1.803;     9;     1
 19480318;    2800;   1.741;     9;     1
 19480319;    2700;   1.679;     9;     1
 19480320;    2700;   1.679;     9;     1
 19480321;    2700;   1.679;     9;     1
 19480322;    2700;   1.679;     9;     1
 19480323;    2900;   1.803;     9;     1
