## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:11:40
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y1105010
## Nom station                      : Le Rebenty à Saint-Martin-Lys
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      636800 ;    6190955 ;      636708 ;    6191002 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      591106 ;    1756903 ;      591013 ;    1756949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.22807 ;   42.81531 ;     2.22694 ;   42.81573 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      241.00 ;     226.77 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :      373.00 ;     388.25 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    24.6 [%]
## Débits disponibles               :  1934-01-01 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19340101;    1120;   0.427;     9;     1
 19340102;     930;   0.354;     9;     1
 19340103;    1030;   0.392;     9;     1
 19340104;     930;   0.354;     9;     1
 19340105;     930;   0.354;     9;     1
 19340106;    1520;   0.579;     9;     1
 19340107;    1240;   0.472;     9;     1
 19340108;    1240;   0.472;     9;     1
 19340109;    1030;   0.392;     9;     1
 19340110;    1030;   0.392;     9;     1
 19340111;    1030;   0.392;     9;     1
 19340112;     930;   0.354;     9;     1
 19340113;     930;   0.354;     9;     1
 19340114;     930;   0.354;     9;     1
 19340115;    1520;   0.579;     9;     1
 19340116;    1920;   0.732;     9;     1
 19340117;    2360;   0.899;     9;     1
 19340118;    2110;   0.804;     9;     1
 19340119;    1600;   0.610;     9;     1
 19340120;    1520;   0.579;     9;     1
 19340121;    1430;   0.545;     9;     1
 19340122;    1520;   0.579;     9;     1
 19340123;    1600;   0.610;     9;     1
 19340124;    1600;   0.610;     9;     1
 19340125;    1520;   0.579;     9;     1
 19340126;    1430;   0.545;     9;     1
 19340127;    1240;   0.472;     9;     1
 19340128;    1240;   0.472;     9;     1
 19340129;    1430;   0.545;     9;     0
 19340130;    1430;   0.545;     9;     0
 19340131;    1430;   0.545;     9;     0
 19340201;    1430;   0.545;     9;     0
 19340202;    1430;   0.545;     9;     0
 19340203;    1240;   0.472;     9;     1
 19340204;    1240;   0.472;     9;     1
 19340205;    1120;   0.427;     9;     1
 19340206;    1120;   0.427;     9;     1
 19340207;    1120;   0.427;     9;     1
 19340208;    1240;   0.472;     9;     1
 19340209;    1120;   0.427;     9;     1
 19340210;    1120;   0.427;     9;     1
 19340211;    1240;   0.472;     9;     1
 19340212;    1240;   0.472;     9;     1
 19340213;    1430;   0.545;     9;     1
 19340214;    1240;   0.472;     9;     1
 19340215;    1430;   0.545;     9;     1
 19340216;    1430;   0.545;     9;     1
 19340217;    1430;   0.545;     9;     1
 19340218;    1240;   0.472;     9;     1
 19340219;    1240;   0.472;     9;     1
 19340220;    1430;   0.545;     9;     1
 19340221;    1520;   0.579;     9;     1
 19340222;    1430;   0.545;     9;     1
 19340223;    1430;   0.545;     9;     1
 19340224;    1520;   0.579;     9;     1
 19340225;    1520;   0.579;     9;     1
 19340226;    1600;   0.610;     9;     1
 19340227;    1600;   0.610;     9;     1
 19340228;    1600;   0.610;     9;     1
 19340301;    1600;   0.610;     9;     1
 19340302;    1430;   0.545;     9;     1
 19340303;    1600;   0.610;     9;     1
 19340304;    1600;   0.610;     9;     1
 19340305;    1520;   0.579;     9;     1
 19340306;    1430;   0.545;     9;     1
 19340307;    1430;   0.545;     9;     1
 19340308;    1520;   0.579;     9;     1
 19340309;    1600;   0.610;     9;     1
 19340310;    1600;   0.610;     9;     1
 19340311;    1920;   0.732;     9;     1
 19340312;    1920;   0.732;     9;     1
 19340313;    1750;   0.667;     9;     1
 19340314;    1750;   0.667;     9;     1
 19340315;    1600;   0.610;     9;     1
 19340316;    1600;   0.610;     9;     1
 19340317;    1920;   0.732;     9;     1
 19340318;    1900;   0.724;     9;     1
 19340319;    2110;   0.804;     9;     1
 19340320;    2110;   0.804;     9;     1
 19340321;    1920;   0.732;     9;     1
 19340322;    1920;   0.732;     9;     1
 19340323;    1750;   0.667;     9;     1
 19340324;    1600;   0.610;     9;     1
 19340325;    1600;   0.610;     9;     1
