## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:11:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y1232010
## Nom station                      : L'Aude à Carcassonne [Pont Neuf]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      648013 ;    6235210 ;      647966 ;    6235059 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      601959 ;    1801301 ;      601913 ;    1801149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.36064 ;   43.21421 ;     2.36008 ;   43.21285 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1754.00 ;    1828.83 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          96 ;        100 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    11.3 [%]
## Débits disponibles               :  1963-09-14 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19630914;  684000;  32.314;     9;     1
 19630915;     -99; -99.000;   -99;   -99
 19630916;     -99; -99.000;   -99;   -99
 19630917;     -99; -99.000;   -99;   -99
 19630918;     -99; -99.000;   -99;   -99
 19630919;     -99; -99.000;   -99;   -99
 19630920;     -99; -99.000;   -99;   -99
 19630921;     -99; -99.000;   -99;   -99
 19630922;     -99; -99.000;   -99;   -99
 19630923;     -99; -99.000;   -99;   -99
 19630924;     -99; -99.000;   -99;   -99
 19630925;     -99; -99.000;   -99;   -99
 19630926;     -99; -99.000;   -99;   -99
 19630927;     -99; -99.000;   -99;   -99
 19630928;     -99; -99.000;   -99;   -99
 19630929;     -99; -99.000;   -99;   -99
 19630930;     -99; -99.000;   -99;   -99
 19631001;     -99; -99.000;   -99;   -99
 19631002;     -99; -99.000;   -99;   -99
 19631003;     -99; -99.000;   -99;   -99
 19631004;     -99; -99.000;   -99;   -99
 19631005;     -99; -99.000;   -99;   -99
 19631006;     -99; -99.000;   -99;   -99
 19631007;     -99; -99.000;   -99;   -99
 19631008;     -99; -99.000;   -99;   -99
 19631009;     -99; -99.000;   -99;   -99
 19631010;     -99; -99.000;   -99;   -99
 19631011;     -99; -99.000;   -99;   -99
 19631012;     -99; -99.000;   -99;   -99
 19631013;     -99; -99.000;   -99;   -99
 19631014;     -99; -99.000;   -99;   -99
 19631015;     -99; -99.000;   -99;   -99
 19631016;     -99; -99.000;   -99;   -99
 19631017;     -99; -99.000;   -99;   -99
 19631018;     -99; -99.000;   -99;   -99
 19631019;     -99; -99.000;   -99;   -99
 19631020;     -99; -99.000;   -99;   -99
 19631021;     -99; -99.000;   -99;   -99
 19631022;     -99; -99.000;   -99;   -99
 19631023;     -99; -99.000;   -99;   -99
 19631024;     -99; -99.000;   -99;   -99
 19631025;     -99; -99.000;   -99;   -99
 19631026;     -99; -99.000;   -99;   -99
 19631027;     -99; -99.000;   -99;   -99
 19631028;     -99; -99.000;   -99;   -99
 19631029;     -99; -99.000;   -99;   -99
 19631030;     -99; -99.000;   -99;   -99
 19631031;     -99; -99.000;   -99;   -99
 19631101;     -99; -99.000;   -99;   -99
 19631102;     -99; -99.000;   -99;   -99
 19631103;     -99; -99.000;   -99;   -99
 19631104;     -99; -99.000;   -99;   -99
 19631105;     -99; -99.000;   -99;   -99
 19631106;     -99; -99.000;   -99;   -99
 19631107;     -99; -99.000;   -99;   -99
 19631108;     -99; -99.000;   -99;   -99
 19631109;     -99; -99.000;   -99;   -99
 19631110;     -99; -99.000;   -99;   -99
 19631111;     -99; -99.000;   -99;   -99
 19631112;     -99; -99.000;   -99;   -99
 19631113;     -99; -99.000;   -99;   -99
 19631114;     -99; -99.000;   -99;   -99
 19631115;     -99; -99.000;   -99;   -99
 19631116;     -99; -99.000;   -99;   -99
 19631117;     -99; -99.000;   -99;   -99
 19631118;     -99; -99.000;   -99;   -99
 19631119;     -99; -99.000;   -99;   -99
 19631120;     -99; -99.000;   -99;   -99
 19631121;     -99; -99.000;   -99;   -99
 19631122;     -99; -99.000;   -99;   -99
 19631123;     -99; -99.000;   -99;   -99
 19631124;     -99; -99.000;   -99;   -99
 19631125;     -99; -99.000;   -99;   -99
 19631126;     -99; -99.000;   -99;   -99
 19631127;     -99; -99.000;   -99;   -99
 19631128;     -99; -99.000;   -99;   -99
 19631129;     -99; -99.000;   -99;   -99
 19631130;     -99; -99.000;   -99;   -99
 19631201;     -99; -99.000;   -99;   -99
 19631202;     -99; -99.000;   -99;   -99
 19631203;     -99; -99.000;   -99;   -99
 19631204;     -99; -99.000;   -99;   -99
 19631205;     -99; -99.000;   -99;   -99
 19631206;     -99; -99.000;   -99;   -99
 19631207;     -99; -99.000;   -99;   -99
 19631208;     -99; -99.000;   -99;   -99
 19631209;     -99; -99.000;   -99;   -99
 19631210;     -99; -99.000;   -99;   -99
 19631211;     -99; -99.000;   -99;   -99
 19631212;     -99; -99.000;   -99;   -99
 19631213;     -99; -99.000;   -99;   -99
 19631214;     -99; -99.000;   -99;   -99
 19631215;     -99; -99.000;   -99;   -99
 19631216;     -99; -99.000;   -99;   -99
 19631217;     -99; -99.000;   -99;   -99
 19631218;     -99; -99.000;   -99;   -99
 19631219;     -99; -99.000;   -99;   -99
 19631220;     -99; -99.000;   -99;   -99
 19631221;     -99; -99.000;   -99;   -99
 19631222;     -99; -99.000;   -99;   -99
 19631223;     -99; -99.000;   -99;   -99
 19631224;     -99; -99.000;   -99;   -99
 19631225;     -99; -99.000;   -99;   -99
 19631226;     -99; -99.000;   -99;   -99
 19631227;     -99; -99.000;   -99;   -99
 19631228;     -99; -99.000;   -99;   -99
 19631229;     -99; -99.000;   -99;   -99
 19631230;     -99; -99.000;   -99;   -99
 19631231;     -99; -99.000;   -99;   -99
 19640101;     -99; -99.000;   -99;   -99
 19640102;     -99; -99.000;   -99;   -99
 19640103;     -99; -99.000;   -99;   -99
 19640104;     -99; -99.000;   -99;   -99
 19640105;     -99; -99.000;   -99;   -99
 19640106;     -99; -99.000;   -99;   -99
 19640107;     -99; -99.000;   -99;   -99
 19640108;     -99; -99.000;   -99;   -99
 19640109;     -99; -99.000;   -99;   -99
 19640110;     -99; -99.000;   -99;   -99
 19640111;     -99; -99.000;   -99;   -99
 19640112;     -99; -99.000;   -99;   -99
 19640113;     -99; -99.000;   -99;   -99
 19640114;     -99; -99.000;   -99;   -99
 19640115;     -99; -99.000;   -99;   -99
 19640116;     -99; -99.000;   -99;   -99
 19640117;     -99; -99.000;   -99;   -99
 19640118;     -99; -99.000;   -99;   -99
 19640119;     -99; -99.000;   -99;   -99
 19640120;     -99; -99.000;   -99;   -99
 19640121;     -99; -99.000;   -99;   -99
 19640122;     -99; -99.000;   -99;   -99
 19640123;     -99; -99.000;   -99;   -99
 19640124;     -99; -99.000;   -99;   -99
 19640125;     -99; -99.000;   -99;   -99
 19640126;     -99; -99.000;   -99;   -99
 19640127;     -99; -99.000;   -99;   -99
 19640128;     -99; -99.000;   -99;   -99
 19640129;     -99; -99.000;   -99;   -99
 19640130;     -99; -99.000;   -99;   -99
 19640131;     -99; -99.000;   -99;   -99
 19640201;     -99; -99.000;   -99;   -99
 19640202;     -99; -99.000;   -99;   -99
 19640203;     -99; -99.000;   -99;   -99
 19640204;     -99; -99.000;   -99;   -99
 19640205;     -99; -99.000;   -99;   -99
 19640206;     -99; -99.000;   -99;   -99
 19640207;     -99; -99.000;   -99;   -99
 19640208;     -99; -99.000;   -99;   -99
 19640209;     -99; -99.000;   -99;   -99
 19640210;     -99; -99.000;   -99;   -99
 19640211;     -99; -99.000;   -99;   -99
 19640212;     -99; -99.000;   -99;   -99
 19640213;     -99; -99.000;   -99;   -99
 19640214;     -99; -99.000;   -99;   -99
 19640215;     -99; -99.000;   -99;   -99
 19640216;     -99; -99.000;   -99;   -99
 19640217;     -99; -99.000;   -99;   -99
 19640218;     -99; -99.000;   -99;   -99
 19640219;     -99; -99.000;   -99;   -99
 19640220;     -99; -99.000;   -99;   -99
 19640221;     -99; -99.000;   -99;   -99
 19640222;     -99; -99.000;   -99;   -99
 19640223;     -99; -99.000;   -99;   -99
 19640224;     -99; -99.000;   -99;   -99
 19640225;     -99; -99.000;   -99;   -99
 19640226;     -99; -99.000;   -99;   -99
 19640227;     -99; -99.000;   -99;   -99
 19640228;     -99; -99.000;   -99;   -99
 19640229;     -99; -99.000;   -99;   -99
 19640301;     -99; -99.000;   -99;   -99
 19640302;     -99; -99.000;   -99;   -99
 19640303;     -99; -99.000;   -99;   -99
 19640304;     -99; -99.000;   -99;   -99
 19640305;     -99; -99.000;   -99;   -99
 19640306;     -99; -99.000;   -99;   -99
 19640307;     -99; -99.000;   -99;   -99
 19640308;     -99; -99.000;   -99;   -99
 19640309;     -99; -99.000;   -99;   -99
 19640310;     -99; -99.000;   -99;   -99
 19640311;     -99; -99.000;   -99;   -99
 19640312;     -99; -99.000;   -99;   -99
 19640313;     -99; -99.000;   -99;   -99
 19640314;     -99; -99.000;   -99;   -99
 19640315;     -99; -99.000;   -99;   -99
 19640316;     -99; -99.000;   -99;   -99
 19640317;     -99; -99.000;   -99;   -99
 19640318;     -99; -99.000;   -99;   -99
 19640319;     -99; -99.000;   -99;   -99
 19640320;     -99; -99.000;   -99;   -99
 19640321;     -99; -99.000;   -99;   -99
 19640322;     -99; -99.000;   -99;   -99
 19640323;     -99; -99.000;   -99;   -99
 19640324;     -99; -99.000;   -99;   -99
 19640325;     -99; -99.000;   -99;   -99
 19640326;     -99; -99.000;   -99;   -99
 19640327;     -99; -99.000;   -99;   -99
 19640328;     -99; -99.000;   -99;   -99
 19640329;     -99; -99.000;   -99;   -99
 19640330;     -99; -99.000;   -99;   -99
 19640331;     -99; -99.000;   -99;   -99
 19640401;     -99; -99.000;   -99;   -99
 19640402;     -99; -99.000;   -99;   -99
 19640403;     -99; -99.000;   -99;   -99
 19640404;     -99; -99.000;   -99;   -99
 19640405;     -99; -99.000;   -99;   -99
 19640406;     -99; -99.000;   -99;   -99
 19640407;     -99; -99.000;   -99;   -99
 19640408;     -99; -99.000;   -99;   -99
