## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:12:27
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y2015010
## Nom station                      : L'Arre au Vigan [La Terrisse]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      752809 ;    6322583 ;      752794 ;    6322582 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      706128 ;    1889650 ;      706113 ;    1889649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.65843 ;   44.00027 ;     3.65824 ;   44.00026 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      155.00 ;     154.99 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         187 ;        198 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.8 [%]
## Débits disponibles               :  1953-03-10 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19530310;     960;   0.535;     9;     1
 19530311;     890;   0.496;     9;     1
 19530312;     820;   0.457;     9;     1
 19530313;     890;   0.496;     9;     1
 19530314;     960;   0.535;     9;     1
 19530315;     960;   0.535;     9;     1
 19530316;     890;   0.496;     9;     1
 19530317;     890;   0.496;     9;     1
 19530318;     820;   0.457;     9;     1
 19530319;     820;   0.457;     9;     1
 19530320;     820;   0.457;     9;     1
 19530321;     680;   0.379;     9;     1
 19530322;     680;   0.379;     9;     1
 19530323;     680;   0.379;     9;     1
 19530324;     610;   0.340;     9;     1
 19530325;     680;   0.379;     9;     1
 19530326;     820;   0.457;     9;     1
 19530327;     820;   0.457;     9;     1
 19530328;     680;   0.379;     9;     1
 19530329;     750;   0.418;     9;     1
 19530330;     820;   0.457;     9;     1
 19530331;     750;   0.418;     9;     1
 19530401;     750;   0.418;     9;     1
 19530402;     820;   0.457;     9;     1
 19530403;     610;   0.340;     9;     1
 19530404;    3500;   1.951;     9;     1
 19530405;    3300;   1.840;     9;     1
 19530406;    2300;   1.282;     9;     1
 19530407;    2200;   1.226;     9;     1
 19530408;    2100;   1.171;     9;     1
 19530409;    2200;   1.226;     9;     1
 19530410;    2100;   1.171;     9;     1
 19530411;    1940;   1.081;     9;     1
 19530412;    1940;   1.081;     9;     1
 19530413;    1820;   1.015;     9;     1
 19530414;    1820;   1.015;     9;     1
 19530415;    1700;   0.948;     9;     1
 19530416;    1580;   0.881;     9;     1
 19530417;    1460;   0.814;     9;     1
 19530418;    1460;   0.814;     9;     1
 19530419;    1460;   0.814;     9;     1
 19530420;    1340;   0.747;     9;     1
 19530421;    1100;   0.613;     9;     1
 19530422;    1100;   0.613;     9;     1
 19530423;    1220;   0.680;     9;     1
 19530424;    1460;   0.814;     9;     1
 19530425;    1460;   0.814;     9;     1
 19530426;    1220;   0.680;     9;     1
 19530427;    1340;   0.747;     9;     1
 19530428;    1340;   0.747;     9;     1
 19530429;    1220;   0.680;     9;     1
 19530430;    1220;   0.680;     9;     1
 19530501;    1220;   0.680;     9;     1
 19530502;    1220;   0.680;     9;     1
 19530503;    1580;   0.881;     9;     1
 19530504;    1700;   0.948;     9;     1
 19530505;    1580;   0.881;     9;     1
 19530506;    1340;   0.747;     9;     1
 19530507;    1100;   0.613;     9;     1
 19530508;    1030;   0.574;     9;     1
 19530509;    1030;   0.574;     9;     1
 19530510;    1030;   0.574;     9;     1
 19530511;    1030;   0.574;     9;     1
 19530512;    1000;   0.557;     5;     1
 19530513;    1220;   0.680;     9;     1
 19530514;    1100;   0.613;     9;     1
 19530515;    1220;   0.680;     9;     1
 19530516;    1100;   0.613;     9;     1
 19530517;    1100;   0.613;     9;     1
 19530518;    1030;   0.574;     9;     1
 19530519;    1030;   0.574;     9;     1
 19530520;     960;   0.535;     9;     1
 19530521;   14800;   8.250;     9;     1
 19530522;   24000;  13.379;     9;     1
 19530523;   10100;   5.630;     9;     1
 19530524;    6800;   3.791;     9;     1
 19530525;    5000;   2.787;     9;     1
 19530526;    4200;   2.341;     9;     1
 19530527;    3800;   2.118;     9;     1
 19530528;    3300;   1.840;     9;     1
 19530529;    3200;   1.784;     9;     1
 19530530;    2800;   1.561;     9;     1
 19530531;    2600;   1.449;     9;     1
 19530601;    2500;   1.394;     9;     1
 19530602;    2300;   1.282;     9;     1
 19530603;    2200;   1.226;     9;     1
 19530604;    2200;   1.226;     9;     1
 19530605;    2100;   1.171;     9;     1
 19530606;    2300;   1.282;     9;     1
 19530607;    2800;   1.561;     9;     1
 19530608;    2500;   1.394;     9;     1
 19530609;    2300;   1.282;     9;     1
 19530610;    2200;   1.226;     9;     1
 19530611;    1820;   1.015;     9;     1
 19530612;    1580;   0.881;     9;     1
 19530613;    1340;   0.747;     9;     1
 19530614;    1220;   0.680;     9;     1
 19530615;    1220;   0.680;     9;     1
 19530616;    1100;   0.613;     9;     1
 19530617;     890;   0.496;     9;     1
 19530618;     890;   0.496;     9;     1
 19530619;     820;   0.457;     9;     1
 19530620;     750;   0.418;     9;     1
 19530621;     680;   0.379;     9;     1
 19530622;     700;   0.390;     5;     1
 19530623;    1000;   0.557;     5;     1
 19530624;    2000;   1.115;     5;     1
 19530625;    1100;   0.613;     9;     1
 19530626;     890;   0.496;     9;     1
 19530627;     960;   0.535;     9;     1
 19530628;     890;   0.496;     9;     1
 19530629;    1220;   0.680;     9;     1
 19530630;    1460;   0.814;     9;     1
 19530701;    1220;   0.680;     9;     1
 19530702;    1030;   0.574;     9;     0
 19530703;     960;   0.535;     9;     0
 19530704;     890;   0.496;     9;     0
 19530705;     820;   0.457;     9;     0
 19530706;     750;   0.418;     9;     0
 19530707;     750;   0.418;     9;     1
 19530708;     610;   0.340;     9;     1
 19530709;     540;   0.301;     9;     1
 19530710;     540;   0.301;     9;     1
 19530711;     610;   0.340;     9;     1
 19530712;     540;   0.301;     9;     1
 19530713;     360;   0.201;     9;     1
 19530714;     360;   0.201;     9;     1
 19530715;     400;   0.223;     9;     1
 19530716;     400;   0.223;     9;     1
 19530717;     320;   0.178;     9;     1
 19530718;     360;   0.201;     9;     1
 19530719;     320;   0.178;     9;     1
 19530720;     470;   0.262;     9;     1
 19530721;     360;   0.201;     9;     1
 19530722;     200;   0.111;     9;     1
 19530723;     240;   0.134;     9;     0
 19530724;     240;   0.134;     9;     0
 19530725;     240;   0.134;     9;     0
 19530726;     240;   0.134;     9;     0
 19530727;     240;   0.134;     9;     0
 19530728;     240;   0.134;     9;     0
 19530729;     200;   0.111;     9;     0
 19530730;     200;   0.111;     9;     0
 19530731;     200;   0.111;     9;     0
 19530801;     200;   0.111;     9;     0
 19530802;     200;   0.111;     9;     0
 19530803;     200;   0.111;     9;     0
 19530804;     240;   0.134;     9;     1
 19530805;     280;   0.156;     9;     1
 19530806;     240;   0.134;     9;     1
 19530807;     200;   0.111;     9;     1
 19530808;     280;   0.156;     9;     1
 19530809;     320;   0.178;     9;     1
 19530810;     280;   0.156;     9;     1
 19530811;     280;   0.156;     9;     1
 19530812;     240;   0.134;     9;     1
 19530813;     240;   0.134;     9;     1
 19530814;     240;   0.134;     9;     1
 19530815;     280;   0.156;     9;     1
 19530816;     320;   0.178;     9;     1
 19530817;     320;   0.178;     9;     1
 19530818;     360;   0.201;     9;     1
 19530819;     280;   0.156;     9;     1
 19530820;     280;   0.156;     9;     1
 19530821;     280;   0.156;     9;     1
 19530822;     200;   0.111;     9;     1
 19530823;     240;   0.134;     9;     0
 19530824;     240;   0.134;     9;     0
 19530825;     240;   0.134;     9;     0
 19530826;     240;   0.134;     9;     0
 19530827;     240;   0.134;     9;     0
 19530828;     190;   0.106;     9;     1
 19530829;     200;   0.111;     9;     0
 19530830;     200;   0.111;     9;     0
 19530831;     200;   0.111;     9;     0
 19530901;     200;   0.111;     9;     0
 19530902;     200;   0.111;     9;     0
 19530903;     200;   0.111;     9;     0
 19530904;     240;   0.134;     9;     1
 19530905;     280;   0.156;     9;     1
 19530906;     240;   0.134;     9;     1
 19530907;     200;   0.111;     9;     1
 19530908;     280;   0.156;     9;     1
 19530909;     320;   0.178;     9;     1
 19530910;     280;   0.156;     9;     1
 19530911;     280;   0.156;     9;     1
 19530912;     240;   0.134;     9;     1
 19530913;     160;   0.089;     9;     1
 19530914;     160;   0.089;     9;     1
 19530915;     280;   0.156;     9;     1
 19530916;    1100;   0.613;     9;     1
 19530917;     610;   0.340;     9;     1
 19530918;     360;   0.201;     9;     1
 19530919;     890;   0.496;     9;     1
 19530920;     890;   0.496;     9;     1
 19530921;     750;   0.418;     9;     1
 19530922;     680;   0.379;     9;     1
 19530923;     540;   0.301;     9;     1
 19530924;     540;   0.301;     9;     1
 19530925;     470;   0.262;     9;     1
 19530926;     820;   0.457;     9;     1
 19530927;    3300;   1.840;     9;     1
 19530928;    2000;   1.115;     5;     1
 19530929;    2000;   1.115;     5;     1
 19530930;    1500;   0.836;     5;     1
 19531001;    1500;   0.836;     5;     1
 19531002;    1000;   0.557;     5;     0
 19531003;    1000;   0.557;     5;     0
 19531004;    1000;   0.557;     5;     0
 19531005;    1000;   0.557;     5;     0
 19531006;    1000;   0.557;     5;     0
 19531007;    1000;   0.557;     5;     0
 19531008;     800;   0.446;     5;     1
 19531009;     800;   0.446;     5;     1
 19531010;    1000;   0.557;     5;     1
 19531011;   30000;  16.724;     9;     1
 19531012;   73000;  40.694;     9;     1
 19531013;   71000;  39.579;     9;     1
 19531014;  152000;  84.733;     9;     1
 19531015;   82000;  45.711;     9;     1
 19531016;   60000;  33.447;     9;     1
 19531017;   28000;  15.609;     9;     1
 19531018;   16300;   9.087;     9;     1
 19531019;   12300;   6.857;     9;     1
 19531020;    9700;   5.407;     9;     1
 19531021;    8200;   4.571;     9;     1
 19531022;    6800;   3.791;     9;     1
 19531023;    6000;   3.345;     9;     1
 19531024;    5800;   3.233;     9;     1
 19531025;    6300;   3.512;     9;     1
 19531026;    7600;   4.237;     9;     1
 19531027;    7600;   4.237;     9;     1
 19531028;   24000;  13.379;     9;     1
 19531029;   14100;   7.860;     9;     1
 19531030;   10400;   5.798;     9;     1
 19531031;    8500;   4.738;     9;     1
 19531101;   10100;   5.630;     9;     1
 19531102;    9000;   5.017;     9;     1
 19531103;    8200;   4.571;     9;     1
 19531104;    7400;   4.125;     9;     1
 19531105;    6500;   3.623;     9;     1
 19531106;    6000;   3.345;     9;     1
 19531107;    5300;   2.955;     9;     1
 19531108;    4800;   2.676;     9;     1
 19531109;    4600;   2.564;     9;     1
 19531110;    4200;   2.341;     9;     1
 19531111;    4000;   2.230;     5;     1
 19531112;    4000;   2.230;     5;     1
 19531113;    3000;   1.672;     5;     0
 19531114;    3000;   1.672;     5;     0
 19531115;    3000;   1.672;     5;     0
 19531116;    3000;   1.672;     5;     0
 19531117;    3000;   1.672;     5;     0
 19531118;    3000;   1.672;     5;     0
 19531119;    3000;   1.672;     5;     0
 19531120;    3000;   1.672;     5;     0
 19531121;    2000;   1.115;     5;     0
 19531122;    2000;   1.115;     5;     0
 19531123;    2000;   1.115;     5;     0
 19531124;    2000;   1.115;     5;     0
 19531125;    2000;   1.115;     5;     0
 19531126;    3000;   1.672;     5;     1
 19531127;   13000;   7.247;     5;     1
 19531128;   85000;  47.384;     5;     1
 19531129;   70000;  39.022;     5;     1
 19531130;   45000;  25.085;     5;     1
 19531201;   35000;  19.511;     5;     1
 19531202;   30000;  16.724;     5;     1
 19531203;   55000;  30.660;     5;     1
 19531204;   70000;  39.022;     5;     1
 19531205;   80000;  44.596;     5;     1
 19531206;   80000;  44.596;     5;     1
 19531207;   75000;  41.809;     5;     1
 19531208;  200000; 111.491;     5;     1
 19531209;  120000;  66.895;     5;     1
 19531210;   56000;  31.217;     9;     1
 19531211;   41000;  22.856;     9;     1
 19531212;   34000;  18.953;     9;     1
 19531213;   30000;  16.724;     9;     1
 19531214;   37000;  20.626;     9;     1
 19531215;  130000;  72.469;     5;     1
 19531216;   80000;  44.596;     5;     1
 19531217;   50000;  27.873;     5;     1
 19531218;   40000;  22.298;     5;     1
 19531219;   37000;  20.626;     9;     1
 19531220;   29000;  16.166;     9;     1
 19531221;   24000;  13.379;     9;     1
 19531222;   21000;  11.707;     9;     1
 19531223;   17300;   9.644;     9;     1
 19531224;   15200;   8.473;     9;     1
 19531225;   13400;   7.470;     9;     1
 19531226;   11900;   6.634;     9;     1
 19531227;   10800;   6.021;     9;     1
 19531228;    9700;   5.407;     9;     1
 19531229;    8700;   4.850;     9;     1
 19531230;    8200;   4.571;     9;     1
 19531231;    7400;   4.125;     9;     1
 19540101;    7080;   3.947;     9;     1
 19540102;    6800;   3.791;     9;     1
 19540103;    6250;   3.484;     9;     1
 19540104;    6000;   3.345;     9;     1
 19540105;    5750;   3.205;     9;     1
 19540106;    5250;   2.927;     9;     1
 19540107;    5250;   2.927;     9;     1
 19540108;    5000;   2.787;     9;     1
 19540109;    4600;   2.564;     9;     1
 19540110;    4600;   2.564;     9;     1
 19540111;    4400;   2.453;     9;     1
 19540112;    4200;   2.341;     9;     1
 19540113;    4000;   2.230;     9;     1
 19540114;    4400;   2.453;     9;     1
 19540115;    4200;   2.341;     9;     1
 19540116;    4000;   2.230;     9;     1
 19540117;    3830;   2.135;     9;     1
 19540118;    3660;   2.040;     9;     1
 19540119;    3660;   2.040;     9;     1
 19540120;    3590;   2.001;     9;     1
 19540121;    3320;   1.851;     9;     1
 19540122;    3320;   1.851;     9;     1
 19540123;    3320;   1.851;     9;     1
 19540124;    3150;   1.756;     9;     1
 19540125;    3150;   1.756;     9;     1
 19540126;    3150;   1.756;     9;     1
 19540127;    3320;   1.851;     9;     1
 19540128;    3490;   1.946;     9;     1
 19540129;    3490;   1.946;     9;     1
 19540130;    3320;   1.851;     9;     1
 19540131;    3660;   2.040;     9;     1
 19540201;    3500;   1.951;     9;     1
 19540202;    3200;   1.784;     9;     1
 19540203;    3000;   1.672;     9;     1
 19540204;    3000;   1.672;     9;     1
 19540205;    3000;   1.672;     9;     1
 19540206;    3000;   1.672;     9;     1
 19540207;    2800;   1.561;     9;     1
 19540208;    2800;   1.561;     9;     1
 19540209;    9000;   5.017;     9;     1
 19540210;   19400;  10.815;     9;     1
 19540211;   15600;   8.696;     9;     1
 19540212;   12300;   6.857;     9;     1
 19540213;   36000;  20.068;     9;     1
 19540214;   52000;  28.988;     9;     1
 19540215;   30000;  16.724;     9;     1
 19540216;   12000;   6.689;     5;     1
 19540217;   10000;   5.575;     5;     1
 19540218;    8500;   4.738;     5;     0
 19540219;    8000;   4.460;     5;     0
 19540220;    7500;   4.181;     5;     0
 19540221;    7000;   3.902;     5;     0
 19540222;    6500;   3.623;     5;     0
 19540223;    6000;   3.345;     5;     0
 19540224;    6000;   3.345;     5;     1
 19540225;    5000;   2.787;     5;     1
 19540226;    5000;   2.787;     5;     1
 19540227;    5000;   2.787;     5;     1
 19540228;    6000;   3.345;     5;     1
 19540301;    5500;   3.066;     9;     1
 19540302;    5200;   2.899;     9;     1
 19540303;    5000;   2.787;     9;     1
 19540304;    5000;   2.787;     9;     1
 19540305;    4800;   2.676;     9;     1
 19540306;    4600;   2.564;     9;     1
 19540307;    4200;   2.341;     9;     1
 19540308;    4400;   2.453;     9;     1
 19540309;    4400;   2.453;     9;     1
 19540310;    4400;   2.453;     9;     1
 19540311;    4200;   2.341;     9;     1
 19540312;   27000;  15.051;     9;     1
 19540313;   60000;  33.447;     9;     1
 19540314;   44000;  24.528;     9;     1
 19540315;   23000;  12.821;     9;     1
 19540316;   15000;   8.362;     9;     1
 19540317;   25000;  13.936;     9;     1
 19540318;   64000;  35.677;     9;     1
 19540319;   45000;  25.085;     9;     1
 19540320;   31000;  17.281;     9;     1
 19540321;   30000;  16.724;     9;     1
 19540322;   23000;  12.821;     9;     1
 19540323;   33000;  18.396;     9;     1
 19540324;   27000;  15.051;     9;     1
 19540325;   20000;  11.149;     9;     1
 19540326;   16700;   9.310;     9;     1
 19540327;   14000;   7.804;     9;     1
 19540328;   12500;   6.968;     9;     1
 19540329;   11100;   6.188;     9;     1
 19540330;    9700;   5.407;     9;     1
 19540331;    9000;   5.017;     9;     1
 19540401;    8200;   4.571;     9;     1
 19540402;    7600;   4.237;     9;     1
 19540403;    7100;   3.958;     9;     1
 19540404;    6800;   3.791;     9;     1
 19540405;    6500;   3.623;     9;     1
 19540406;    6000;   3.345;     9;     1
 19540407;    5700;   3.177;     9;     1
 19540408;    5500;   3.066;     9;     1
 19540409;    5200;   2.899;     9;     0
 19540410;    5000;   2.787;     9;     0
 19540411;    4800;   2.676;     9;     0
 19540412;    4600;   2.564;     9;     0
 19540413;    4400;   2.453;     9;     0
 19540414;    4200;   2.341;     9;     0
 19540415;    4000;   2.230;     9;     0
 19540416;    4000;   2.230;     9;     1
 19540417;    4000;   2.230;     9;     1
 19540418;    3800;   2.118;     9;     1
 19540419;    3700;   2.063;     9;     1
 19540420;    3500;   1.951;     9;     1
 19540421;    3300;   1.840;     9;     1
 19540422;    3300;   1.840;     9;     1
 19540423;    3100;   1.728;     9;     1
 19540424;    3100;   1.728;     9;     1
 19540425;    2980;   1.661;     9;     1
 19540426;    2980;   1.661;     9;     1
 19540427;    3200;   1.784;     9;     1
 19540428;    3200;   1.784;     9;     1
 19540429;    3500;   1.951;     9;     1
 19540430;    3700;   2.063;     9;     1
 19540501;    3300;   1.840;     9;     1
 19540502;    3300;   1.840;     9;     1
 19540503;    3100;   1.728;     9;     1
 19540504;    3000;   1.672;     9;     1
 19540505;    3300;   1.840;     9;     1
 19540506;    3100;   1.728;     9;     1
 19540507;    3000;   1.672;     9;     1
 19540508;    2800;   1.561;     9;     1
 19540509;    2600;   1.449;     9;     1
 19540510;    2800;   1.561;     9;     1
 19540511;    3100;   1.728;     9;     1
 19540512;    2600;   1.449;     9;     1
 19540513;    2300;   1.282;     9;     1
 19540514;    2500;   1.394;     9;     1
 19540515;    3500;   1.951;     9;     1
 19540516;    6250;   3.484;     9;     1
 19540517;   11800;   6.578;     9;     1
 19540518;   13600;   7.581;     9;     1
 19540519;   10800;   6.021;     9;     1
 19540520;    8700;   4.850;     9;     1
 19540521;    7070;   3.941;     9;     1
 19540522;    6250;   3.484;     9;     1
 19540523;    5250;   2.927;     9;     1
 19540524;    4600;   2.564;     9;     1
 19540525;    4400;   2.453;     9;     1
 19540526;    4200;   2.341;     9;     1
 19540527;    3700;   2.063;     9;     1
 19540528;    3300;   1.840;     9;     1
 19540529;    3000;   1.672;     9;     1
 19540530;    2800;   1.561;     9;     1
 19540531;    2600;   1.449;     9;     1
 19540601;    2640;   1.472;     9;     1
 19540602;    2810;   1.566;     9;     1
 19540603;    2810;   1.566;     9;     1
 19540604;    3320;   1.851;     9;     1
 19540605;    3000;   1.672;     9;     1
 19540606;    2800;   1.561;     9;     1
 19540607;    2600;   1.449;     9;     1
 19540608;    2600;   1.449;     9;     1
 19540609;    3000;   1.672;     9;     1
 19540610;    3100;   1.728;     9;     1
 19540611;    2800;   1.561;     9;     1
 19540612;    2500;   1.394;     9;     1
 19540613;    2300;   1.282;     9;     1
 19540614;    2200;   1.226;     9;     1
 19540615;    2200;   1.226;     9;     1
 19540616;    1940;   1.081;     9;     1
 19540617;    1700;   0.948;     9;     1
 19540618;    1700;   0.948;     9;     1
 19540619;    1500;   0.836;     9;     1
 19540620;    1500;   0.836;     9;     1
 19540621;    1340;   0.747;     9;     1
 19540622;    1820;   1.015;     9;     1
 19540623;    1920;   1.070;     9;     1
 19540624;    1800;   1.003;     9;     1
 19540625;    1700;   0.948;     9;     1
 19540626;    1460;   0.814;     9;     1
 19540627;    1460;   0.814;     9;     1
 19540628;    1340;   0.747;     9;     1
 19540629;    1340;   0.747;     9;     1
 19540630;    1340;   0.747;     9;     1
 19540701;    1030;   0.574;     9;     1
 19540702;     960;   0.535;     9;     1
 19540703;    1100;   0.613;     9;     1
 19540704;    1220;   0.680;     9;     1
 19540705;    1100;   0.613;     9;     1
 19540706;    1030;   0.574;     9;     1
 19540707;    1030;   0.574;     9;     1
 19540708;     960;   0.535;     9;     1
 19540709;     960;   0.535;     9;     1
 19540710;    1030;   0.574;     9;     1
 19540711;    1030;   0.574;     9;     1
 19540712;    2180;   1.215;     9;     1
 19540713;    1820;   1.015;     9;     1
 19540714;    1600;   0.892;     9;     1
 19540715;    1460;   0.814;     9;     1
 19540716;    1340;   0.747;     9;     1
 19540717;    1220;   0.680;     9;     1
 19540718;    1220;   0.680;     9;     1
 19540719;    1100;   0.613;     9;     1
 19540720;    1030;   0.574;     9;     1
 19540721;     890;   0.496;     9;     1
 19540722;     820;   0.457;     9;     1
 19540723;     820;   0.457;     9;     1
 19540724;     890;   0.496;     9;     1
 19540725;     820;   0.457;     9;     1
 19540726;     820;   0.457;     9;     1
 19540727;     820;   0.457;     9;     1
 19540728;     750;   0.418;     9;     1
 19540729;     680;   0.379;     9;     1
 19540730;     750;   0.418;     9;     1
 19540731;     750;   0.418;     9;     1
 19540801;     680;   0.379;     9;     1
 19540802;     750;   0.418;     9;     1
 19540803;     680;   0.379;     9;     1
 19540804;     680;   0.379;     9;     1
 19540805;     610;   0.340;     9;     1
 19540806;     680;   0.379;     9;     1
 19540807;     610;   0.340;     9;     1
 19540808;     610;   0.340;     9;     1
 19540809;     750;   0.418;     9;     1
 19540810;     610;   0.340;     9;     1
 19540811;     540;   0.301;     9;     1
 19540812;     540;   0.301;     9;     1
 19540813;     610;   0.340;     9;     1
 19540814;     890;   0.496;     9;     1
 19540815;    1030;   0.574;     9;     1
 19540816;     890;   0.496;     9;     1
 19540817;     820;   0.457;     9;     1
 19540818;     820;   0.457;     9;     1
 19540819;     820;   0.457;     9;     1
 19540820;    1460;   0.814;     9;     1
 19540821;    1600;   0.892;     9;     1
 19540822;    1700;   0.948;     9;     1
 19540823;    1220;   0.680;     9;     1
 19540824;    1030;   0.574;     9;     1
 19540825;     960;   0.535;     9;     1
 19540826;     960;   0.535;     9;     1
 19540827;     960;   0.535;     9;     1
 19540828;     890;   0.496;     9;     1
 19540829;     890;   0.496;     9;     1
 19540830;     750;   0.418;     9;     1
 19540831;     680;   0.379;     9;     1
 19540901;     680;   0.379;     9;     1
 19540902;     610;   0.340;     9;     1
 19540903;     610;   0.340;     9;     1
 19540904;     610;   0.340;     9;     1
 19540905;     750;   0.418;     9;     1
 19540906;     680;   0.379;     9;     1
