## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:12:29
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y2035010
## Nom station                      : La Vis à Saint-Laurent-le-Minier
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      754734 ;    6315880 ;      754735 ;    6315873 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      708111 ;    1882957 ;      708113 ;    1882949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :      3.6817 ;    43.9398 ;     3.68172 ;   43.93973 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      499.00 ;     503.25 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :    149.0000 ;   162.0938 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.8 [%]
## Débits disponibles               :  1961-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610101;    6170;   1.059;     9;     0
 19610102;    6170;   1.059;     9;     0
 19610103;    6170;   1.059;     9;     0
 19610104;    6170;   1.059;     9;     0
 19610105;    6170;   1.059;     9;     0
 19610106;    6170;   1.059;     9;     0
 19610107;    6170;   1.059;     9;     0
 19610108;    6220;   1.068;     9;     1
 19610109;    6740;   1.157;     9;     1
 19610110;    6820;   1.171;     9;     1
 19610111;    6770;   1.162;     9;     1
 19610112;    6580;   1.130;     9;     1
 19610113;    6310;   1.083;     9;     1
 19610114;    6090;   1.046;     9;     1
 19610115;    6170;   1.059;     9;     1
 19610116;    6170;   1.059;     9;     1
 19610117;    6170;   1.059;     9;     1
 19610118;    6120;   1.051;     9;     1
 19610119;    6080;   1.044;     9;     1
 19610120;    5950;   1.022;     9;     1
 19610121;    5970;   1.025;     9;     1
 19610122;   13200;   2.266;     9;     1
 19610123;   53600;   9.202;     9;     1
 19610124;   20500;   3.520;     9;     1
 19610125;   13900;   2.386;     9;     1
 19610126;   10600;   1.820;     9;     1
 19610127;    9140;   1.569;     9;     1
 19610128;    7810;   1.341;     9;     1
 19610129;    7010;   1.204;     9;     1
 19610130;    6800;   1.167;     9;     1
 19610131;    6660;   1.143;     9;     1
 19610201;    6640;   1.140;     9;     1
 19610202;    6660;   1.143;     9;     1
 19610203;   10000;   1.717;     9;     1
 19610204;   15500;   2.661;     9;     1
 19610205;   12100;   2.077;     9;     1
 19610206;    9960;   1.710;     9;     1
 19610207;    8390;   1.440;     9;     1
 19610208;    6720;   1.154;     9;     1
 19610209;    6310;   1.083;     9;     1
 19610210;    6290;   1.080;     9;     0
 19610211;    6290;   1.080;     9;     0
 19610212;    6290;   1.080;     9;     0
 19610213;    6290;   1.080;     9;     0
 19610214;    6290;   1.080;     9;     0
 19610215;    6150;   1.056;     9;     1
 19610216;    5980;   1.027;     9;     1
 19610217;    5860;   1.006;     9;     1
 19610218;    5720;   0.982;     9;     1
 19610219;    5700;   0.979;     9;     1
 19610220;    5700;   0.979;     9;     1
 19610221;    5700;   0.979;     9;     1
 19610222;    5700;   0.979;     9;     1
 19610223;    5280;   0.906;     9;     1
 19610224;    5490;   0.943;     9;     1
 19610225;    5330;   0.915;     9;     1
 19610226;    5140;   0.882;     9;     1
 19610227;    4910;   0.843;     9;     1
 19610228;    4860;   0.834;     9;     0
 19610301;    4860;   0.834;     9;     0
 19610302;    4860;   0.834;     9;     0
 19610303;    4860;   0.834;     9;     0
 19610304;    4860;   0.834;     9;     0
 19610305;    4860;   0.834;     9;     0
 19610306;    4890;   0.840;     9;     1
 19610307;    4680;   0.803;     9;     1
 19610308;    4650;   0.798;     9;     1
 19610309;    4600;   0.790;     9;     1
 19610310;    4860;   0.834;     9;     1
 19610311;    4650;   0.798;     9;     1
 19610312;    4370;   0.750;     9;     1
 19610313;    4060;   0.697;     9;     1
 19610314;     -99; -99.000;   -99;   -99
 19610315;     -99; -99.000;   -99;   -99
 19610316;     -99; -99.000;   -99;   -99
 19610317;     -99; -99.000;   -99;   -99
 19610318;     -99; -99.000;   -99;   -99
 19610319;     -99; -99.000;   -99;   -99
 19610320;     -99; -99.000;   -99;   -99
 19610321;     -99; -99.000;   -99;   -99
 19610322;    3560;   0.611;     9;     1
 19610323;    3600;   0.618;     9;     1
 19610324;    3500;   0.601;     9;     1
