## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:12:37
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Languedoc-Roussillon
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y2214010
## Nom station                      : La Lergue à Lodève
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      726089 ;    6292189 ;      726065 ;    6292240 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      679638 ;    1858999 ;      679613 ;    1859049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.32374 ;   43.72825 ;     3.32343 ;   43.72870 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      228.00 ;     180.75 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         153 ;        160 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     3.9 [%]
## Débits disponibles               :  1959-09-17 ; 2021-02-07 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19590917;    5600;   2.677;     9;     1
 19590918;    2400;   1.147;     9;     1
 19590919;    2080;   0.994;     9;     1
 19590920;    1950;   0.932;     9;     1
 19590921;    1740;   0.832;     9;     1
 19590922;    1600;   0.765;     9;     1
 19590923;    1600;   0.765;     9;     1
 19590924;    1540;   0.736;     9;     1
 19590925;    1400;   0.669;     9;     1
 19590926;    1300;   0.621;     9;     1
 19590927;    1300;   0.621;     9;     1
 19590928;    1200;   0.574;     9;     1
 19590929;    1300;   0.621;     9;     1
 19590930;    1300;   0.621;     9;     1
 19591001;    1200;   0.574;     9;     1
 19591002;    1200;   0.574;     9;     1
 19591003;    1200;   0.574;     9;     1
 19591004;    1200;   0.574;     9;     1
 19591005;    1600;   0.765;     9;     1
 19591006;    1740;   0.832;     9;     1
 19591007;    1850;   0.884;     9;     1
 19591008;    2300;   1.099;     9;     1
 19591009;    2300;   1.099;     9;     1
 19591010;    4850;   2.318;     9;     1
 19591011;    5980;   2.858;     9;     1
 19591012;    3200;   1.530;     9;     1
 19591013;    2180;   1.042;     9;     1
 19591014;    1730;   0.827;     9;     1
 19591015;    1730;   0.827;     9;     1
 19591016;    1950;   0.932;     9;     1
 19591017;    8850;   4.230;     9;     1
 19591018;   76800;  36.711;     9;     1
 19591019;   22800;  10.899;     9;     1
 19591020;   15200;   7.266;     9;     1
 19591021;   10400;   4.971;     9;     1
 19591022;    8000;   3.824;     9;     1
 19591023;    6350;   3.035;     9;     1
 19591024;    5580;   2.667;     9;     1
 19591025;    4820;   2.304;     9;     1
 19591026;    4450;   2.127;     9;     1
 19591027;    4450;   2.127;     9;     1
 19591028;    4140;   1.979;     9;     1
 19591029;    3800;   1.816;     9;     1
 19591030;    3500;   1.673;     9;     1
 19591031;    3200;   1.530;     9;     1
 19591101;    2960;   1.415;     9;     1
 19591102;    2720;   1.300;     9;     1
 19591103;    2720;   1.300;     9;     1
 19591104;    2530;   1.209;     9;     1
 19591105;    2400;   1.147;     9;     1
 19591106;    2400;   1.147;     9;     1
 19591107;    2300;   1.099;     9;     1
 19591108;    2180;   1.042;     9;     1
 19591109;    2080;   0.994;     9;     1
 19591110;    2080;   0.994;     9;     1
 19591111;    2080;   0.994;     9;     1
 19591112;    1950;   0.932;     9;     1
 19591113;    1850;   0.884;     9;     1
 19591114;    1850;   0.884;     9;     1
 19591115;    1850;   0.884;     9;     1
 19591116;    1950;   0.932;     9;     1
 19591117;    5580;   2.667;     9;     1
 19591118;   14400;   6.883;     9;     1
 19591119;    6960;   3.327;     9;     1
 19591120;    5200;   2.486;     9;     1
 19591121;    4140;   1.979;     9;     1
 19591122;    3500;   1.673;     9;     1
 19591123;    2960;   1.415;     9;     1
 19591124;    1400;   0.669;     9;     1
 19591125;    1950;   0.932;     9;     1
 19591126;    1120;   0.535;     9;     1
 19591127;    2300;   1.099;     9;     1
 19591128;    7600;   3.633;     9;     1
 19591129;    4150;   1.984;     9;     1
 19591130;    2720;   1.300;     9;     1
 19591201;   29200;  13.958;     9;     1
 19591202;   24000;  11.472;     9;     1
 19591203;   12800;   6.119;     9;     1
 19591204;    9300;   4.445;     9;     1
 19591205;    7600;   3.633;     9;     1
 19591206;    6350;   3.035;     9;     1
 19591207;   16800;   8.031;     9;     1
 19591208;   14200;   6.788;     9;     1
