## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:13:16
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y4002010
## Nom station                      : L'Arc à Pourrières
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      920621 ;    6269157 ;      920664 ;    6269204 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      874570 ;    1837602 ;      874613 ;    1837649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.72668 ;   43.48722 ;     5.72724 ;   43.48762 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       49.00 ;      49.74 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         246 ;        252 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.3 [%]
## Débits disponibles               :  1963-06-01 ; 2012-06-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      06/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19630601;      56;   0.097;     9;     1
 19630602;      53;   0.092;     9;     1
 19630603;      50;   0.087;     9;     1
 19630604;      47;   0.082;     9;     1
 19630605;      50;   0.087;     9;     1
 19630606;     171;   0.297;     9;     1
 19630607;      82;   0.142;     9;     1
 19630608;      63;   0.109;     9;     1
 19630609;      43;   0.075;     9;     1
 19630610;      57;   0.099;     9;     1
 19630611;      63;   0.109;     9;     1
 19630612;      41;   0.071;     9;     1
 19630613;      39;   0.068;     9;     1
 19630614;      37;   0.064;     9;     1
 19630615;      48;   0.083;     9;     1
 19630616;      50;   0.087;     9;     1
 19630617;      43;   0.075;     9;     1
 19630618;      40;   0.069;     9;     1
 19630619;      38;   0.066;     9;     1
 19630620;      32;   0.056;     9;     1
 19630621;      56;   0.097;     9;     1
 19630622;      54;   0.094;     9;     1
 19630623;      51;   0.089;     9;     1
 19630624;      49;   0.085;     9;     1
 19630625;      46;   0.080;     9;     1
 19630626;      44;   0.076;     9;     1
 19630627;      41;   0.071;     9;     1
 19630628;      36;   0.063;     9;     1
 19630629;      30;   0.052;     9;     1
 19630630;      24;   0.042;     9;     1
 19630701;      20;   0.035;     9;     1
 19630702;      17;   0.030;     9;     1
 19630703;      13;   0.023;     9;     1
 19630704;      11;   0.019;     9;     1
 19630705;      10;   0.017;     9;     1
 19630706;       7;   0.012;     9;     1
 19630707;       9;   0.016;     9;     1
 19630708;       9;   0.016;     9;     1
 19630709;       7;   0.012;     9;     1
 19630710;       6;   0.010;     9;     1
 19630711;       5;   0.009;     9;     0
 19630712;       5;   0.009;     9;     0
 19630713;       5;   0.009;     9;     0
 19630714;       5;   0.009;     9;     0
 19630715;       5;   0.009;     9;     0
 19630716;       4;   0.007;     9;     1
 19630717;       3;   0.005;     9;     1
 19630718;      25;   0.043;     9;     1
 19630719;      21;   0.036;     9;     1
 19630720;      10;   0.017;     9;     1
 19630721;      14;   0.024;     9;     1
 19630722;      14;   0.024;     9;     1
 19630723;      14;   0.024;     9;     1
 19630724;       6;   0.010;     9;     1
 19630725;       1;   0.002;     9;     1
 19630726;       1;   0.002;     9;     1
 19630727;       0;   0.000;     9;     1
 19630728;       0;   0.000;     9;     1
 19630729;       0;   0.000;     9;     1
 19630730;       2;   0.003;     9;     1
 19630731;       4;   0.007;     9;     1
 19630801;       5;   0.009;     9;     1
 19630802;       6;   0.010;     9;     1
 19630803;       5;   0.009;     9;     1
 19630804;       3;   0.005;     9;     1
 19630805;       2;   0.003;     9;     0
 19630806;       2;   0.003;     9;     0
 19630807;       2;   0.003;     9;     0
 19630808;       2;   0.003;     9;     0
 19630809;       2;   0.003;     9;     0
 19630810;       2;   0.003;     9;     0
 19630811;       2;   0.003;     9;     0
 19630812;       2;   0.003;     9;     0
 19630813;       3;   0.005;     9;     1
 19630814;       6;   0.010;     9;     1
 19630815;      11;   0.019;     9;     1
 19630816;       7;   0.012;     9;     1
 19630817;      24;   0.042;     9;     1
 19630818;      12;   0.021;     9;     1
 19630819;       7;   0.012;     9;     1
 19630820;       4;   0.007;     9;     1
 19630821;       3;   0.005;     9;     1
 19630822;       2;   0.003;     9;     0
 19630823;       2;   0.003;     9;     0
 19630824;       2;   0.003;     9;     0
 19630825;       2;   0.003;     9;     0
 19630826;       2;   0.003;     9;     0
