## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:13:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y4615020
## Nom station                      : Le Réal Martin à la Crau [Decapris]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      953070 ;    6236914 ;      953052 ;    6236959 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      907332 ;    1805604 ;      907313 ;    1805649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.11164 ;   43.18657 ;     6.11144 ;   43.18698 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      277.00 ;     283.58 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          27 ;         34 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1965-07-02 ; 2021-01-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650702;     120;   0.037;     8;     0
 19650703;     120;   0.037;     8;     0
 19650704;     120;   0.037;     8;     0
 19650705;     120;   0.037;     8;     0
 19650706;     120;   0.037;     8;     0
 19650707;     120;   0.037;     8;     0
 19650708;     120;   0.037;     8;     0
 19650709;     120;   0.037;     8;     0
 19650710;     120;   0.037;     8;     0
 19650711;     120;   0.037;     8;     0
 19650712;     120;   0.037;     8;     0
 19650713;     120;   0.037;     9;     0
 19650714;     120;   0.037;     9;     0
 19650715;     120;   0.037;     9;     0
 19650716;     230;   0.070;     9;     1
 19650717;     200;   0.061;     9;     1
 19650718;     190;   0.058;     9;     1
 19650719;     160;   0.049;     9;     1
 19650720;    3990;   1.216;     9;     1
 19650721;     960;   0.292;     9;     1
 19650722;     490;   0.149;     9;     1
 19650723;     460;   0.140;     9;     1
 19650724;     390;   0.119;     9;     1
 19650725;     340;   0.104;     9;     1
 19650726;     300;   0.091;     9;     1
 19650727;     300;   0.091;     9;     1
 19650728;     300;   0.091;     9;     1
 19650729;     230;   0.070;     9;     1
 19650730;     180;   0.055;     9;     1
 19650731;     140;   0.043;     9;     1
 19650801;     120;   0.037;     9;     1
 19650802;     110;   0.034;     9;     1
 19650803;     110;   0.034;     9;     1
 19650804;     110;   0.034;     9;     1
 19650805;     120;   0.037;     9;     0
 19650806;     120;   0.037;     9;     0
 19650807;     120;   0.037;     9;     0
 19650808;     120;   0.037;     9;     0
 19650809;     120;   0.037;     9;     0
 19650810;     140;   0.043;     9;     1
 19650811;     140;   0.043;     9;     1
 19650812;     140;   0.043;     9;     1
 19650813;     120;   0.037;     9;     0
 19650814;     120;   0.037;     9;     0
 19650815;     120;   0.037;     9;     0
 19650816;     120;   0.037;     9;     0
 19650817;     120;   0.037;     9;     0
 19650818;     180;   0.055;     9;     1
 19650819;     190;   0.058;     9;     1
 19650820;     160;   0.049;     9;     1
 19650821;     140;   0.043;     9;     1
 19650822;    4730;   1.441;     8;     1
 19650823;    1770;   0.539;     9;     1
 19650824;     870;   0.265;     9;     1
 19650825;     680;   0.207;     9;     1
 19650826;     560;   0.171;     9;     1
 19650827;     460;   0.140;     9;     1
 19650828;     390;   0.119;     9;     1
 19650829;     390;   0.119;     9;     1
 19650830;     340;   0.104;     9;     1
 19650831;     340;   0.104;     9;     1
 19650901;     340;   0.104;     9;     1
 19650902;     340;   0.104;     9;     1
 19650903;     390;   0.119;     9;     1
 19650904;     380;   0.116;     9;     1
 19650905;    1070;   0.326;     9;     1
 19650906;     640;   0.195;     9;     1
 19650907;     440;   0.134;     9;     1
 19650908;     440;   0.134;     9;     1
 19650909;     440;   0.134;     9;     1
 19650910;     440;   0.134;     9;     1
 19650911;     390;   0.119;     9;     1
 19650912;     340;   0.104;     9;     1
 19650913;     300;   0.091;     9;     1
 19650914;     260;   0.079;     9;     1
 19650915;     260;   0.079;     9;     1
 19650916;     220;   0.067;     9;     1
 19650917;     220;   0.067;     9;     1
 19650918;     220;   0.067;     9;     1
 19650919;     260;   0.079;     9;     1
 19650920;     260;   0.079;     9;     1
 19650921;     260;   0.079;     9;     1
 19650922;     260;   0.079;     9;     1
 19650923;     220;   0.067;     9;     1
 19650924;     220;   0.067;     9;     1
 19650925;     260;   0.079;     9;     1
 19650926;    1200;   0.366;     5;     1
