## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:13:45
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y4624010
## Nom station                      : Le Gapeau à Hyères [Sainte-Eulalie]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      956341 ;    6232654 ;      956311 ;    6232636 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      910643 ;    1801368 ;      910613 ;    1801349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.14973 ;   43.14712 ;     6.14935 ;   43.14696 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      517.00 ;     535.86 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :           9 ;         11 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     5.3 [%]
## Débits disponibles               :  1961-01-04 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/0 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610104;    9500;   1.532;     9;     1
 19610105;    8750;   1.411;     9;     1
 19610106;    8000;   1.290;     9;     1
 19610107;    7500;   1.209;     9;     1
 19610108;    7100;   1.145;     9;     1
 19610109;    6750;   1.088;     9;     1
 19610110;    6500;   1.048;     9;     1
 19610111;    7000;   1.129;     9;     1
 19610112;    6500;   1.048;     9;     1
 19610113;    6100;   0.984;     9;     1
 19610114;    6000;   0.967;     9;     1
 19610115;    5800;   0.935;     9;     1
 19610116;    5600;   0.903;     9;     1
 19610117;    5400;   0.871;     9;     1
 19610118;    4900;   0.790;     9;     1
 19610119;    4700;   0.758;     9;     1
 19610120;    4500;   0.726;     9;     1
 19610121;    4250;   0.685;     5;     1
 19610122;    1670;   0.269;     5;     1
 19610123;    7000;   1.129;     5;     1
 19610124;    6500;   1.048;     9;     1
 19610125;    6200;   1.000;     9;     1
 19610126;    5900;   0.951;     9;     1
 19610127;    5500;   0.887;     9;     1
 19610128;    5000;   0.806;     9;     1
 19610129;    4800;   0.774;     9;     1
 19610130;    4600;   0.742;     9;     1
 19610131;    4400;   0.709;     9;     1
 19610201;    4250;   0.685;     9;     1
 19610202;    4000;   0.645;     9;     1
 19610203;    4500;   0.726;     9;     1
 19610204;    3400;   0.548;     9;     1
 19610205;    3250;   0.524;     9;     1
 19610206;    3000;   0.484;     9;     1
 19610207;    2900;   0.468;     9;     1
 19610208;    2750;   0.443;     9;     0
 19610209;    2750;   0.443;     9;     0
 19610210;    2750;   0.443;     9;     0
 19610211;    2750;   0.443;     9;     0
 19610212;    2750;   0.443;     9;     0
 19610213;    2750;   0.443;     9;     0
 19610214;    2750;   0.443;     9;     0
 19610215;    2750;   0.443;     9;     0
 19610216;    2750;   0.443;     9;     0
 19610217;    2750;   0.443;     9;     0
 19610218;    2750;   0.443;     9;     0
 19610219;    2750;   0.443;     9;     0
 19610220;    2750;   0.443;     9;     0
 19610221;    2750;   0.443;     9;     0
 19610222;    2750;   0.443;     9;     0
 19610223;    2750;   0.443;     9;     0
 19610224;    3100;   0.500;     9;     0
 19610225;    3100;   0.500;     9;     0
 19610226;    3100;   0.500;     9;     0
 19610227;    3100;   0.500;     9;     0
 19610228;    3100;   0.500;     9;     0
 19610301;    3100;   0.500;     9;     0
 19610302;    3100;   0.500;     9;     0
 19610303;    3100;   0.500;     9;     0
 19610304;    3100;   0.500;     9;     0
 19610305;    3100;   0.500;     9;     0
 19610306;    3100;   0.500;     9;     0
 19610307;    3100;   0.500;     9;     0
 19610308;    3100;   0.500;     9;     0
 19610309;    3100;   0.500;     9;     0
 19610310;    3100;   0.500;     9;     0
 19610311;    3100;   0.500;     9;     0
 19610312;    3100;   0.500;     9;     0
 19610313;    3100;   0.500;     9;     0
 19610314;    3100;   0.500;     9;     0
 19610315;    3100;   0.500;     9;     0
 19610316;    3100;   0.500;     9;     0
 19610317;    3100;   0.500;     9;     0
 19610318;    3100;   0.500;     9;     0
 19610319;    3100;   0.500;     9;     0
 19610320;    3100;   0.500;     9;     0
 19610321;    3100;   0.500;     9;     0
 19610322;    3100;   0.500;     9;     0
 19610323;    3100;   0.500;     9;     0
 19610324;    3050;   0.492;     9;     1
 19610325;    2900;   0.468;     9;     0
 19610326;    2900;   0.468;     9;     0
 19610327;    2900;   0.468;     9;     0
