## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:13:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y5215020
## Nom station                      : L'Aille à Vidauban [Le Baou]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      979861 ;    6261276 ;      979832 ;    6261202 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      933941 ;    1830224 ;      933913 ;    1830149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.45374 ;   43.39552 ;     6.45335 ;   43.39486 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      229.00 ;     229.32 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          41 ;         46 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     6.2 [%]
## Débits disponibles               :  1968-09-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680901;       0;   0.000;     9;     1
 19680902;       0;   0.000;     9;     1
 19680903;    8600;   3.240;     9;     1
 19680904;     350;   0.132;     9;     1
 19680905;     226;   0.085;     9;     1
 19680906;     200;   0.075;     9;     1
 19680907;     200;   0.075;     9;     1
 19680908;     200;   0.075;     9;     1
 19680909;     183;   0.069;     9;     1
 19680910;     180;   0.068;     9;     1
 19680911;     180;   0.068;     9;     1
 19680912;     178;   0.067;     9;     1
 19680913;    1520;   0.573;     9;     1
 19680914;   22100;   8.327;     9;     1
 19680915;   35700;  13.451;     9;     1
 19680916;    6150;   2.317;     9;     1
 19680917;    2500;   0.942;     9;     1
 19680918;    1270;   0.478;     9;     1
 19680919;     845;   0.318;     9;     1
 19680920;     645;   0.243;     9;     1
 19680921;     525;   0.198;     9;     1
 19680922;     420;   0.158;     9;     1
 19680923;     345;   0.130;     9;     1
 19680924;     345;   0.130;     9;     1
 19680925;     340;   0.128;     9;     1
 19680926;     340;   0.128;     9;     1
 19680927;     283;   0.107;     9;     1
 19680928;     283;   0.107;     9;     1
 19680929;     283;   0.107;     9;     1
 19680930;     280;   0.105;     9;     1
 19681001;     258;   0.097;     9;     1
 19681002;     258;   0.097;     9;     1
 19681003;     258;   0.097;     9;     1
 19681004;     220;   0.083;     9;     1
 19681005;     230;   0.087;     9;     1
 19681006;     230;   0.087;     9;     1
 19681007;     230;   0.087;     9;     1
 19681008;     236;   0.089;     9;     1
 19681009;    1080;   0.407;     9;     1
 19681010;     294;   0.111;     9;     1
 19681011;     258;   0.097;     9;     1
 19681012;     250;   0.094;     9;     1
 19681013;     244;   0.092;     9;     1
 19681014;     241;   0.091;     9;     1
 19681015;     236;   0.089;     9;     1
 19681016;     229;   0.086;     9;     1
 19681017;     225;   0.085;     9;     1
 19681018;     222;   0.084;     9;     1
 19681019;     221;   0.083;     9;     1
 19681020;     221;   0.083;     9;     1
 19681021;     220;   0.083;     9;     1
 19681022;     218;   0.082;     9;     1
 19681023;     219;   0.083;     9;     1
 19681024;     220;   0.083;     9;     1
 19681025;   16900;   6.367;     9;     1
 19681026;    2020;   0.761;     9;     1
 19681027;     955;   0.360;     9;     1
 19681028;     865;   0.326;     9;     1
 19681029;     655;   0.247;     9;     1
 19681030;     555;   0.209;     9;     1
 19681031;     465;   0.175;     9;     1
 19681101;     427;   0.161;     9;     1
 19681102;     895;   0.337;     9;     1
 19681103;    3510;   1.322;     9;     1
 19681104;    4770;   1.797;     9;     1
 19681105;    2350;   0.885;     9;     1
 19681106;    1040;   0.392;     9;     1
 19681107;     840;   0.316;     9;     1
 19681108;   17100;   6.443;     9;     1
 19681109;   12200;   4.597;     9;     1
 19681110;    5250;   1.978;     9;     1
 19681111;    3670;   1.383;     9;     1
 19681112;    3080;   1.160;     9;     1
 19681113;    2070;   0.780;     9;     1
 19681114;    1750;   0.659;     9;     1
 19681115;    1290;   0.486;     9;     1
 19681116;    8350;   3.146;     9;     1
 19681117;   11200;   4.220;     9;     1
 19681118;    4950;   1.865;     9;     1
 19681119;    3390;   1.277;     9;     1
 19681120;    2520;   0.949;     9;     1
 19681121;    2070;   0.780;     9;     1
 19681122;    1260;   0.475;     9;     1
 19681123;    1210;   0.456;     9;     1
 19681124;    1040;   0.392;     9;     1
 19681125;     900;   0.339;     9;     1
