## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:14:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y6042010
## Nom station                      : Le Var à Entrevaux [Pont-Levis]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1005749 ;    6324084 ;     1005749 ;    6324112 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      959313 ;    1893321 ;      959313 ;    1893349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.81013 ;   43.94936 ;     6.81015 ;   43.94961 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      676.00 ;     675.19 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         465 ;        474 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    27.5 [%]
## Débits disponibles               :  1920-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19200101;    6200;   0.793;     9;     1
 19200102;    6000;   0.768;     9;     1
 19200103;    5800;   0.742;     9;     1
 19200104;    7000;   0.896;     9;     1
 19200105;   20500;   2.623;     9;     1
 19200106;   42000;   5.374;     9;     1
 19200107;   18800;   2.406;     9;     1
 19200108;   14700;   1.881;     9;     1
 19200109;   11500;   1.472;     9;     1
 19200110;   10800;   1.382;     9;     1
 19200111;   18000;   2.303;     9;     1
 19200112;   39000;   4.991;     9;     1
 19200113;   30500;   3.903;     9;     1
 19200114;   24000;   3.071;     9;     1
 19200115;   19700;   2.521;     9;     1
 19200116;   17600;   2.252;     9;     1
 19200117;   16700;   2.137;     9;     1
 19200118;   16300;   2.086;     9;     1
 19200119;   15500;   1.983;     9;     1
 19200120;   14700;   1.881;     9;     1
 19200121;   13500;   1.728;     9;     1
 19200122;   13100;   1.676;     9;     1
 19200123;   12300;   1.574;     9;     1
 19200124;   12300;   1.574;     9;     1
 19200125;   12300;   1.574;     9;     1
 19200126;   11500;   1.472;     9;     1
 19200127;   11500;   1.472;     9;     1
 19200128;   11500;   1.472;     9;     1
 19200129;   11500;   1.472;     9;     1
 19200130;   11200;   1.433;     9;     1
 19200131;   11200;   1.433;     9;     1
 19200201;   10800;   1.382;     9;     1
 19200202;   10800;   1.382;     9;     1
 19200203;   10500;   1.344;     9;     1
 19200204;   10500;   1.344;     9;     1
 19200205;   10100;   1.292;     9;     1
 19200206;    9800;   1.254;     9;     1
 19200207;    9500;   1.216;     9;     1
 19200208;    9200;   1.177;     9;     1
 19200209;    9200;   1.177;     9;     1
 19200210;    8900;   1.139;     9;     1
 19200211;    8900;   1.139;     9;     1
 19200212;    8600;   1.100;     9;     1
 19200213;    8600;   1.100;     9;     1
 19200214;   11200;   1.433;     9;     1
 19200215;   11500;   1.472;     9;     0
 19200216;   11900;   1.523;     9;     0
 19200217;   12300;   1.574;     9;     0
 19200218;   12700;   1.625;     9;     0
 19200219;   13100;   1.676;     9;     0
 19200220;   13100;   1.676;     9;     1
 19200221;   14700;   1.881;     9;     1
 19200222;   14700;   1.881;     9;     1
 19200223;   14300;   1.830;     9;     0
 19200224;   14300;   1.830;     9;     0
 19200225;   14300;   1.830;     9;     0
 19200226;   14300;   1.830;     9;     0
 19200227;   14300;   1.830;     9;     0
 19200228;   14300;   1.830;     9;     0
 19200229;   14700;   1.881;     9;     0
 19200301;   15100;   1.932;     9;     0
 19200302;   15500;   1.983;     9;     0
 19200303;   15900;   2.035;     9;     0
 19200304;   16300;   2.086;     9;     0
 19200305;   16700;   2.137;     9;     0
 19200306;   17100;   2.188;     9;     0
 19200307;   25000;   3.199;     9;     1
 19200308;   34000;   4.351;     9;     1
 19200309;   22200;   2.841;     9;     1
 19200310;   17600;   2.252;     9;     1
 19200311;   16700;   2.137;     9;     1
 19200312;   15900;   2.035;     9;     1
 19200313;   15100;   1.932;     9;     1
 19200314;   16700;   2.137;     9;     1
 19200315;   20500;   2.623;     9;     1
 19200316;   29000;   3.711;     9;     1
 19200317;   31500;   4.031;     9;     1
 19200318;   36000;   4.607;     9;     1
 19200319;   34000;   4.351;     9;     1
 19200320;   32500;   4.159;     9;     1
 19200321;   31500;   4.031;     9;     1
 19200322;   29000;   3.711;     9;     1
 19200323;   26500;   3.391;     9;     1
