## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:14:42
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y6432010
## Nom station                      : Le Var à Malaussène [La Mescla]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1036917 ;    6321119 ;     1036792 ;    6321146 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      990538 ;    1890624 ;      990413 ;    1890649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     7.19587 ;   43.90850 ;     7.19434 ;   43.90879 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1830.00 ;    1829.04 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :     170.000 ;    183.125 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.8 [%]
## Débits disponibles               :  1948-01-01 ; 2016-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;   24000;   1.134;     9;     1
 19480102;   22000;   1.039;     9;     1
 19480103;   21000;   0.992;     9;     1
 19480104;   21000;   0.992;     9;     1
 19480105;   21000;   0.992;     9;     1
 19480106;   20500;   0.968;     9;     1
 19480107;   21000;   0.992;     9;     1
 19480108;   21000;   0.992;     9;     1
 19480109;   20500;   0.968;     9;     1
 19480110;   21000;   0.992;     9;     1
 19480111;   20700;   0.978;     9;     1
 19480112;   22000;   1.039;     9;     1
 19480113;   21000;   0.992;     9;     1
 19480114;   20000;   0.945;     9;     1
 19480115;   20000;   0.945;     9;     1
 19480116;   18500;   0.874;     9;     1
 19480117;   18000;   0.850;     9;     1
 19480118;   17800;   0.841;     9;     1
 19480119;   17800;   0.841;     9;     1
 19480120;   17800;   0.841;     9;     1
 19480121;   17800;   0.841;     9;     1
 19480122;   17600;   0.831;     9;     1
 19480123;   18500;   0.874;     9;     1
 19480124;   45000;   2.126;     9;     1
 19480125;   35000;   1.653;     9;     1
 19480126;   45000;   2.126;     9;     1
 19480127;  130000;   6.141;     9;     1
 19480128;   60000;   2.834;     9;     1
 19480129;   60000;   2.834;     9;     1
 19480130;   35000;   1.653;     9;     1
 19480131;   45000;   2.126;     9;     1
 19480201;   35000;   1.653;     9;     1
 19480202;   35000;   1.653;     9;     1
 19480203;   35000;   1.653;     9;     1
 19480204;   45000;   2.126;     9;     1
 19480205;   45000;   2.126;     9;     1
 19480206;   40000;   1.890;     9;     1
 19480207;   35000;   1.653;     9;     1
 19480208;   30000;   1.417;     9;     1
 19480209;   30000;   1.417;     9;     1
 19480210;   20000;   0.945;     9;     1
 19480211;   20000;   0.945;     9;     1
 19480212;   22800;   1.077;     9;     1
 19480213;   22800;   1.077;     9;     1
 19480214;   22600;   1.068;     9;     1
 19480215;   22800;   1.077;     9;     1
 19480216;   22800;   1.077;     9;     1
 19480217;   22000;   1.039;     9;     1
 19480218;   21200;   1.001;     9;     1
 19480219;   20700;   0.978;     9;     1
 19480220;   20500;   0.968;     9;     1
 19480221;   20000;   0.945;     9;     1
 19480222;   20000;   0.945;     9;     1
 19480223;   19500;   0.921;     9;     1
 19480224;   19000;   0.898;     9;     1
 19480225;   19000;   0.898;     9;     1
 19480226;   19000;   0.898;     9;     1
 19480227;   19000;   0.898;     9;     1
 19480228;   18900;   0.893;     9;     1
 19480229;   18900;   0.893;     9;     1
 19480301;   19000;   0.898;     9;     1
 19480302;   19000;   0.898;     9;     1
 19480303;   19000;   0.898;     9;     1
 19480304;   18800;   0.888;     9;     1
 19480305;   18900;   0.893;     9;     1
 19480306;   21000;   0.992;     9;     1
 19480307;   25000;   1.181;     9;     1
 19480308;   26000;   1.228;     9;     1
 19480309;   34000;   1.606;     9;     1
 19480310;   36000;   1.701;     9;     1
 19480311;   40000;   1.890;     9;     1
 19480312;   38000;   1.795;     9;     1
 19480313;   37000;   1.748;     9;     1
 19480314;   36000;   1.701;     9;     1
 19480315;   37000;   1.748;     9;     1
 19480316;   37000;   1.748;     9;     1
 19480317;   39000;   1.842;     9;     1
 19480318;   42000;   1.984;     9;     1
 19480319;   41000;   1.937;     9;     0
 19480320;   41000;   1.937;     9;     0
 19480321;   41000;   1.937;     9;     0
 19480322;   41000;   1.937;     9;     0
 19480323;   41000;   1.937;     9;     0
