## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:14:44
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y6434010
## Nom station                      : L'Estéron au Broc [La Clave]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1034141 ;    6314051 ;     1034133 ;    6314076 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      987821 ;    1883524 ;      987813 ;    1883549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     7.15674 ;   43.84630 ;     7.15666 ;   43.84653 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      451.00 ;     442.45 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :      131.00 ;     137.25 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    30.5 [%]
## Débits disponibles               :  1911-01-01 ; 2021-01-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19110101;   11300;   2.207;     9;     1
 19110102;   11300;   2.207;     9;     1
 19110103;   10900;   2.129;     9;     1
 19110104;   10600;   2.070;     9;     1
 19110105;   10200;   1.992;     9;     1
 19110106;    9100;   1.777;     9;     1
 19110107;    8700;   1.699;     9;     1
 19110108;    8000;   1.562;     9;     1
 19110109;    7650;   1.494;     9;     1
 19110110;    7300;   1.426;     9;     1
 19110111;    7300;   1.426;     9;     1
 19110112;    6200;   1.211;     9;     1
 19110113;    6200;   1.211;     9;     1
 19110114;    6550;   1.279;     9;     1
 19110115;    6200;   1.211;     9;     1
 19110116;    6200;   1.211;     9;     1
 19110117;    5900;   1.152;     9;     1
 19110118;    5550;   1.084;     9;     1
 19110119;    5550;   1.084;     9;     1
 19110120;    5250;   1.025;     9;     1
 19110121;    4920;   0.961;     9;     1
 19110122;    4920;   0.961;     9;     1
 19110123;    4600;   0.898;     9;     1
 19110124;    4600;   0.898;     9;     1
 19110125;    4340;   0.847;     9;     1
 19110126;    4340;   0.847;     9;     1
 19110127;    4080;   0.797;     9;     1
 19110128;    3820;   0.746;     9;     1
 19110129;    3820;   0.746;     9;     1
 19110130;    3820;   0.746;     9;     1
 19110131;    3560;   0.695;     9;     0
 19110201;    3560;   0.695;     9;     0
 19110202;    3560;   0.695;     9;     0
 19110203;    3560;   0.695;     9;     0
 19110204;    3560;   0.695;     9;     0
 19110205;    3560;   0.695;     9;     0
 19110206;    3300;   0.644;     9;     1
 19110207;    3300;   0.644;     9;     1
 19110208;    3300;   0.644;     9;     1
 19110209;    3560;   0.695;     9;     1
 19110210;    3560;   0.695;     9;     1
 19110211;    3560;   0.695;     9;     1
 19110212;    3820;   0.746;     9;     1
 19110213;    4080;   0.797;     9;     1
 19110214;    5550;   1.084;     9;     1
 19110215;   15200;   2.968;     9;     1
 19110216;    6900;   1.347;     9;     1
 19110217;    6200;   1.211;     9;     1
 19110218;    5250;   1.025;     9;     1
 19110219;    4920;   0.961;     9;     1
 19110220;    4600;   0.898;     9;     1
 19110221;    4340;   0.847;     9;     1
 19110222;    4340;   0.847;     9;     1
 19110223;    4340;   0.847;     9;     1
 19110224;    4080;   0.797;     9;     1
 19110225;    3820;   0.746;     9;     1
 19110226;    3560;   0.695;     9;     1
 19110227;    3820;   0.746;     9;     1
 19110228;    3300;   0.644;     9;     0
 19110301;    3300;   0.644;     9;     0
 19110302;    3300;   0.644;     9;     0
 19110303;    3300;   0.644;     9;     0
 19110304;    3300;   0.644;     9;     0
 19110305;    3300;   0.644;     9;     0
 19110306;    3160;   0.617;     9;     1
 19110307;    3160;   0.617;     9;     1
 19110308;    3020;   0.590;     9;     1
 19110309;    3020;   0.590;     9;     1
 19110310;    3020;   0.590;     9;     1
 19110311;    3020;   0.590;     9;     1
 19110312;    2880;   0.562;     9;     0
 19110313;    2880;   0.562;     9;     0
 19110314;    2880;   0.562;     9;     0
 19110315;    2880;   0.562;     9;     0
 19110316;    2880;   0.562;     9;     0
 19110317;    2740;   0.535;     9;     1
 19110318;    2740;   0.535;     9;     1
 19110319;    2880;   0.562;     9;     1
 19110320;   21000;   4.101;     9;     1
 19110321;   15200;   2.968;     9;     1
 19110322;   10900;   2.129;     9;     1
 19110323;    9800;   1.914;     9;     1
 19110324;    8350;   1.631;     9;     1
 19110325;    8000;   1.562;     9;     1
 19110326;    7650;   1.494;     9;     1
 19110327;    6900;   1.347;     9;     1
 19110328;    6200;   1.211;     9;     1
 19110329;    6550;   1.279;     9;     1
 19110330;    6200;   1.211;     9;     1
 19110331;    5550;   1.084;     9;     1
 19110401;    5250;   1.025;     9;     1
 19110402;    5250;   1.025;     9;     1
 19110403;    8350;   1.631;     9;     1
 19110404;    8700;   1.699;     9;     1
 19110405;    9100;   1.777;     9;     1
 19110406;    8350;   1.631;     9;     1
 19110407;    7650;   1.494;     9;     1
 19110408;    6900;   1.347;     9;     1
 19110409;    6550;   1.279;     9;     1
 19110410;    6200;   1.211;     9;     1
 19110411;    5900;   1.152;     9;     1
 19110412;    5900;   1.152;     9;     1
 19110413;    5550;   1.084;     9;     1
 19110414;    4920;   0.961;     9;     1
 19110415;    4600;   0.898;     9;     1
 19110416;    4340;   0.847;     9;     1
 19110417;    4080;   0.797;     9;     1
 19110418;    4080;   0.797;     9;     1
 19110419;    4080;   0.797;     9;     1
 19110420;    4080;   0.797;     9;     1
 19110421;    3820;   0.746;     9;     1
 19110422;    3560;   0.695;     9;     1
 19110423;    3560;   0.695;     9;     1
 19110424;    3300;   0.644;     9;     1
 19110425;    3300;   0.644;     9;     1
 19110426;    3160;   0.617;     9;     1
 19110427;    3160;   0.617;     9;     1
 19110428;    3160;   0.617;     9;     1
 19110429;    3020;   0.590;     9;     1
 19110430;    3020;   0.590;     9;     1
 19110501;    3020;   0.590;     9;     1
 19110502;    3020;   0.590;     9;     1
 19110503;    2880;   0.562;     9;     1
 19110504;    2880;   0.562;     9;     1
 19110505;    3300;   0.644;     9;     1
 19110506;    3020;   0.590;     9;     1
 19110507;    2880;   0.562;     9;     0
 19110508;    2880;   0.562;     9;     0
 19110509;    2880;   0.562;     9;     0
 19110510;    2880;   0.562;     9;     0
 19110511;    2880;   0.562;     9;     0
 19110512;    3300;   0.644;     9;     1
 19110513;    3160;   0.617;     9;     1
 19110514;    3020;   0.590;     9;     1
 19110515;    2880;   0.562;     9;     1
 19110516;    4340;   0.847;     9;     1
 19110517;   21000;   4.101;     9;     1
 19110518;   11700;   2.285;     9;     1
 19110519;   11300;   2.207;     9;     1
 19110520;   10200;   1.992;     9;     1
 19110521;   12800;   2.500;     9;     1
 19110522;   18800;   3.671;     9;     1
 19110523;   18000;   3.515;     9;     1
 19110524;   17600;   3.437;     9;     1
 19110525;   18000;   3.515;     9;     1
 19110526;   13200;   2.578;     9;     1
 19110527;    6900;   1.347;     9;     1
 19110528;    5900;   1.152;     9;     1
 19110529;    5900;   1.152;     9;     1
 19110530;    5550;   1.084;     9;     1
 19110531;    5550;   1.084;     9;     1
 19110601;    5550;   1.084;     9;     1
 19110602;    6550;   1.279;     9;     1
 19110603;    6200;   1.211;     9;     1
 19110604;    5250;   1.025;     9;     1
 19110605;    4600;   0.898;     9;     1
 19110606;    4340;   0.847;     9;     1
 19110607;    3820;   0.746;     9;     1
 19110608;    3560;   0.695;     9;     1
 19110609;    3560;   0.695;     9;     1
 19110610;    5550;   1.084;     9;     1
 19110611;    7300;   1.426;     9;     1
 19110612;    6200;   1.211;     9;     1
 19110613;    5900;   1.152;     9;     1
 19110614;    5550;   1.084;     9;     1
 19110615;    4920;   0.961;     9;     1
 19110616;    4600;   0.898;     9;     1
 19110617;    4340;   0.847;     9;     1
 19110618;    4340;   0.847;     9;     1
 19110619;    4080;   0.797;     9;     1
 19110620;    4080;   0.797;     9;     1
 19110621;    4080;   0.797;     9;     1
 19110622;    4080;   0.797;     9;     1
