## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:14:49
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL PACA
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y6614010
## Nom station                      : La Roya à Tende [Saint-Dalmas-de-Tende]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1067564 ;    6338771 ;     1067614 ;    6338760 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :     1021063 ;    1908560 ;     1021113 ;    1908549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     7.58949 ;   44.05178 ;     7.59010 ;   44.05165 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      168.00 ;     168.35 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         655 ;        672 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     8.5 [%]
## Débits disponibles               :  1960-05-20 ; 2020-09-27 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600520;   16800;   8.622;     9;     1
 19600521;   13100;   6.723;     9;     1
 19600522;   11800;   6.056;     9;     1
 19600523;   11800;   6.056;     9;     1
 19600524;   10600;   5.440;     9;     1
 19600525;   11300;   5.799;     9;     1
 19600526;   12400;   6.364;     9;     1
 19600527;   12000;   6.159;     9;     1
 19600528;   11700;   6.005;     9;     1
 19600529;   10600;   5.440;     9;     1
 19600530;    9400;   4.824;     9;     1
 19600531;    9100;   4.670;     9;     1
 19600601;    8600;   4.414;     9;     1
 19600602;    8300;   4.260;     9;     1
 19600603;    7800;   4.003;     9;     1
 19600604;    7800;   4.003;     9;     1
 19600605;    7550;   3.875;     9;     1
 19600606;    7550;   3.875;     9;     1
 19600607;    7550;   3.875;     9;     1
 19600608;    7300;   3.746;     9;     1
 19600609;    7000;   3.593;     9;     1
 19600610;    7150;   3.669;     9;     1
 19600611;    6750;   3.464;     9;     1
 19600612;    6500;   3.336;     9;     1
 19600613;    6150;   3.156;     9;     1
 19600614;    5800;   2.977;     9;     1
 19600615;    5450;   2.797;     9;     1
 19600616;    5450;   2.797;     9;     1
 19600617;    5450;   2.797;     9;     1
 19600618;    5750;   2.951;     9;     1
 19600619;    5250;   2.694;     9;     1
 19600620;    4890;   2.510;     9;     1
 19600621;    4890;   2.510;     9;     1
 19600622;    4890;   2.510;     9;     1
 19600623;    4430;   2.274;     9;     1
 19600624;    4200;   2.156;     9;     1
 19600625;    5100;   2.617;     9;     1
 19600626;    4660;   2.392;     9;     1
 19600627;    4320;   2.217;     9;     1
 19600628;    4200;   2.156;     9;     1
 19600629;    4200;   2.156;     9;     1
 19600630;    4010;   2.058;     9;     1
 19600701;    3820;   1.960;     9;     1
 19600702;    3630;   1.863;     9;     1
 19600703;    3630;   1.863;     9;     1
 19600704;    3440;   1.765;     9;     1
 19600705;    3440;   1.765;     9;     1
 19600706;    3440;   1.765;     9;     1
 19600707;    3250;   1.668;     9;     1
 19600708;    3250;   1.668;     9;     1
 19600709;    3250;   1.668;     9;     1
 19600710;    3060;   1.570;     9;     1
 19600711;    3060;   1.570;     9;     1
 19600712;    2870;   1.473;     9;     1
 19600713;    2780;   1.427;     9;     1
 19600714;    2680;   1.375;     9;     1
 19600715;    2680;   1.375;     9;     1
 19600716;    2680;   1.375;     9;     1
 19600717;    2590;   1.329;     9;     1
 19600718;    2490;   1.278;     9;     0
 19600719;    2490;   1.278;     9;     0
 19600720;    2490;   1.278;     9;     0
 19600721;    2490;   1.278;     9;     0
 19600722;    2490;   1.278;     9;     0
 19600723;    2300;   1.180;     9;     0
 19600724;    2300;   1.180;     9;     0
 19600725;    2300;   1.180;     9;     0
 19600726;    2300;   1.180;     9;     0
 19600727;    2300;   1.180;     9;     0
 19600728;    2300;   1.180;     9;     0
 19600729;    2300;   1.180;     9;     0
 19600730;    2300;   1.180;     9;     0
 19600731;    2300;   1.180;     9;     0
 19600801;    2300;   1.180;     9;     0
 19600802;    2230;   1.144;     9;     1
 19600803;    2150;   1.103;     9;     1
 19600804;    2150;   1.103;     9;     1
 19600805;    3520;   1.807;     9;     1
 19600806;    2870;   1.473;     9;     1
 19600807;    2490;   1.278;     9;     1
 19600808;    2400;   1.232;     9;     1
 19600809;    2300;   1.180;     9;     1
 19600810;    2150;   1.103;     9;     1
