## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:14:58
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DEAL Corse
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y7315010
## Nom station                      : Le Bevinco à Olmeta-di-Tuda [Lancone]
## Territoire                       : Métropole corse
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1223690 ;    6188222 ;     1223700 ;    6188225 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :     1178676 ;    1759218 ;     1178686 ;    1759221 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     9.37999 ;   42.60319 ;     9.38011 ;   42.60321 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       53.60 ;      53.88 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         209 ;        217 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     8.6 [%]
## Débits disponibles               :  1960-02-12 ; 2021-02-21 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600212;    2200;   3.528;     9;     1
 19600213;    2200;   3.528;     9;     1
 19600214;    2750;   4.410;     9;     1
 19600215;    2750;   4.410;     9;     1
 19600216;    2030;   3.255;     9;     1
 19600217;    2250;   3.608;     9;     1
 19600218;    2860;   4.586;     9;     1
 19600219;    2250;   3.608;     9;     1
 19600220;    2250;   3.608;     9;     1
 19600221;    1660;   2.662;     9;     1
 19600222;    1450;   2.325;     9;     1
 19600223;    1800;   2.886;     9;     1
 19600224;    1450;   2.325;     9;     1
 19600225;    1320;   2.117;     9;     1
 19600226;    1100;   1.764;     9;     1
 19600227;     970;   1.555;     9;     1
 19600228;     870;   1.395;     9;     1
 19600229;     870;   1.395;     9;     1
 19600301;     970;   1.555;     9;     1
 19600302;    1100;   1.764;     9;     0
 19600303;    1100;   1.764;     9;     0
 19600304;    1100;   1.764;     9;     0
 19600305;    1100;   1.764;     9;     0
 19600306;    1100;   1.764;     9;     0
 19600307;     970;   1.555;     9;     1
 19600308;     700;   1.122;     9;     1
 19600309;     630;   1.010;     9;     1
 19600310;     770;   1.235;     9;     1
 19600311;     870;   1.395;     9;     1
 19600312;     970;   1.555;     9;     1
 19600313;     970;   1.555;     9;     1
 19600314;     870;   1.395;     9;     1
 19600315;    1100;   1.764;     9;     1
 19600316;    1200;   1.924;     9;     1
 19600317;    1200;   1.924;     9;     1
 19600318;    1100;   1.764;     9;     1
 19600319;    1100;   1.764;     9;     1
 19600320;     970;   1.555;     9;     1
 19600321;     700;   1.122;     9;     1
 19600322;     700;   1.122;     9;     1
 19600323;     700;   1.122;     9;     1
 19600324;     700;   1.122;     9;     1
 19600325;    1100;   1.764;     9;     1
 19600326;    1100;   1.764;     9;     1
 19600327;    1200;   1.924;     9;     1
 19600328;    7250;  11.625;     5;     1
 19600329;    3770;   6.045;     5;     1
 19600330;    2620;   4.201;     9;     1
 19600331;    2450;   3.929;     9;     1
 19600401;    2450;   3.929;     9;     1
 19600402;    2450;   3.929;     9;     1
 19600403;    2450;   3.929;     9;     1
 19600404;    2200;   3.528;     9;     1
 19600405;    2030;   3.255;     9;     1
 19600406;    1800;   2.886;     9;     1
 19600407;    1800;   2.886;     9;     1
 19600408;    1660;   2.662;     9;     1
 19600409;    1550;   2.485;     9;     1
 19600410;    1550;   2.485;     9;     1
 19600411;    1450;   2.325;     9;     1
 19600412;    1100;   1.764;     9;     1
 19600413;    2200;   3.528;     9;     1
 19600414;    2030;   3.255;     9;     1
 19600415;    2030;   3.255;     9;     1
 19600416;    2030;   3.255;     9;     1
 19600417;    2200;   3.528;     9;     1
 19600418;    2330;   3.736;     9;     1
 19600419;    4250;   6.815;     5;     1
 19600420;    4300;   6.895;     5;     1
 19600421;    3190;   5.115;     9;     1
 19600422;    2330;   3.736;     9;     1
 19600423;    1920;   3.079;     9;     1
 19600424;    1550;   2.485;     9;     1
 19600425;    1450;   2.325;     9;     1
 19600426;    1320;   2.117;     9;     1
 19600427;    1200;   1.924;     9;     1
 19600428;    1100;   1.764;     9;     1
 19600429;    1450;   2.325;     9;     1
 19600430;    1920;   3.079;     9;     1
 19600501;    2620;   4.201;     9;     1
 19600502;    2030;   3.255;     9;     1
 19600503;    1800;   2.886;     9;     1
 19600504;    1660;   2.662;     9;     1
 19600505;    1450;   2.325;     9;     1
 19600506;    1920;   3.079;     9;     1
 19600507;    2330;   3.736;     9;     1
 19600508;    1800;   2.886;     9;     1
 19600509;    1800;   2.886;     9;     1
 19600510;    1660;   2.662;     9;     1
 19600511;    1550;   2.485;     9;     1
 19600512;    1450;   2.325;     9;     1
 19600513;    1450;   2.325;     9;     1
 19600514;    1320;   2.117;     9;     1
 19600515;    1320;   2.117;     9;     1
 19600516;    1660;   2.662;     9;     1
 19600517;    1660;   2.662;     9;     1
 19600518;    1550;   2.485;     9;     1
 19600519;    1320;   2.117;     9;     1
 19600520;    1200;   1.924;     9;     1
 19600521;    1100;   1.764;     9;     1
 19600522;     870;   1.395;     9;     1
 19600523;     700;   1.122;     9;     0
 19600524;     700;   1.122;     9;     0
 19600525;     700;   1.122;     9;     0
 19600526;     700;   1.122;     9;     0
 19600527;     700;   1.122;     9;     0
 19600528;     630;   1.010;     9;     1
 19600529;     630;   1.010;     9;     1
 19600530;     570;   0.914;     9;     1
 19600531;     570;   0.914;     9;     1
 19600601;     570;   0.914;     9;     1
 19600602;     510;   0.818;     9;     0
 19600603;     510;   0.818;     9;     0
 19600604;     510;   0.818;     9;     0
 19600605;     510;   0.818;     9;     0
 19600606;     510;   0.818;     9;     0
 19600607;     510;   0.818;     9;     0
 19600608;     510;   0.818;     9;     0
 19600609;     510;   0.818;     9;     0
 19600610;     510;   0.818;     9;     0
 19600611;     510;   0.818;     9;     0
 19600612;     470;   0.754;     9;     0
 19600613;     470;   0.754;     9;     0
 19600614;     470;   0.754;     9;     0
 19600615;     470;   0.754;     9;     0
 19600616;     470;   0.754;     9;     0
 19600617;     470;   0.754;     9;     0
 19600618;     420;   0.673;     9;     0
 19600619;     420;   0.673;     9;     0
 19600620;     420;   0.673;     9;     0
 19600621;     420;   0.673;     9;     0
 19600622;     420;   0.673;     9;     0
 19600623;     420;   0.673;     9;     0
 19600624;     420;   0.673;     9;     0
 19600625;     360;   0.577;     9;     0
 19600626;     360;   0.577;     9;     0
 19600627;     360;   0.577;     9;     0
 19600628;     360;   0.577;     9;     0
 19600629;     360;   0.577;     9;     0
 19600630;     360;   0.577;     9;     0
 19600701;     360;   0.577;     9;     0
 19600702;     360;   0.577;     9;     0
 19600703;     360;   0.577;     9;     0
 19600704;     360;   0.577;     9;     0
 19600705;     360;   0.577;     9;     0
 19600706;     360;   0.577;     9;     0
 19600707;     360;   0.577;     9;     0
 19600708;     360;   0.577;     9;     0
 19600709;     360;   0.577;     9;     0
 19600710;     360;   0.577;     9;     0
 19600711;     330;   0.529;     9;     1
 19600712;     330;   0.529;     9;     1
 19600713;     300;   0.481;     9;     1
 19600714;     300;   0.481;     9;     1
 19600715;     260;   0.417;     9;     1
 19600716;     260;   0.417;     9;     1
 19600717;     240;   0.385;     9;     1
