## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:15:25
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DEAL Corse
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Y9315010
## Nom station                      : Le Fium-Alto à Taglio-Isolaccio [Acitaja]
## Territoire                       : Métropole corse
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1232545 ;    6171325 ;     1232550 ;    6171300 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :     1187690 ;    1742380 ;     1187695 ;    1742355 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     9.47055 ;   42.44533 ;     9.47059 ;   42.44510 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      114.00 ;     114.79 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          35 ;         43 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     5.2 [%]
## Débits disponibles               :  1960-12-27 ; 2021-02-21 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       2/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19601227;    1430;   1.076;     9;     1
 19601228;    1430;   1.076;     9;     1
 19601229;    1430;   1.076;     9;     1
 19601230;    1380;   1.039;     9;     1
 19601231;    1320;   0.994;     9;     1
 19610101;    1260;   0.948;     9;     1
 19610102;    1150;   0.866;     9;     1
 19610103;    1070;   0.805;     9;     1
 19610104;    1110;   0.836;     9;     1
 19610105;    1010;   0.760;     9;     1
 19610106;     965;   0.726;     9;     1
 19610107;     934;   0.703;     9;     1
 19610108;     875;   0.659;     9;     1
 19610109;     825;   0.621;     9;     1
 19610110;     838;   0.631;     9;     1
 19610111;     895;   0.674;     9;     1
 19610112;     946;   0.712;     9;     1
 19610113;    1010;   0.760;     9;     1
 19610114;    1020;   0.768;     9;     1
 19610115;    2360;   1.776;     9;     1
 19610116;    2790;   2.100;     9;     1
 19610117;    2320;   1.746;     9;     1
 19610118;    1980;   1.490;     9;     1
 19610119;    1690;   1.272;     9;     1
 19610120;    1540;   1.159;     9;     1
 19610121;    1440;   1.084;     9;     1
 19610122;    1350;   1.016;     9;     1
 19610123;    1250;   0.941;     9;     1
 19610124;    1220;   0.918;     9;     1
 19610125;    1190;   0.896;     9;     1
 19610126;    1390;   1.046;     9;     1
 19610127;    1510;   1.137;     9;     1
 19610128;    1550;   1.167;     9;     1
 19610129;    1600;   1.204;     9;     1
 19610130;    1670;   1.257;     9;     1
 19610131;    1640;   1.234;     9;     1
 19610201;    1570;   1.182;     9;     1
 19610202;    1500;   1.129;     9;     1
 19610203;    1450;   1.091;     9;     1
 19610204;    1390;   1.046;     9;     1
 19610205;    1340;   1.009;     9;     1
 19610206;    1260;   0.948;     9;     1
 19610207;    1170;   0.881;     9;     1
 19610208;    1080;   0.813;     9;     1
 19610209;    1010;   0.760;     9;     1
 19610210;     944;   0.711;     9;     1
 19610211;     890;   0.670;     9;     1
 19610212;     847;   0.638;     9;     1
 19610213;     842;   0.634;     9;     1
 19610214;     810;   0.610;     9;     1
 19610215;     761;   0.573;     9;     1
 19610216;     730;   0.549;     9;     1
 19610217;     702;   0.528;     9;     1
 19610218;     679;   0.511;     9;     1
 19610219;     682;   0.513;     9;     1
 19610220;     682;   0.513;     9;     1
 19610221;     688;   0.518;     9;     1
 19610222;     703;   0.529;     9;     1
 19610223;     810;   0.610;     9;     1
 19610224;     794;   0.598;     9;     1
 19610225;     798;   0.601;     9;     1
 19610226;     822;   0.619;     9;     1
 19610227;     817;   0.615;     9;     1
 19610228;     767;   0.577;     9;     1
 19610301;     732;   0.551;     9;     1
 19610302;     702;   0.528;     9;     1
 19610303;     674;   0.507;     9;     1
 19610304;     649;   0.489;     9;     1
 19610305;     624;   0.470;     9;     1
 19610306;     580;   0.437;     9;     1
 19610307;     544;   0.409;     9;     1
 19610308;     526;   0.396;     9;     1
 19610309;     508;   0.382;     9;     1
 19610310;     494;   0.372;     9;     1
 19610311;     484;   0.364;     9;     1
 19610312;     474;   0.357;     9;     1
 19610313;     462;   0.348;     9;     1
 19610314;     445;   0.335;     9;     1
 19610315;     427;   0.321;     9;     1
 19610316;     410;   0.309;     9;     1
 19610317;     391;   0.294;     9;     1
 19610318;     367;   0.276;     9;     1
 19610319;     343;   0.258;     9;     1
 19610320;     327;   0.246;     9;     1
 19610321;     329;   0.248;     9;     1
 19610322;     331;   0.249;     9;     1
 19610323;     333;   0.251;     9;     1
 19610324;     336;   0.253;     9;     1
 19610325;     339;   0.255;     9;     1
 19610326;     342;   0.257;     9;     1
 19610327;     326;   0.245;     9;     1
 19610328;     310;   0.233;     9;     1
 19610329;     308;   0.232;     9;     1
 19610330;     306;   0.230;     9;     1
 19610331;     307;   0.231;     9;     1
 19610401;     311;   0.234;     9;     1
 19610402;     314;   0.236;     9;     1
 19610403;     313;   0.236;     9;     1
 19610404;     314;   0.236;     9;     1
 19610405;     321;   0.242;     9;     1
 19610406;     330;   0.248;     9;     1
 19610407;     336;   0.253;     9;     1
 19610408;     338;   0.254;     9;     1
 19610409;     340;   0.256;     9;     1
 19610410;     350;   0.263;     9;     1
 19610411;     349;   0.263;     9;     1
 19610412;     340;   0.256;     9;     1
 19610413;     330;   0.248;     9;     1
 19610414;     324;   0.244;     9;     1
 19610415;     320;   0.241;     9;     1
 19610416;     318;   0.239;     9;     1
 19610417;     320;   0.241;     9;     1
 19610418;     366;   0.275;     9;     1
 19610419;     426;   0.321;     9;     1
 19610420;     475;   0.358;     9;     1
 19610421;     542;   0.408;     9;     1
 19610422;     627;   0.472;     9;     1
 19610423;     712;   0.536;     9;     1
 19610424;     835;   0.629;     9;     1
 19610425;     653;   0.492;     9;     1
 19610426;     518;   0.390;     9;     1
 19610427;     468;   0.352;     9;     1
 19610428;     441;   0.332;     9;     1
 19610429;     452;   0.340;     9;     1
 19610430;     541;   0.407;     9;     1
 19610501;     443;   0.333;     9;     1
 19610502;     387;   0.291;     9;     1
 19610503;     402;   0.303;     9;     1
 19610504;     391;   0.294;     9;     1
 19610505;     379;   0.285;     9;     1
 19610506;     362;   0.272;     9;     1
