Num,Nom,X,Y,Surface,Altitude
Y1105010,Le Rebenty a Saint-Martin-Lys,"591106","1756903",136.000000000000000,"373"
Q9164610,La Nive des aldudes a Saint-etienne-de-Baigorry,"300932","1804972",156.000000000000000,"144"
O0015310,Le Maudan a Fos,"469828","1764001",38.000000000000000,"555"
O0384010,L arac a Soulan [Freychet],"509579","1766866",169.000000000000000,"480"
Q7322510,Le Saison a Mauleon-Licharre [Berrogain Laruns - cibi],"338837","1810273",480.000000000000000,"129"
Y1012010,L aude a Puyvalador,"582695","1737104",134.000000000000000,"1391"
O0554010,L arbas a castelbiague [Pont de Prades],"485062","1783633",98.000000000000000,"332"
O1076010,Le Quioules a chateau-Verdun [Riete 2],"543236","1745723",52.799999999999997,"1110"
Y0245210,Le Mondony a amelie-les-Bains-Palalda,"627376","1718240",32.299999999999997,"242"
X0130010,La Durance a l  argentiere-la-Bessee,"934213","1983967",984.000000000000000,"950"
X0434010,L ubaye a Barcelonnette [abattoir],"943997","1940897",549.000000000000000,"1132"
X0454010,L ubaye au Lauzet-ubaye [Roche Rousse],"923598","1947143",946.000000000000000,"790"
Y6614010,La Roya a Tende [Saint-Dalmas-de-Tende],"1021023","1908459",168.000000000000000,"655"
K0673310,La coise a Saint-Medard-en-Forez [Moulin Brule],"759050","2069540",181.000000000000000,"425"
K2871910,La Dore a Saint-Gervais-sous-Meymont [Maison du Parc / Giroux-Dore],"699234","2077360",800.000000000000000,"395"
O5312910,Le Viaur a arques,"637142","1923154",138.000000000000000,"732"
P1114010,La Luzege a Maussac [Pont de Maussac],"585510","2052070",84.900000000000006,"561"
O3471010,Le Tarn a Saint-Victor-et-Melvieu [Pinet],"637355","1896648",2677.000000000000000,"285"
O7404010,Le Bes a Marchastel [Gour du Gou - 2],"661400","1959990",30.500000000000000,"1205"
O7444010,Le Bes a Saint-Juery,"659260","1980900",283.000000000000000,"917"
K2363010,La Senouire a Paulhaguet [La Fridiere],"693180","2022600",155.000000000000000,"538"
K2593010,L alagnon a Lempdes,"672702","2042859",984.000000000000000,"450"
O4704030,Le Dadou a Paulinet [Saint-Jean-de-Jeanne],"608382","1868950",72.000000000000000,"413"
K0523010,L ance du Nord a Saint-Julien-d ance [Laprat],"725670","2035417",354.000000000000000,"692"
P0364010,La Santoire a condat [Roche-Pointue],"632571","2037176",172.000000000000000,"693"
K2644010,L ailloux a Manglieu [Lavaur],"678500","2068630",73.200000000000003,"437"
P0885010,Le Mars a Bassignac [Vendes],"604018","2032932",117.000000000000000,"366"
K0567520,La Semene a Saint-Didier-en-Velay [Le crouzet],"749970","2036540",134.000000000000000,"720"
O7354010,La Lander a Saint-Georges,"662432","2001559",310.000000000000000,"749"
P1502510,La Maronne a Pleaux [enchanet],"588829","2009197",513.000000000000000,"370"
K2514010,L allanche a Joursac [Pont du Vernet],"650980","2015520",157.000000000000000,"746"
K2523010,L alagnon a Joursac [Le Vialard],"652500","2015500",310.000000000000000,"870"
K0403010,Le Lignon du Velay au chambon-sur-Lignon,"754765","2008282",139.000000000000000,"930"
K0454010,La Dunieres a Sainte-Sigolene [Vaubarlet],"747547","2025563",228.000000000000000,"584"
O5224010,L alzou a Villefranche-de-Rouergue [barrage cabal],"577091","1928453",199.000000000000000,"-999"
P1422510,La Maronne a Sainte-eulalie,"603787","2013144",112.000000000000000,"595"
O5284310,La Serene a Saint-andre-de-Najac [canabral],"576566","1912000",103.000000000000000,"305"
O5464310,Le Giffou a Saint-Just-sur-Viaur [La Fabreguerie],"607872","1900836",175.000000000000000,"360"
U4635010,La Brevenne a Sain-Bel,"775900","2092570",219.000000000000000,"236"
