date PRCP(mm) PET(mm) T(°C)
1958-08-01 1.33 6.09 23.91
1958-08-02 0.77 2.28 17.78
1958-08-03 0.02 3.68 17.04
1958-08-04 0.01 3.9 17.72
1958-08-05 1.44 3.41 20.37
1958-08-06 1.82 1.74 17.63
1958-08-07 0.05 2.53 16.06
1958-08-08 0.14 4.18 17.98
1958-08-09 3.31 4.72 22.9
1958-08-10 0.28 4.23 21.48
1958-08-11 1.3 1.98 17.22
1958-08-12 0.18 2.74 15.41
1958-08-13 0 3.66 15.92
1958-08-14 0.11 3.98 18.86
1958-08-15 7.61 4.45 21.19
1958-08-16 0.21 2.35 19.66
1958-08-17 0.49 3 21.79
1958-08-18 5.44 2.28 20.68
1958-08-19 6.72 2.01 15.7
1958-08-20 3.96 1.31 14.51
1958-08-21 13.52 1.78 15.37
1958-08-22 5.48 2.3 14.3
1958-08-23 0.4 2.27 14.68
1958-08-24 0.63 3.34 17.48
1958-08-25 0.34 2.61 16.13
1958-08-26 0 3.63 16.78
1958-08-27 0 4.23 21.89
1958-08-28 2.11 2.18 21.57
1958-08-29 3.08 2.47 20.75
1958-08-30 3.3 1 18.32
1958-08-31 1.59 1.53 17.8
1958-09-01 0 2.92 18.71
1958-09-02 0.01 2.65 21.17
1958-09-03 0.04 2.71 19.93
1958-09-04 0.01 3.26 21.84
1958-09-05 0.05 2.68 22.57
1958-09-06 0.01 3.17 21.1
1958-09-07 1.03 2.49 19.84
1958-09-08 1.83 2.22 20.22
1958-09-09 2.75 2.75 21.5
1958-09-10 0.19 3.04 21.92
1958-09-11 0.01 2.69 22.68
1958-09-12 0.1 1.81 22.49
1958-09-13 0.81 2.85 21.62
1958-09-14 17.09 2.27 20.89
1958-09-15 18.51 1.24 18.59
1958-09-16 8.31 0.75 16.42
1958-09-17 0.12 2.52 16.2
1958-09-18 0.01 2.48 16.05
1958-09-19 0.02 2.03 18.53
1958-09-20 0.02 2.36 19.33
1958-09-21 1.17 1 17.65
1958-09-22 2.17 1.37 14.85
1958-09-23 0.05 2.4 13.8
1958-09-24 0 2.81 15.64
1958-09-25 0.64 1.62 15.82
1958-09-26 0 2.62 16.93
1958-09-27 0 1.6 16.2
1958-09-28 0.03 2.24 17.87
1958-09-29 15.71 1.66 18.48
1958-09-30 13.78 0.9 14.58
1958-10-01 6.74 1.11 11.91
1958-10-02 2.4 0.99 13.36
1958-10-03 7.32 1.04 15.05
1958-10-04 0.81 2.47 14.75
1958-10-05 5.44 1.05 13.03
1958-10-06 1.91 1.22 10.78
1958-10-07 0 1.84 8.41
1958-10-08 0.03 1.84 9.68
1958-10-09 0.09 1.89 11.85
1958-10-10 1.83 1.67 14.42
1958-10-11 17.04 0.85 14.92
1958-10-12 3.12 0.89 12.32
1958-10-13 0.04 1.57 10.64
1958-10-14 0.02 1.8 12.32
1958-10-15 0.44 1.39 14.57
1958-10-16 2.77 0.85 12.97
1958-10-17 0.13 1.33 9.6
1958-10-18 0 1.43 6.69
1958-10-19 0.15 1.34 5.94
1958-10-20 3.01 0.65 8.47
1958-10-21 1.48 1.2 9.7
1958-10-22 0.05 1.22 10.09
1958-10-23 0 1.37 7.32
1958-10-24 0 1.82 7.45
1958-10-25 0.18 1.91 8.26
1958-10-26 0 1.12 8.78
1958-10-27 0 1.87 9.42
1958-10-28 0.03 1.46 10.95
1958-10-29 0.51 0.89 10.75
1958-10-30 2.36 0.32 11.19
1958-10-31 8.64 0.47 10.93
1958-11-01 0.07 1.16 6.03
1958-11-02 1.26 1.24 7.73
1958-11-03 4.53 0.7 13.02
1958-11-04 0.52 0.78 11.06
1958-11-05 3.68 0.52 9.78
1958-11-06 6 0.3 9.19
1958-11-07 18.96 0.51 12.07
1958-11-08 21.46 0.64 12.38
1958-11-09 1.61 0.75 7.51
1958-11-10 8.86 0.4 5.66
1958-11-11 1.77 0.31 2.87
1958-11-12 3.01 0.61 3.33
1958-11-13 12.41 0.46 5.08
1958-11-14 0.39 0.35 3.35
1958-11-15 0.6 0.52 3.43
1958-11-16 0.01 0.83 4.85
1958-11-17 0.67 0.71 2.77
1958-11-18 0 0.71 4.03
1958-11-19 0 0.65 6.69
1958-11-20 0.06 0.87 5.1
1958-11-21 0.01 0.76 4.54
1958-11-22 0.03 0.79 5.29
1958-11-23 0.78 0.45 7.26
1958-11-24 1.31 0.48 9.14
1958-11-25 0.14 0.55 8.16
1958-11-26 0.05 0.52 6.9
1958-11-27 0.09 0.57 6.33
1958-11-28 0.17 0.55 4.9
1958-11-29 0.06 0.71 3.97
1958-11-30 0.06 0.49 4.23
1958-12-01 0 0.43 6.51
1958-12-02 0.09 0.28 3.15
1958-12-03 2.38 0.35 3.5
1958-12-04 0.53 0.34 5.73
1958-12-05 0.06 0.76 7.18
1958-12-06 0.02 0.35 4.95
1958-12-07 0.02 0.42 4.53
1958-12-08 0.1 0.46 5.34
1958-12-09 0.07 0.54 4.98
1958-12-10 6.22 0.73 7.04
1958-12-11 26.94 0.56 8.61
1958-12-12 9.82 0.77 11.7
1958-12-13 14.3 0.7 8.69
1958-12-14 6.42 0.71 5.6
1958-12-15 7.98 1.04 8.7
1958-12-16 2.36 1.68 9.97
1958-12-17 0.24 1 7.38
1958-12-18 5.12 0.88 8
1958-12-19 3.12 1.11 12.18
1958-12-20 1.66 0.53 6.85
1958-12-21 0.89 0.54 4.77
1958-12-22 28.13 0.26 3.83
1958-12-23 31.35 0.43 6.01
1958-12-24 2.74 0.58 6.43
1958-12-25 0.23 0.34 3.14
1958-12-26 9.12 0.48 3.91
1958-12-27 16.02 0.37 8.85
1958-12-28 7.3 0.38 9.19
1958-12-29 0.81 0.7 7.56
1958-12-30 0.01 0.95 4.99
1958-12-31 4.44 0.69 4.55
1959-01-01 1.59 0.23 4.71
1959-01-02 13.72 0.71 4.42
1959-01-03 12.61 0.54 4.31
1959-01-04 13.62 0.62 5.97
1959-01-05 0.95 0.38 6.19
1959-01-06 2.56 0.36 6.67
1959-01-07 9.12 1.24 9.59
1959-01-08 6.35 0.44 4.4
1959-01-09 0.57 0.55 -1.19
1959-01-10 0.09 0.59 -0.68
1959-01-11 0.54 0.43 -3.76
1959-01-12 1.01 0.39 -2.47
1959-01-13 4.04 0.35 2.28
1959-01-14 3.33 0.89 9.65
1959-01-15 23.76 0.6 6.57
1959-01-16 0.69 0.88 2.94
1959-01-17 0.04 0.65 -0.39
1959-01-18 0 1.21 6.62
1959-01-19 0.12 1.19 9.89
1959-01-20 2.06 2.32 11.68
1959-01-21 0 0.79 6.8
1959-01-22 0.26 1.23 9.14
1959-01-23 0.02 0.94 9.46
1959-01-24 0 0.57 8.85
1959-01-25 0 0.69 6.47
1959-01-26 0 1.48 6.02
1959-01-27 0 1.51 7.76
1959-01-28 0 1.25 6.72
1959-01-29 0 1.11 5.75
1959-01-30 0 1.18 4.82
1959-01-31 0.01 0.7 4.98
1959-02-01 0.03 0.48 1.91
1959-02-02 0.01 0.61 -2.3
1959-02-03 0.68 0.32 -0.98
1959-02-04 0.55 0.41 0.68
1959-02-05 0.01 0.71 3.4
1959-02-06 0.11 1.28 5.31
1959-02-07 0.74 0.27 5.69
1959-02-08 0.31 0.35 6.93
1959-02-09 0.58 1.12 6.58
1959-02-10 5.15 0.57 5.53
1959-02-11 0 1 2.86
1959-02-12 0 1.39 3.79
1959-02-13 0 1.19 5.29
1959-02-14 0 1.4 5.82
1959-02-15 0 1.72 5.52
