date PRCP(mm) PET(mm) T(°C)
1958-08-01 0.58 3.13 22.35
1958-08-02 0 3.38 17.72
1958-08-03 0 2.91 16.45
1958-08-04 0 3.55 17.73
1958-08-05 0.04 1.86 20.68
1958-08-06 0.19 2.66 18
1958-08-07 0.78 2.28 16.72
1958-08-08 0 1.9 18
1958-08-09 0.43 4.6 23.15
1958-08-10 6.18 2.92 21.05
1958-08-11 11 1.53 17.41
1958-08-12 1.39 2.48 16.69
1958-08-13 0.01 2.23 17.26
1958-08-14 0.05 2.08 18.61
1958-08-15 0.05 3.54 19.72
1958-08-16 0.08 2.79 19.24
1958-08-17 11.78 1.73 20
1958-08-18 4.65 2.26 19.61
1958-08-19 14.36 1.95 17.1
1958-08-20 7.79 1.66 15.59
1958-08-21 23.81 1.38 15.88
1958-08-22 11.29 2.02 16.24
1958-08-23 1.19 1.96 15.48
1958-08-24 0.94 1.41 16.77
1958-08-25 0.45 2.67 16.72
1958-08-26 0.02 3.22 16.11
1958-08-27 0.3 4.37 20.92
1958-08-28 1.9 2.52 22.14
1958-08-29 0.83 1.39 21.35
1958-08-30 3.67 1.48 19.95
1958-08-31 1.77 2.32 19.35
1958-09-01 0 3.17 18.49
1958-09-02 0.59 2.28 20.84
1958-09-03 18.2 1.74 19.98
1958-09-04 1.48 2.23 22.76
1958-09-05 0.61 2.56 22.5
1958-09-06 0.86 3.05 21.16
1958-09-07 0.01 1.59 19.29
1958-09-08 0 2.99 18.83
1958-09-09 3.36 2.99 20.02
1958-09-10 0.07 2.76 19.66
1958-09-11 0 3.44 18.62
1958-09-12 0 2.29 20.47
1958-09-13 0 2.51 20.2
1958-09-14 5.26 2.99 21.31
1958-09-15 8.23 0.88 19.4
1958-09-16 0.39 2.13 18.01
1958-09-17 0 2.27 16.86
1958-09-18 0.03 2.09 16.86
1958-09-19 0.33 1.95 18.82
1958-09-20 0.6 1.49 17.6
1958-09-21 1.74 1.94 17.74
1958-09-22 2.17 2.19 15.77
1958-09-23 0.08 1.93 14.94
1958-09-24 1.07 1.93 15.93
1958-09-25 0.65 1.56 16.16
1958-09-26 0.12 2.58 12.96
1958-09-27 0 2.39 13.24
1958-09-28 0.01 1.81 15.87
1958-09-29 25.21 2.16 18.36
1958-09-30 9.39 1.33 15.18
1958-10-01 4.19 1.33 13.72
1958-10-02 2.63 1.36 14.07
1958-10-03 18.39 1.6 15.75
1958-10-04 9.03 1.6 14.86
1958-10-05 5.55 1.07 13.74
1958-10-06 0.29 1.59 10.55
1958-10-07 0.02 1.64 10.41
1958-10-08 0 1.46 13.33
1958-10-09 0 1.38 14.51
1958-10-10 0.71 1.55 16.02
1958-10-11 7.59 0.53 14.15
1958-10-12 3.08 1.33 12.53
1958-10-13 0.27 1.36 12.61
1958-10-14 2.34 0.6 14.4
1958-10-15 0.96 1.12 16.31
1958-10-16 0.01 1.79 12.96
1958-10-17 0.12 1.38 10.05
1958-10-18 0 1.1 8.13
1958-10-19 0.2 1.38 9.64
1958-10-20 0.09 1.04 12.76
1958-10-21 0.17 0.97 11.61
1958-10-22 0.07 1.31 12.23
1958-10-23 0 1.41 12.55
1958-10-24 0 1.7 9.39
1958-10-25 0 1.58 8.37
1958-10-26 0 1.31 9.06
1958-10-27 0 1.34 8.62
1958-10-28 0 1.39 9.16
1958-10-29 0.35 0.4 8.97
1958-10-30 2.39 0.43 10.95
1958-10-31 1.56 0.71 11.2
1958-11-01 0.55 0.93 6.53
1958-11-02 4.5 0.56 7.98
1958-11-03 1.1 0.83 12.86
1958-11-04 0.82 0.71 10.56
1958-11-05 2.08 1.01 11.04
1958-11-06 6.42 0.27 10.05
1958-11-07 7.04 0.64 13.37
1958-11-08 21.95 0.48 13.09
1958-11-09 3.35 1.06 8.33
1958-11-10 2.48 0.67 6.74
1958-11-11 0.2 0.76 4.92
1958-11-12 0.18 0.58 4.02
1958-11-13 2.33 0.64 6.11
1958-11-14 0.35 0.38 5.18
1958-11-15 0 0.64 5.89
1958-11-16 0 0.85 7.22
1958-11-17 0 0.71 6.42
1958-11-18 0 0.67 6.6
1958-11-19 0.01 0.53 8.85
1958-11-20 0.02 0.95 7.69
1958-11-21 0.09 0.55 3.8
1958-11-22 0.11 0.81 8.29
1958-11-23 0.39 0.45 11.01
1958-11-24 1.35 0.37 9.61
1958-11-25 0.24 0.52 4.22
1958-11-26 0.28 0.47 3.77
1958-11-27 0.04 0.45 2.72
1958-11-28 0 0.48 1.82
1958-11-29 0 0.5 2.04
1958-11-30 0 0.6 2.13
1958-12-01 0 0.69 1.94
1958-12-02 0 0.96 0.97
1958-12-03 0 1.18 0.28
1958-12-04 0 1.06 0.7
1958-12-05 0 0.86 0.45
1958-12-06 0 0.85 0.86
1958-12-07 0 0.6 0.29
1958-12-08 0 0.53 0.86
1958-12-09 3.13 0.47 2.23
1958-12-10 16.56 0.63 9.04
1958-12-11 6.49 0.82 8.16
1958-12-12 26.36 0.42 10.41
1958-12-13 12.55 0.85 9.02
1958-12-14 11.63 0.8 7.25
1958-12-15 15.74 0.69 8.34
1958-12-16 15.01 0.92 9.73
1958-12-17 12.61 0.76 7.65
1958-12-18 1.19 1.47 9.85
1958-12-19 2.13 1.4 12.33
1958-12-20 3.76 0.57 8.55
1958-12-21 1.17 0.62 7.21
1958-12-22 20.92 0.44 6.06
1958-12-23 2.6 0.48 7.34
1958-12-24 0.08 0.62 6.32
1958-12-25 0.06 0.62 4.13
1958-12-26 2.78 0.52 5.05
1958-12-27 1.79 0.39 9.85
1958-12-28 1.59 0.45 10.53
1958-12-29 0.29 0.65 10.22
1958-12-30 0.12 0.78 7.85
1958-12-31 0.63 0.72 7.37
1959-01-01 0.52 0.6 5.7
1959-01-02 6.92 0.6 6.7
1959-01-03 1.19 0.87 5.77
1959-01-04 3.04 0.7 6.01
1959-01-05 4.41 0.27 4.43
1959-01-06 11.71 0.52 9.08
1959-01-07 7.45 1 10.04
1959-01-08 0.11 0.95 4.16
1959-01-09 0.48 0.55 0.5
1959-01-10 0.01 0.57 -0.94
1959-01-11 1.79 0.34 -0.96
1959-01-12 0.34 0.54 -0.47
1959-01-13 16.31 0.23 1.48
1959-01-14 13.65 0.53 9.91
1959-01-15 5.1 0.81 8.78
1959-01-16 0.05 0.86 2.8
1959-01-17 0 0.37 0.1
1959-01-18 0 1.06 3.62
1959-01-19 0.28 1.68 8.79
1959-01-20 5.9 1.46 9.96
1959-01-21 0.56 1.25 8.66
1959-01-22 5.95 1.64 11.34
1959-01-23 2.17 0.87 10.22
1959-01-24 0.04 0.61 6.76
1959-01-25 0 1.34 2.57
1959-01-26 0 1.56 3.47
1959-01-27 0 1.41 5.93
1959-01-28 0 1.12 4.97
1959-01-29 0 1.09 4.19
1959-01-30 0 0.41 0.24
1959-01-31 0 0.35 -0.51
1959-02-01 0.01 1.26 1.07
1959-02-02 0.15 0.93 0.21
1959-02-03 5.04 0.51 0.61
1959-02-04 0.76 0.36 5.89
1959-02-05 0 0.82 7.48
1959-02-06 0 1.27 7.89
1959-02-07 0.25 0.82 7.36
1959-02-08 0 0.94 9.71
1959-02-09 1.48 1.46 8.65
1959-02-10 1.63 0.62 6.46
1959-02-11 0.14 0.95 4.69
1959-02-12 0 0.88 5.21
1959-02-13 0 0.88 6.21
1959-02-14 0 1.41 6.8
1959-02-15 0 1.14 7.33
1959-02-16 0 2.01 6.64
1959-02-17 0 2.27 7.59
1959-02-18 0 1.78 6.86
1959-02-19 0 1.61 5.83
1959-02-20 0.02 0.77 3.9
1959-02-21 0 0.89 5.43
1959-02-22 0 0.9 6.71
1959-02-23 0 1.48 9.37
1959-02-24 0 1.19 6.6
1959-02-25 0 1.27 9.22
1959-02-26 0 1.6 10.31
1959-02-27 0 2.14 9.7
1959-02-28 0 2.12 9.35
1959-03-01 0 1.58 10.59
1959-03-02 0.56 1.89 12.65
1959-03-03 3.81 1.06 11.61
1959-03-04 1.37 1.54 10.25
1959-03-05 3.31 2.07 12.41
1959-03-06 1.95 1.39 10.23
1959-03-07 3.16 1.36 9.09
1959-03-08 0.73 1.92 10.13
1959-03-09 0.22 1.71 10.36
