date PRCP(mm) PET(mm) T(°C)
1958-08-01 0.68 4.4 25.57
1958-08-02 0 2.89 18.23
1958-08-03 0 3.41 15.49
1958-08-04 0 3.85 16.43
1958-08-05 0.02 2.36 20.24
1958-08-06 0.37 2.35 17.84
1958-08-07 0.65 2.89 15.41
1958-08-08 0.04 2.58 17.5
1958-08-09 0.82 4.31 22.75
1958-08-10 0.79 3.73 22.25
1958-08-11 7.6 1.69 17.27
1958-08-12 0.63 2.56 15.21
1958-08-13 0.03 2.78 15.48
1958-08-14 0.15 3.28 18.19
1958-08-15 0.93 3.9 20.72
1958-08-16 0.47 3.28 19.24
1958-08-17 6.19 2.7 20.75
1958-08-18 17.18 2.98 20.24
1958-08-19 11.72 1.97 15.89
1958-08-20 5.11 1.69 14.39
1958-08-21 17.4 1.52 15.22
1958-08-22 15.77 1.71 14.65
1958-08-23 0.46 2.19 13.76
1958-08-24 8.11 2.19 16.29
1958-08-25 0.19 2.74 15.51
1958-08-26 0 3.31 15.41
1958-08-27 0.13 4.68 21.3
1958-08-28 0.73 2.66 23.34
1958-08-29 0.54 1.73 21.71
1958-08-30 7.88 1.69 20.04
1958-08-31 3.14 2.06 18.97
1958-09-01 0.01 2.97 18.04
1958-09-02 0.07 2.93 19.73
1958-09-03 0.82 2.12 20.11
1958-09-04 0.01 2.86 22.5
1958-09-05 0.08 3.38 22.92
1958-09-06 0.91 3.21 21.58
1958-09-07 0.29 2.05 19.92
1958-09-08 0.02 2.65 19.24
1958-09-09 1.16 2.76 20.14
1958-09-10 1.66 2.36 19.6
1958-09-11 0 2.88 18.9
1958-09-12 0.03 2.7 20.76
1958-09-13 0.44 3.16 21.73
1958-09-14 1.76 3.58 22.26
1958-09-15 6.54 0.96 19.42
1958-09-16 4.77 1.92 17.15
1958-09-17 0.54 1.84 15.78
1958-09-18 0.01 2.3 14.81
1958-09-19 0.38 2.56 17.02
1958-09-20 0.24 2.03 18.04
1958-09-21 3.83 1.29 17.34
1958-09-22 1.9 1.55 13.74
1958-09-23 0 1.94 12.34
1958-09-24 0.04 2.32 14.48
1958-09-25 0.45 1.86 15.4
1958-09-26 0 2.62 13.26
1958-09-27 0 2.52 13.64
1958-09-28 0.75 2.18 16.58
1958-09-29 36.44 2.19 18.83
1958-09-30 10.59 0.98 14.45
1958-10-01 3.61 1.23 12.04
1958-10-02 3.3 1.24 12.71
1958-10-03 9.21 1.91 15.16
1958-10-04 1.79 2.04 14.37
1958-10-05 4 1.19 12.88
1958-10-06 0.06 1.57 9.52
1958-10-07 0 1.58 7.86
1958-10-08 0 1.76 10.02
1958-10-09 0.1 1.71 13.3
1958-10-10 0.72 1.84 15.62
1958-10-11 6.89 0.81 14.58
1958-10-12 2.29 1.31 11.67
1958-10-13 0.08 1.42 9.79
1958-10-14 3.98 0.76 11.81
1958-10-15 2.09 1.22 15.19
1958-10-16 0.26 1.51 10.88
1958-10-17 0.92 1.43 7.44
1958-10-18 0.55 1.17 6.34
1958-10-19 1.07 1.31 6.99
1958-10-20 1.01 0.9 9.43
1958-10-21 1.15 1.08 9.1
1958-10-22 0.01 1.55 9.73
1958-10-23 0 1.55 9.13
1958-10-24 0 1.76 7.68
1958-10-25 0.01 1.76 8.44
1958-10-26 0.01 1.33 8.49
1958-10-27 0 1.77 9.1
1958-10-28 0 1.48 9.55
1958-10-29 0.08 0.71 9.16
1958-10-30 1.98 0.76 11.26
1958-10-31 5.88 0.56 10.39
1958-11-01 0.43 0.87 4.44
1958-11-02 6.79 0.67 5.5
1958-11-03 2.41 0.88 11.66
1958-11-04 1.18 0.83 8.86
1958-11-05 4.38 0.58 8.01
1958-11-06 4.69 0.36 7.9
1958-11-07 11.96 0.64 10.94
1958-11-08 21.42 0.49 11.95
1958-11-09 1.65 0.71 7.1
1958-11-10 5.89 0.36 4.3
1958-11-11 0.61 0.55 2.91
1958-11-12 0.53 0.61 1.82
1958-11-13 1.98 0.56 4.01
1958-11-14 0.34 0.42 3.52
1958-11-15 0.02 0.6 5.6
1958-11-16 0 0.83 4.96
1958-11-17 0.01 0.68 4.27
1958-11-18 0 0.62 6.77
1958-11-19 0 0.7 8.15
1958-11-20 0.06 0.84 5.97
1958-11-21 1.56 0.43 4.98
1958-11-22 0.88 0.69 8.98
1958-11-23 0.98 0.38 10.86
1958-11-24 0.09 0.39 9.04
1958-11-25 0.17 0.46 6
1958-11-26 0.14 0.49 5.09
1958-11-27 0.08 0.74 4.19
1958-11-28 0.02 0.66 3.68
1958-11-29 0.02 0.77 3.13
1958-11-30 0.04 0.74 2.88
1958-12-01 0 0.73 2.62
1958-12-02 0 0.83 0.82
1958-12-03 0.01 0.86 1.19
1958-12-04 0 0.95 2.43
1958-12-05 0 0.95 2.47
1958-12-06 0 0.74 0.66
1958-12-07 0.01 0.71 0.92
1958-12-08 0.23 0.38 2.63
1958-12-09 2.77 0.56 2.47
1958-12-10 22.83 0.5 7.14
1958-12-11 12.4 0.61 6.79
