date PRCP(mm) PET(mm) T(°C)
1958-08-01 0.14 6.07 26.44
1958-08-02 0.25 3.29 19.31
1958-08-03 0.03 4.32 17.17
1958-08-04 0.01 4.04 17.44
1958-08-05 0.7 3.62 20.5
1958-08-06 2.61 2.34 18.29
1958-08-07 0.16 2.77 15.65
1958-08-08 0.09 3.91 18.08
1958-08-09 0.42 4.46 22.75
1958-08-10 0.17 3.73 22.22
1958-08-11 4.16 2.22 17.67
1958-08-12 0.37 2.89 15.28
1958-08-13 0 3.41 15.48
1958-08-14 0.28 3.98 18.65
1958-08-15 4.64 4.25 21.75
1958-08-16 0.45 2.92 19.94
1958-08-17 1.53 3.75 21.42
1958-08-18 12.4 2.5 21
1958-08-19 6.52 1.8 16.07
1958-08-20 2.42 1.56 14.76
1958-08-21 9.2 2.05 15.73
1958-08-22 5.63 2.22 14.5
1958-08-23 0.32 2.48 14.25
1958-08-24 2.82 2.93 17.21
1958-08-25 0.08 2.33 16.04
1958-08-26 0.02 3.54 16.2
1958-08-27 0.1 4.57 20.58
1958-08-28 0.41 2.42 22.2
1958-08-29 1.67 2.21 21.87
1958-08-30 4.72 1.48 19.64
1958-08-31 3.47 1.48 18.48
1958-09-01 0.01 2.85 18.51
1958-09-02 0 2.69 19.89
1958-09-03 0.29 2.4 20.2
1958-09-04 0 3.42 21.97
1958-09-05 0.11 2.88 21.76
1958-09-06 0.13 3.32 21.31
1958-09-07 0.25 2.62 20.45
1958-09-08 0.69 2.21 20.26
1958-09-09 0.38 3.06 20.67
1958-09-10 0.42 2.77 20.83
1958-09-11 0.03 2.66 20.85
1958-09-12 0.02 2.69 21.93
1958-09-13 0.09 3.25 21.57
1958-09-14 3.83 3.51 21.88
1958-09-15 11.76 1.01 19.05
1958-09-16 16.3 1.17 16.81
1958-09-17 1.29 2.04 15.78
1958-09-18 0.01 2.31 15.17
1958-09-19 0.01 2.51 17.14
1958-09-20 0.49 2.13 18.5
1958-09-21 2.09 1.53 18.59
1958-09-22 1.2 1.49 14.53
1958-09-23 0.02 2.26 13.07
1958-09-24 0.01 2.84 14.9
1958-09-25 0.12 2.38 15.34
1958-09-26 0 2.7 15.32
1958-09-27 0 2.09 15.16
1958-09-28 0.2 2.44 16.62
1958-09-29 10.49 2.11 18.91
1958-09-30 20.54 0.75 15.23
1958-10-01 2.9 1.45 11.97
1958-10-02 1.63 1.2 12.16
1958-10-03 6.82 1.19 14.78
1958-10-04 0.69 1.78 14.43
1958-10-05 3.01 1.34 12.64
1958-10-06 1.29 1.28 10.21
1958-10-07 0.04 1.69 8.63
1958-10-08 0.09 1.88 9.84
1958-10-09 0.76 1.56 13.14
1958-10-10 0.42 1.9 15.37
1958-10-11 8.4 0.82 14.76
1958-10-12 1.63 1.05 12.12
1958-10-13 0.11 1.32 9.29
1958-10-14 0.41 1.47 11.63
1958-10-15 1.35 1.32 14.99
1958-10-16 0.95 1.21 11.52
1958-10-17 0.48 1.49 7.57
1958-10-18 0.22 1.36 6.42
1958-10-19 0.28 1.25 6.08
1958-10-20 2.93 0.88 8.3
1958-10-21 1.84 1.11 8.93
1958-10-22 0.05 1.55 9.1
1958-10-23 0 1.53 7.42
1958-10-24 0 1.61 7.17
1958-10-25 0.02 1.58 8.14
1958-10-26 0.01 1.09 8.57
1958-10-27 0 1.93 9.27
1958-10-28 0 1.6 9.86
1958-10-29 0.02 0.65 9.74
1958-10-30 0.85 0.66 11.44
1958-10-31 7.87 0.52 10.76
1958-11-01 0.51 1.1 5.3
1958-11-02 2.72 1.09 6.36
1958-11-03 2.53 1 11.85
1958-11-04 0.21 1.02 9.44
1958-11-05 3.01 0.55 8.13
1958-11-06 3.15 0.5 7.7
1958-11-07 10.72 0.54 10.43
1958-11-08 20.35 0.51 11.7
1958-11-09 7 0.47 7.07
1958-11-10 4.54 0.53 4.94
1958-11-11 1.82 0.52 2.45
1958-11-12 0.38 0.79 2.34
1958-11-13 3.29 0.57 4.08
1958-11-14 0.17 0.42 3.38
1958-11-15 0.38 0.41 4.33
1958-11-16 0.06 0.74 4.05
1958-11-17 0.07 0.54 3
1958-11-18 0.37 0.46 5.59
1958-11-19 0.01 0.71 7.09
1958-11-20 0.1 0.68 4.87
1958-11-21 3.46 0.35 4.72
1958-11-22 3.23 0.57 7.94
1958-11-23 1.82 0.4 9.57
1958-11-24 1.48 0.31 8.47
1958-11-25 0.38 0.39 7.32
1958-11-26 0.19 0.46 6.1
1958-11-27 0.27 0.6 5.09
1958-11-28 0.15 0.57 4.69
1958-11-29 0.1 0.74 3.78
1958-11-30 0.01 0.59 4.03
1958-12-01 0 0.65 4.1
1958-12-02 0.01 0.28 1.83
1958-12-03 0.04 0.49 3.35
1958-12-04 0.05 0.59 4.42
1958-12-05 0 0.91 4.41
1958-12-06 0.01 0.55 2.16
1958-12-07 0.05 0.52 2.24
1958-12-08 0.5 0.28 3.49
1958-12-09 0.43 0.56 3.07
1958-12-10 9.95 0.51 5.7
1958-12-11 15.7 0.48 6.9
1958-12-12 13.95 0.46 8.93
1958-12-13 9.98 0.42 6.99
1958-12-14 5.46 0.5 4.36
1958-12-15 11.32 0.57 6.1
1958-12-16 1.38 0.9 7.54
1958-12-17 0.23 0.72 5.64
1958-12-18 0.99 0.93 6.36
1958-12-19 6.94 0.7 11.15
1958-12-20 4.89 0.31 6.43
1958-12-21 0.76 0.4 4.33
1958-12-22 24.63 0.29 4.56
1958-12-23 9.8 0.32 5.61
1958-12-24 0.78 0.52 4.25
1958-12-25 0.13 0.58 2.64
1958-12-26 1.23 0.54 2.65
1958-12-27 8.71 0.3 5.69
1958-12-28 2.76 0.45 9.08
1958-12-29 0.18 0.68 7.69
1958-12-30 0.02 0.78 4.67
1958-12-31 0.54 0.8 5.9
1959-01-01 0.66 0.33 4.44
1959-01-02 9.49 0.55 2.8
1959-01-03 5.37 0.48 3.09
1959-01-04 6.28 0.67 4.28
1959-01-05 1.24 0.38 2.84
1959-01-06 4.64 0.35 4.92
1959-01-07 12.93 0.86 7.7
1959-01-08 1.86 0.6 2.63
1959-01-09 0.42 0.52 -2.14
1959-01-10 0.06 0.53 -2.26
1959-01-11 0.47 0.5 -4.29
1959-01-12 0.58 0.4 -3.75
1959-01-13 4.36 0.36 -0.84
1959-01-14 5.39 0.5 6.31
1959-01-15 14.07 0.41 5.6
1959-01-16 1.09 0.74 1.47
1959-01-17 0.15 0.64 -1.23
1959-01-18 0.08 0.71 2.7
1959-01-19 0.34 0.73 6.79
1959-01-20 4.23 1.08 9.43
1959-01-21 0.17 0.77 6.79
1959-01-22 0.91 0.68 8.5
1959-01-23 0.01 0.89 8.35
1959-01-24 0.06 0.58 7.25
1959-01-25 0.01 1.09 4.32
1959-01-26 0 1.6 3.78
1959-01-27 0 1.43 6.55
1959-01-28 0 1.17 5.01
1959-01-29 0 1.18 5.03
1959-01-30 0.01 1.08 3.43
1959-01-31 0.01 0.66 2.8
1959-02-01 0.29 0.95 1.16
1959-02-02 0.66 0.59 -2.39
1959-02-03 13.31 0.28 -1.38
1959-02-04 7.68 0.39 3.22
1959-02-05 0.91 0.66 5.33
1959-02-06 0.06 1.23 6.22
1959-02-07 2.53 0.53 6.74
1959-02-08 0.84 0.6 7.31
1959-02-09 0.12 1.31 6.3
1959-02-10 3.33 0.53 4.46
1959-02-11 0.25 0.75 3.32
1959-02-12 0 1.01 3.88
1959-02-13 0.01 1.05 5.07
1959-02-14 0 1.07 5.44
1959-02-15 0 1.53 4.82
1959-02-16 0 1.77 5.13
1959-02-17 0 1.85 5.04
1959-02-18 0 1.68 5.21
1959-02-19 0.01 1.78 5.44
1959-02-20 0.01 1.93 5.59
1959-02-21 0 1.03 3.06
1959-02-22 0.01 1.33 5.71
1959-02-23 0.02 1.83 7.29
1959-02-24 1.21 0.94 5.64
1959-02-25 0.08 1 8.22
1959-02-26 0 1.14 8.74
1959-02-27 0 1.9 7.95
1959-02-28 0.02 1.64 8.02
1959-03-01 0.19 1.29 8.62
1959-03-02 0.52 1.66 9.99
1959-03-03 11.84 0.76 10.34
1959-03-04 1.66 1.04 8.48
1959-03-05 0.86 1.18 10.66
1959-03-06 12.59 0.5 10.45
1959-03-07 0.44 1.29 8.34
1959-03-08 0.17 1.71 7.93
1959-03-09 2.45 1.01 8.97
1959-03-10 1.95 0.62 8.09
1959-03-11 10.07 0.8 6.89
1959-03-12 3.46 1.32 5.6
1959-03-13 0.39 1.46 4.96
1959-03-14 0 1.97 4.81
1959-03-15 0.01 1.63 6.73
1959-03-16 0.75 2.52 6.85
1959-03-17 3.08 1.18 4.52
1959-03-18 0.24 1.48 7.97
1959-03-19 0.09 2.12 10.35
1959-03-20 0.13 1.97 10.19
1959-03-21 1.72 0.92 10.85
1959-03-22 1.39 0.59 11.22
1959-03-23 0.75 2.04 11.89
1959-03-24 12.3 1.14 11.29
1959-03-25 0.34 1.66 7.7
1959-03-26 0.69 1.16 7.43
1959-03-27 7.98 0.71 8.83
1959-03-28 6.15 0.72 9.07
